Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C
"19997,876","0,305","6,059","1,460","4,965",,2.00E+04,3.05E-01,6.06E+00,1.46E+00,4.97E+00
"19999,178","0,278","6,049","1,452","4,955",,2.00E+04,2.78E-01,6.05E+00,1.45E+00,4.96E+00
"19999,185","0,299","6,054","1,456","4,963",,2.00E+04,2.99E-01,6.05E+00,1.46E+00,4.96E+00
"19999,059","0,276","6,048","1,452","4,954",,2.00E+04,2.76E-01,6.05E+00,1.45E+00,4.95E+00
"19998,732","0,266","6,050","1,451","4,957",,2.00E+04,2.66E-01,6.05E+00,1.45E+00,4.96E+00
"19999,409","0,293","6,052","1,455","4,958",,2.00E+04,2.93E-01,6.05E+00,1.46E+00,4.96E+00
"19998,840","0,288","6,050","1,454","4,960",,2.00E+04,2.88E-01,6.05E+00,1.45E+00,4.96E+00
"19999,082","0,296","6,053","1,456","4,962",,2.00E+04,2.96E-01,6.05E+00,1.46E+00,4.96E+00
"19998,774","0,274","6,048","1,452","4,954",,2.00E+04,2.74E-01,6.05E+00,1.45E+00,4.95E+00
"19998,510","0,279","6,052","1,452","4,958",,2.00E+04,2.79E-01,6.05E+00,1.45E+00,4.96E+00
"19998,621","0,288","6,054","1,454","4,960",,2.00E+04,2.88E-01,6.05E+00,1.45E+00,4.96E+00
"19998,905","0,282","6,049","1,453","4,959",,2.00E+04,2.82E-01,6.05E+00,1.45E+00,4.96E+00
"19998,539","0,277","6,051","1,452","4,958",,2.00E+04,2.77E-01,6.05E+00,1.45E+00,4.96E+00
"19999,002","0,297","6,056","1,456","4,963",,2.00E+04,2.97E-01,6.06E+00,1.46E+00,4.96E+00
"19997,017","0,277","6,051","1,455","4,958",,2.00E+04,2.77E-01,6.05E+00,1.46E+00,4.96E+00
"19998,837","0,282","6,049","1,453","4,955",,2.00E+04,2.82E-01,6.05E+00,1.45E+00,4.96E+00
"19999,258","0,294","6,052","1,455","4,958",,2.00E+04,2.94E-01,6.05E+00,1.46E+00,4.96E+00
"19999,177","0,297","6,053","1,456","4,963",,2.00E+04,2.97E-01,6.05E+00,1.46E+00,4.96E+00
"19998,638","0,276","6,048","1,452","4,958",,2.00E+04,2.76E-01,6.05E+00,1.45E+00,4.96E+00
"19998,782","0,277","6,048","1,452","4,958",,2.00E+04,2.77E-01,6.05E+00,1.45E+00,4.96E+00
"19998,788","0,293","6,055","1,455","4,962",,2.00E+04,2.93E-01,6.06E+00,1.46E+00,4.96E+00
"19997,866","0,292","6,055","1,458","4,962",,2.00E+04,2.92E-01,6.06E+00,1.46E+00,4.96E+00
"19998,738","0,291","6,054","1,455","4,961",,2.00E+04,2.91E-01,6.05E+00,1.46E+00,4.96E+00
"19998,631","0,282","6,049","1,453","4,959",,2.00E+04,2.82E-01,6.05E+00,1.45E+00,4.96E+00
"19998,699","0,277","6,048","1,452","4,958",,2.00E+04,2.77E-01,6.05E+00,1.45E+00,4.96E+00
"19998,814","0,287","6,050","1,454","4,960",,2.00E+04,2.87E-01,6.05E+00,1.45E+00,4.96E+00
"19998,771","0,282","6,049","1,453","4,959",,2.00E+04,2.82E-01,6.05E+00,1.45E+00,4.96E+00
