Frequency,Gen(mV),R,L,C,,Frequency,Gen(V),R,L,C
5000.051,2.501,0.124,0.153,2.639,,5.00E+03,2.50E-03,1.24E-04,1.53E-04,2.64E-03
5000.028,2.502,0.124,0.153,2.64,,5.00E+03,2.50E-03,1.24E-04,1.53E-04,2.64E-03
5049.961,2.501,0.126,0.157,2.643,,5.05E+03,2.50E-03,1.26E-04,1.57E-04,2.64E-03
5049.951,2.502,0.126,0.157,2.643,,5.05E+03,2.50E-03,1.26E-04,1.57E-04,2.64E-03
5099.902,2.501,0.127,0.161,2.647,,5.10E+03,2.50E-03,1.27E-04,1.61E-04,2.65E-03
5149.925,2.501,0.129,0.165,2.65,,5.15E+03,2.50E-03,1.29E-04,1.65E-04,2.65E-03
5149.97,2.501,0.129,0.165,2.65,,5.15E+03,2.50E-03,1.29E-04,1.65E-04,2.65E-03
5199.893,2.502,0.13,0.169,2.654,,5.20E+03,2.50E-03,1.30E-04,1.69E-04,2.65E-03
5249.988,2.501,0.132,0.173,2.657,,5.25E+03,2.50E-03,1.32E-04,1.73E-04,2.66E-03
5249.982,2.501,0.132,0.173,2.657,,5.25E+03,2.50E-03,1.32E-04,1.73E-04,2.66E-03
5299.902,2.501,0.133,0.177,2.661,,5.30E+03,2.50E-03,1.33E-04,1.77E-04,2.66E-03
5299.889,2.501,0.133,0.177,2.661,,5.30E+03,2.50E-03,1.33E-04,1.77E-04,2.66E-03
5350.006,2.501,0.134,0.181,2.664,,5.35E+03,2.50E-03,1.34E-04,1.81E-04,2.66E-03
5399.98,2.501,0.136,0.185,2.668,,5.40E+03,2.50E-03,1.36E-04,1.85E-04,2.67E-03
5399.981,2.501,0.136,0.185,2.668,,5.40E+03,2.50E-03,1.36E-04,1.85E-04,2.67E-03
5449.845,2.501,0.137,0.189,2.672,,5.45E+03,2.50E-03,1.37E-04,1.89E-04,2.67E-03
5449.842,2.501,0.137,0.189,2.672,,5.45E+03,2.50E-03,1.37E-04,1.89E-04,2.67E-03
5499.944,2.501,0.139,0.193,2.676,,5.50E+03,2.50E-03,1.39E-04,1.93E-04,2.68E-03
5549.884,2.501,0.14,0.198,2.68,,5.55E+03,2.50E-03,1.40E-04,1.98E-04,2.68E-03
5549.821,2.501,0.14,0.198,2.68,,5.55E+03,2.50E-03,1.40E-04,1.98E-04,2.68E-03
5599.997,2.501,0.142,0.202,2.684,,5.60E+03,2.50E-03,1.42E-04,2.02E-04,2.68E-03
5599.985,2.501,0.142,0.202,2.683,,5.60E+03,2.50E-03,1.42E-04,2.02E-04,2.68E-03
5649.907,2.501,0.143,0.206,2.688,,5.65E+03,2.50E-03,1.43E-04,2.06E-04,2.69E-03
5699.962,2.501,0.145,0.211,2.692,,5.70E+03,2.50E-03,1.45E-04,2.11E-04,2.69E-03
5700.026,2.501,0.145,0.211,2.692,,5.70E+03,2.50E-03,1.45E-04,2.11E-04,2.69E-03
5749.957,2.501,0.146,0.215,2.696,,5.75E+03,2.50E-03,1.46E-04,2.15E-04,2.70E-03
5749.946,2.501,0.146,0.215,2.696,,5.75E+03,2.50E-03,1.46E-04,2.15E-04,2.70E-03
5800.058,2.5,0.148,0.22,2.7,,5.80E+03,2.50E-03,1.48E-04,2.20E-04,2.70E-03
5849.945,2.501,0.149,0.225,2.704,,5.85E+03,2.50E-03,1.49E-04,2.25E-04,2.70E-03
5849.943,2.501,0.149,0.225,2.704,,5.85E+03,2.50E-03,1.49E-04,2.25E-04,2.70E-03
5899.888,2.501,0.151,0.229,2.708,,5.90E+03,2.50E-03,1.51E-04,2.29E-04,2.71E-03
5899.907,2.5,0.151,0.229,2.708,,5.90E+03,2.50E-03,1.51E-04,2.29E-04,2.71E-03
5949.994,2.501,0.152,0.234,2.712,,5.95E+03,2.50E-03,1.52E-04,2.34E-04,2.71E-03
5999.892,2.501,0.154,0.239,2.717,,6.00E+03,2.50E-03,1.54E-04,2.39E-04,2.72E-03
5999.894,2.501,0.154,0.239,2.717,,6.00E+03,2.50E-03,1.54E-04,2.39E-04,2.72E-03
6049.975,2.5,0.155,0.244,2.721,,6.05E+03,2.50E-03,1.55E-04,2.44E-04,2.72E-03
6099.927,2.501,0.157,0.248,2.726,,6.10E+03,2.50E-03,1.57E-04,2.48E-04,2.73E-03
6099.926,2.501,0.157,0.248,2.725,,6.10E+03,2.50E-03,1.57E-04,2.48E-04,2.73E-03
6149.987,2.5,0.159,0.253,2.73,,6.15E+03,2.50E-03,1.59E-04,2.53E-04,2.73E-03
6149.983,2.5,0.159,0.253,2.73,,6.15E+03,2.50E-03,1.59E-04,2.53E-04,2.73E-03
6199.956,2.5,0.16,0.258,2.734,,6.20E+03,2.50E-03,1.60E-04,2.58E-04,2.73E-03
6249.841,2.5,0.162,0.263,2.739,,6.25E+03,2.50E-03,1.62E-04,2.63E-04,2.74E-03
6249.854,2.501,0.162,0.263,2.739,,6.25E+03,2.50E-03,1.62E-04,2.63E-04,2.74E-03
6299.988,2.5,0.163,0.268,2.743,,6.30E+03,2.50E-03,1.63E-04,2.68E-04,2.74E-03
