Frequency,Gen(rad),R,L,C
5000.051,6.269,1.485,2.983,0.044
5000.028,6.27,1.486,2.984,0.045
5049.961,6.271,1.486,2.983,0.046
5049.951,6.271,1.487,2.98,0.046
5099.902,6.27,1.485,2.984,0.046
5149.925,6.272,1.485,2.987,0.048
5149.97,6.271,1.484,2.983,0.047
5199.893,6.271,1.484,2.989,0.048
5249.988,6.271,1.483,2.991,0.048
5249.982,6.27,1.483,2.99,0.047
5299.902,6.273,1.484,2.994,0.05
5299.889,6.27,1.484,2.985,0.048
5350.006,6.272,1.482,2.989,0.05
5399.98,6.271,1.482,2.99,0.049
5399.981,6.27,1.48,2.991,0.048
5449.845,6.27,1.478,2.989,0.049
5449.842,6.271,1.48,2.991,0.049
5499.944,6.272,1.481,2.994,0.051
5549.884,6.271,1.48,2.993,0.051
5549.821,6.271,1.479,2.992,0.05
5599.997,6.272,1.481,2.994,0.052
5599.985,6.271,1.479,2.993,0.051
5649.907,6.27,1.477,2.993,0.051
5699.962,6.271,1.477,2.996,0.052
5700.026,6.272,1.477,2.993,0.053
5749.957,6.27,1.476,2.994,0.051
5749.946,6.27,1.476,2.991,0.051
5800.058,6.27,1.474,2.992,0.051
5849.945,6.271,1.476,2.993,0.053
5849.943,6.27,1.474,2.993,0.052
5899.888,6.271,1.474,2.995,0.053
5899.907,6.271,1.473,2.993,0.053
5949.994,6.273,1.475,2.996,0.055
5999.892,6.273,1.473,2.998,0.055
5999.894,6.271,1.473,2.992,0.053
6049.975,6.271,1.472,2.998,0.054
6099.927,6.271,1.472,2.997,0.055
6099.926,6.27,1.47,2.997,0.053
6149.987,6.272,1.471,2.999,0.056
6149.983,6.271,1.47,2.999,0.054
6199.956,6.27,1.469,2.997,0.054
6249.841,6.273,1.471,2.999,0.057
6249.854,6.272,1.47,2.999,0.056
6299.988,6.272,1.47,2.998,0.056
6299.957,6.27,1.467,2.999,0.055
6349.892,6.272,1.467,2.999,0.056
6399.969,6.271,1.466,3,0.056
6400,6.272,1.467,3.002,0.057
6449.905,6.274,1.469,3.004,0.06
6449.89,6.271,1.466,2.998,0.057
6500.041,6.272,1.465,3.001,0.057
6549.944,6.274,1.466,3.001,0.059
6549.962,6.274,1.468,3.003,0.06
6599.849,6.273,1.466,3.002,0.059
6599.853,6.272,1.464,3,0.058
6649.913,6.272,1.464,3.001,0.058
6699.841,6.273,1.462,3.001,0.059
6699.904,6.273,1.463,3.002,0.06
6750.013,6.272,1.463,3,0.059
6799.891,6.272,1.461,3.001,0.059
6799.896,6.274,1.463,3.004,0.061
6850.035,6.273,1.462,3.003,0.06
6849.957,6.272,1.459,3.001,0.058
6899.928,6.271,1.458,3.001,0.059
6949.985,6.272,1.458,3.002,0.059
6950.033,6.273,1.46,3.004,0.061
6999.947,6.272,1.457,3.001,0.06
6999.899,6.274,1.458,3.004,0.062
7049.864,6.273,1.456,3.002,0.061
7099.938,6.273,1.456,3.002,0.061
7099.982,6.272,1.456,3.003,0.06
7149.856,6.272,1.454,3.003,0.06
7149.944,6.273,1.455,3.002,0.061
7199.959,6.273,1.454,3.001,0.061
7249.932,6.274,1.454,3.004,0.063
7249.92,6.272,1.453,3.003,0.061
7299.976,6.273,1.452,3.001,0.061
7300.045,6.272,1.452,3.001,0.061
7349.919,6.275,1.452,3.004,0.063
7399.809,6.274,1.452,3.004,0.063
7399.863,6.274,1.452,3.005,0.063
7449.975,6.273,1.45,3.002,0.062
7486.731,6.163,1.338,2.888,6.234
7499.861,6.273,1.448,3.002,0.062
7550.014,6.275,1.45,3.004,0.064
7549.993,6.274,1.449,3.003,0.063
7599.937,6.273,1.446,3.001,0.062
7649.989,6.275,1.447,3.003,0.064
7649.956,6.273,1.446,3.001,0.063
7699.934,6.276,1.447,3.005,0.065
7699.933,6.273,1.444,3.001,0.063
7749.883,6.274,1.445,3.002,0.064
7799.933,6.274,1.444,3.002,0.064
7799.972,6.273,1.443,3,0.062
7849.867,6.273,1.442,3.002,0.063
7849.838,6.273,1.442,3.001,0.063
7899.946,6.274,1.441,3.001,0.064
7949.809,6.275,1.441,3.003,0.065
7949.867,6.273,1.44,3.001,0.063
7999.994,6.274,1.44,3.001,0.064
7999.953,6.275,1.44,3.002,0.065
8049.898,6.274,1.439,3.001,0.064
8099.94,6.274,1.438,3,0.064
8100.002,6.273,1.436,3,0.063
8149.978,6.274,1.436,2.999,0.063
8199.831,6.274,1.435,3,0.064
8199.81,6.274,1.435,3,0.063
8249.948,6.274,1.435,2.999,0.064
8249.971,6.275,1.435,2.999,0.065
8299.849,6.274,1.432,2.999,0.064
8349.947,6.273,1.431,2.998,0.063
8349.951,6.275,1.432,2.999,0.064
8399.899,6.273,1.429,2.996,0.062
8399.901,6.275,1.431,2.999,0.065
8450.032,6.275,1.429,2.999,0.064
8499.96,6.275,1.429,2.997,0.064
8499.935,6.274,1.428,2.996,0.063
8549.868,6.274,1.427,2.997,0.064
8549.779,6.274,1.426,2.996,0.063
8599.963,6.273,1.425,2.995,0.062
8649.856,6.274,1.424,2.995,0.063
8649.84,6.276,1.427,2.998,0.065
8699.902,6.276,1.424,2.996,0.064
8699.941,6.277,1.426,2.997,0.066
8749.886,6.275,1.422,2.995,0.063
8799.963,6.274,1.421,2.994,0.062
8800.01,6.273,1.419,2.993,0.061
8849.864,6.276,1.422,2.996,0.064
8900.013,6.274,1.418,2.993,0.062
8900.003,6.274,1.417,2.993,0.062
8949.903,6.277,1.419,2.994,0.064
8949.945,6.275,1.418,2.993,0.063
8999.841,6.276,1.417,2.994,0.064
9049.959,6.276,1.416,2.993,0.063
9049.924,6.274,1.414,2.991,0.061
9099.864,6.277,1.415,2.993,0.064
9099.866,6.275,1.413,2.991,0.062
9149.989,6.274,1.411,2.99,0.061
9199.886,6.276,1.411,2.99,0.062
9199.916,6.277,1.413,2.992,0.064
9249.988,6.274,1.408,2.989,0.06
9249.95,6.277,1.411,2.991,0.063
9300.015,6.277,1.41,2.991,0.063
9349.874,6.277,1.408,2.988,0.062
9349.812,6.275,1.406,2.988,0.06
9399.916,6.275,1.404,2.986,0.06
9399.935,6.274,1.404,2.986,0.059
9449.834,6.277,1.405,2.988,0.061
9499.956,6.274,1.401,2.984,0.058
9499.974,6.276,1.403,2.986,0.061
9549.868,6.275,1.4,2.984,0.059
9549.877,6.276,1.401,2.985,0.06
9599.974,6.277,1.4,2.985,0.06
9649.907,6.277,1.399,2.984,0.06
9649.916,6.275,1.397,2.983,0.058
9699.786,6.276,1.397,2.982,0.058
9699.787,6.276,1.396,2.982,0.058
9749.913,6.277,1.396,2.981,0.059
9799.877,6.275,1.393,2.979,0.056
9799.833,6.275,1.392,2.979,0.056
9849.945,6.277,1.393,2.98,0.058
9849.957,6.277,1.393,2.981,0.059
9899.886,6.276,1.39,2.979,0.057
9949.985,6.277,1.39,2.979,0.057
9949.998,6.277,1.39,2.978,0.058
9999.923,6.275,1.386,2.976,0.055
10050.009,6.279,1.388,2.978,0.058
10050.016,6.275,1.385,2.975,0.054
10099.942,6.277,1.385,2.975,0.055
