
Frequency,Channel 0,Channel 1,Channel 2,Channel 3
5099.892,6.271,1.486,2.985,0.047
5199.932,6.27,1.484,2.984,0.047
5299.906,6.269,1.479,2.983,0.047
5399.933,6.271,1.48,2.993,0.049
5499.996,6.271,1.478,2.991,0.051
5600.014,6.272,1.479,2.994,0.052
5700.013,6.271,1.477,2.993,0.052
5899.878,6.273,1.477,2.997,0.055
6099.929,6.27,1.47,2.996,0.053
6299.977,6.271,1.467,2.999,0.055
6500.014,6.273,1.465,3.002,0.058
6599.836,6.272,1.465,3,0.058
6699.874,6.272,1.462,3.002,0.058
6799.889,6.273,1.461,3.003,0.06
6899.868,6.274,1.461,3.003,0.062
6999.914,6.273,1.458,3.004,0.061
7099.965,6.272,1.456,3.002,0.061
7199.977,6.273,1.455,3.002,0.062
7300.003,6.272,1.451,3.002,0.061
7399.838,6.273,1.451,3.001,0.062
7499.839,6.274,1.45,3.004,0.063
7599.848,6.274,1.448,3.002,0.063
7699.947,6.273,1.445,3.002,0.063
7799.949,6.273,1.443,3.001,0.063
7899.986,6.272,1.44,2.999,0.062
7999.97,6.274,1.439,3,0.064
8099.99,6.273,1.436,3,0.063
8299.863,6.275,1.434,3,0.065
8399.856,6.274,1.43,2.998,0.063
8499.92,6.275,1.428,2.999,0.064
8599.95,6.275,1.427,2.999,0.064
8699.934,6.275,1.424,2.995,0.063
8800.008,6.275,1.421,2.994,0.063
8899.966,6.276,1.42,2.995,0.064
8999.812,6.275,1.416,2.992,0.063
9099.878,6.276,1.415,2.993,0.064
9199.845,6.277,1.412,2.992,0.063
9299.907,6.275,1.408,2.989,0.061
9399.958,6.276,1.406,2.988,0.062
9599.978,6.277,1.4,2.985,0.06
9799.805,6.277,1.394,2.981,0.058
9999.866,6.276,1.387,2.977,0.056
10099.92,6.279,1.387,2.978,0.058
10199.908,6.276,1.381,2.972,0.053
10299.96,6.277,1.378,2.972,0.053
10399.941,6.277,1.374,2.969,0.051
10499.787,6.276,1.369,2.965,0.049
10699.83,6.277,1.363,2.961,0.047
10799.889,6.277,1.359,2.958,0.045
10999.925,6.278,1.352,2.953,0.043
11199.983,6.277,1.342,2.946,0.037
11299.838,6.28,1.34,2.944,0.038
11399.848,6.278,1.334,2.94,0.033
11499.877,6.28,1.33,2.937,0.032
11599.861,6.28,1.325,2.934,0.03
11699.928,6.278,1.318,2.928,0.025
11799.917,6.277,1.312,2.923,0.021
11899.932,6.281,1.311,2.923,0.022
12000.051,6.282,1.306,2.919,0.02
12099.82,6.278,1.297,2.911,0.013
12199.859,6.28,1.292,2.908,0.011
12299.861,6.279,1.285,2.902,0.006
12399.84,6.279,1.279,2.897,0.002
12499.881,6.279,1.273,2.892,6.281
12599.885,6.279,1.267,2.887,6.277
12699.943,6.281,1.262,2.883,6.275
12799.771,6.282,1.255,2.877,6.27
12999.804,6.28,1.239,2.863,6.259
13199.887,6.281,1.225,2.851,6.249
13299.893,0,1.219,2.846,6.246
13399.907,0,1.21,2.838,6.239
13499.947,6.283,1.201,2.83,6.232
13699.815,6.283,1.183,2.815,6.219
13899.855,0,1.164,2.798,6.205
13999.828,6.282,1.152,2.787,6.195
14099.911,6.283,1.143,2.778,6.188
14199.944,6.281,1.13,2.766,6.178
14299.868,6.281,1.119,2.756,6.169
14399.751,0.003,1.112,2.75,6.164
14499.855,0.001,1.098,2.737,6.153
14599.811,0.002,1.087,2.727,6.144
14799.844,0.003,1.06,2.703,6.123
14899.869,0,1.044,2.687,6.109
14999.898,0.002,1.031,2.676,6.098
15099.946,0.004,1.018,2.664,6.088
15199.767,0.005,1.005,2.651,6.077
15299.807,0.003,0.987,2.634,6.061
15399.795,0.004,0.971,2.618,6.047
15499.858,0.004,0.953,2.602,6.032
15599.86,0.004,0.936,2.586,6.017
15699.863,0.006,0.92,2.57,6.004
15799.916,0.006,0.902,2.553,5.988
15899.749,0.004,0.879,2.532,5.968
15999.756,0.007,0.862,2.515,5.953
16099.792,0.008,0.841,2.495,5.935
16299.83,0.004,0.795,2.451,5.893
16399.924,0.009,0.777,2.435,5.878
16499.902,0.004,0.748,2.406,5.851
16599.836,0.008,0.727,2.386,5.833
16699.741,0.007,0.702,2.362,5.81
16799.741,0.006,0.676,2.336,5.786
16899.801,0.005,0.649,2.311,5.762
16999.791,0.007,0.624,2.287,5.739
17099.816,0.007,0.596,2.259,5.713
17199.83,0.007,0.567,2.232,5.688
17299.895,0.007,0.539,2.204,5.662
