Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
18999.7,2.43825,1.14249,6.22991,5.98306
18999.7,2.43806,1.14237,6.22915,5.98172
18999.6,2.43819,1.14231,6.22919,5.98104
18999.7,2.43864,1.1423,6.22893,5.98038
18999.6,2.43849,1.14225,6.22859,5.97964
18999.7,2.4379,1.14207,6.22799,5.97845
18999.7,2.43806,1.14209,6.22814,5.97822
18999.7,2.43823,1.14203,6.22794,5.97761
18999.7,2.43821,1.14212,6.22811,5.97726
18999.7,2.4382,1.14198,6.22757,5.97679
18999.7,2.43833,1.14201,6.22753,5.97628
18999.6,2.4383,1.14215,6.22797,5.97648
18999.7,2.43831,1.14196,6.22741,5.9755
18999.7,2.43825,1.14193,6.22725,5.97522
18999.6,2.43845,1.14183,6.22689,5.97479
18999.7,2.43844,1.14193,6.22704,5.97445
18999.7,2.43827,1.14184,6.22691,5.97402
18999.7,2.4381,1.14188,6.22659,5.97366
18999.7,2.43826,1.14187,6.22663,5.97344
18999.7,2.43824,1.14176,6.22633,5.97301
18999.7,2.43804,1.14176,6.22648,5.97265
18999.7,2.43809,1.14175,6.22619,5.97235
18999.7,2.43819,1.1417,6.22594,5.97203
18999.6,2.43822,1.14165,6.22567,5.97151
18999.7,2.43816,1.14174,6.22629,5.97184
18999.6,2.43827,1.14157,6.22549,5.971
18999.6,2.43824,1.14164,6.22558,5.97097
18999.7,2.43828,1.14162,6.2258,5.97108
18999.7,2.43825,1.14163,6.22585,5.9709
18999.7,2.43828,1.14155,6.2255,5.97034
18999.7,2.43848,1.14154,6.22529,5.97005
18999.7,2.43809,1.14149,6.22512,5.96963
18999.7,2.4383,1.14148,6.22502,5.96933
18999.7,2.438,1.14148,6.22487,5.96904
18999.7,2.43816,1.14142,6.22463,5.96875
18999.7,2.43827,1.14148,6.225,5.96876
18999.7,2.43804,1.14144,6.22464,5.96827
18999.7,2.43811,1.1415,6.22485,5.96823
18999.7,2.43825,1.14142,6.22468,5.96802
18999.6,2.43831,1.14134,6.22453,5.96762
18999.7,2.43841,1.1414,6.22471,5.96776
18999.7,2.43801,1.14136,6.22455,5.96747
18999.6,2.43833,1.14136,6.22441,5.96716
18999.7,2.4384,1.14136,6.22426,5.96716
18999.7,2.43841,1.14137,6.22441,5.96692
18999.7,2.43832,1.1413,6.2242,5.96659
18999.7,2.43819,1.14127,6.22408,5.96646
18999.7,2.43828,1.14131,6.22406,5.96632
18999.7,2.43811,1.1413,6.22419,5.96641
18999.7,2.43822,1.14129,6.2237,5.96613
18999.7,2.43818,1.14134,6.22395,5.96619
18999.7,2.43823,1.14124,6.22356,5.96573
18999.7,2.43833,1.14127,6.22364,5.9657
18999.6,2.43823,1.14122,6.22361,5.96549
18999.7,2.43791,1.1412,6.22352,5.96514
18999.8,2.43813,1.14118,6.22339,5.96502
18999.7,2.43827,1.14115,6.2235,5.96507
18999.7,2.4382,1.1413,6.22353,5.96512
18999.7,2.43841,1.14122,6.22362,5.96506
18999.6,2.43823,1.14126,6.22359,5.96498
18999.7,2.43839,1.14125,6.22378,5.96516
18999.6,2.43837,1.14122,6.22352,5.9648
18999.7,2.43841,1.14129,6.22355,5.96476
18999.7,2.43808,1.14115,6.22329,5.96435
18999.7,2.43824,1.14112,6.22309,5.96405
18999.7,2.4381,1.14112,6.22281,5.96364
18999.6,2.43835,1.14115,6.22305,5.96366
18999.7,2.43825,1.14102,6.22268,5.96321
18999.7,2.43812,1.14103,6.22266,5.96314
18999.7,2.43859,1.1411,6.22322,5.9632
18999.7,2.43798,1.141,6.22282,5.96267
18999.7,2.43833,1.14107,6.22283,5.96272
18999.7,2.43787,1.14093,6.22202,5.96208
18999.7,2.43825,1.1409,6.2223,5.96199
18999.7,2.43819,1.14101,6.22228,5.96178
18999.6,2.43821,1.14101,6.22228,5.96172
18999.7,2.43826,1.14106,6.22266,5.96196
18999.6,2.43812,1.14095,6.22201,5.9613
18999.7,2.43818,1.14093,6.22203,5.96116
18999.7,2.43805,1.14085,6.22172,5.96048
18999.6,2.43814,1.14093,6.2219,5.96067
18999.7,2.43822,1.14092,6.22196,5.96042
18999.7,2.43818,1.1409,6.22209,5.9602
18999.7,2.43807,1.14079,6.22148,5.95972
18999.7,2.43819,1.14079,6.2215,5.95975
18999.7,2.43791,1.14071,6.2209,5.95895
18999.6,2.43812,1.14078,6.22124,5.95914
18999.7,2.4381,1.14074,6.2211,5.95913
18999.7,2.43809,1.14084,6.22139,5.95922
18999.7,2.43806,1.14074,6.22131,5.9589
18999.7,2.43823,1.14083,6.22132,5.95914
18999.7,2.43799,1.14072,6.22088,5.95885
18999.7,2.43815,1.14082,6.22146,5.95927
18999.7,2.43824,1.14075,6.22131,5.9589
18999.7,2.43846,1.14081,6.22132,5.95903
18999.7,2.43825,1.14079,6.22125,5.95882
18999.7,2.43824,1.14069,6.22157,5.95876
18999.7,2.43847,1.14062,6.22098,5.95832
18999.7,2.43809,1.14071,6.22057,5.95814
18999.7,2.43814,1.1406,6.2206,5.95802
18999.6,2.43834,1.14067,6.22086,5.95832
18999.6,2.43824,1.14072,6.22069,5.95808
18999.7,2.43819,1.14071,6.22084,5.95806
18999.7,2.43829,1.14078,6.22147,5.95831
18999.7,2.4384,1.14067,6.2207,5.95775
18999.7,2.43833,1.14064,6.22048,5.95759
18999.7,2.43815,1.14064,6.22054,5.95746
18999.7,2.43812,1.14064,6.22047,5.95731
18999.7,2.43837,1.14061,6.22081,5.95721
18999.7,2.43824,1.14057,6.22048,5.95682
18999.7,2.43829,1.14055,6.22011,5.95653
18999.7,2.4383,1.14047,6.22006,5.95624
18999.7,2.43856,1.14059,6.2206,5.95647
18999.7,2.43828,1.14047,6.21988,5.95568
18999.7,2.43812,1.14046,6.21983,5.9556
18999.6,2.43814,1.14045,6.21993,5.95561
18999.7,2.4382,1.14053,6.22003,5.95582
18999.7,2.43829,1.14052,6.22021,5.95596
18999.7,2.43835,1.14048,6.22003,5.95567
18999.7,2.43809,1.14053,6.21983,5.95569
18999.6,2.43829,1.14049,6.21993,5.95571
18999.6,2.43822,1.14056,6.22007,5.95568
18999.7,2.43834,1.14047,6.21992,5.95542
18999.7,2.43841,1.1405,6.21981,5.95521
18999.6,2.43814,1.14046,6.21958,5.95489
18999.7,2.43849,1.14052,6.22007,5.9552
18999.7,2.43804,1.14036,6.21929,5.95443
18999.6,2.43829,1.14043,6.2198,5.95469
18999.7,2.43822,1.14038,6.21958,5.9545
18999.7,2.43843,1.14038,6.21941,5.95414
18999.7,2.43809,1.14031,6.21931,5.95379
18999.7,2.43805,1.1403,6.21917,5.95373
18999.7,2.43834,1.14039,6.21933,5.9539
18999.7,2.43848,1.14033,6.21946,5.9538
18999.7,2.43832,1.14037,6.21947,5.954
18999.7,2.43818,1.14024,6.21897,5.95354
18999.7,2.43829,1.14033,6.21948,5.95386
18999.7,2.43827,1.14034,6.21943,5.95394
18999.6,2.43863,1.14041,6.21955,5.95407
18999.7,2.4383,1.14041,6.21968,5.9544
