Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
18999.7,-0.000592888,0.013172,1.66294,-1.14117
18999.7,-0.000853392,0.0123525,1.66211,-1.142
18999.6,-0.000713775,0.0122975,1.66203,-1.14208
18999.7,-0.00271142,0.00987696,1.65969,-1.1444
18999.6,-0.00113532,0.0112642,1.66107,-1.14306
18999.7,0.00122584,0.0135204,1.66338,-1.14062
18999.7,0.000729988,0.0130603,1.6629,-1.14118
18999.7,-0.00147981,0.0108272,1.66055,-1.14345
18999.7,0.00230427,0.0142507,1.6641,-1.13996
18999.7,0.000377734,0.0122512,1.66211,-1.1419
18999.7,-0.00224175,0.00932466,1.6592,-1.14487
18999.6,-0.000312188,0.0110473,1.66076,-1.14313
18999.7,0.00144746,0.0129413,1.6625,-1.14131
18999.7,-0.0020753,0.00953089,1.65913,-1.14481
18999.6,0.00206025,0.0132102,1.66285,-1.14103
18999.7,0.000552838,0.0117443,1.66146,-1.14255
18999.7,-0.00370648,0.00755994,1.65729,-1.14669
18999.7,-0.0033611,0.00774824,1.65744,-1.14648
18999.7,-0.000289687,0.0106477,1.66055,-1.1434
18999.7,0.00114285,0.0122735,1.66196,-1.14194
18999.7,0.00180838,0.012432,1.66225,-1.14159
18999.7,-0.00121014,0.00933158,1.65926,-1.14464
18999.7,-0.000983066,0.00953258,1.65944,-1.1444
18999.6,0.000297832,0.0105449,1.66031,-1.14352
18999.7,-0.00220622,0.00836501,1.65819,-1.14571
18999.6,-0.001962,0.00824873,1.65796,-1.14586
18999.6,-0.000343434,0.00980051,1.65952,-1.14437
18999.7,-0.000136943,0.00998582,1.6597,-1.14406
18999.7,2.50E-05,0.0102909,1.66003,-1.14372
18999.7,0.00100536,0.0110367,1.66088,-1.14286
18999.7,-0.00153212,0.00880159,1.65856,-1.14528
18999.7,0.00208808,0.0118909,1.66169,-1.14205
18999.7,-0.00289443,0.00688622,1.65682,-1.14699
18999.7,0.00217221,0.0121674,1.66199,-1.14184
18999.7,0.000139325,0.00999147,1.65975,-1.14408
18999.7,0.00184204,0.0113853,1.66103,-1.14264
18999.7,-0.000558442,0.00935903,1.65898,-1.14477
18999.7,-0.00264747,0.00685863,1.65661,-1.1471
18999.7,-0.00269893,0.00667967,1.65657,-1.14709
18999.6,-0.0036498,0.00555794,1.65522,-1.14849
18999.7,-0.00165336,0.00772709,1.65753,-1.14624
18999.7,-0.00129463,0.00813079,1.65788,-1.14586
18999.6,0.00044354,0.00936941,1.6591,-1.14455
18999.7,-0.00373263,0.00552435,1.65533,-1.14836
18999.7,-0.00173783,0.00734488,1.65721,-1.14655
18999.7,0.00049414,0.00978445,1.65946,-1.14427
18999.7,-0.0017712,0.00739296,1.65721,-1.14653
18999.7,0.000932424,0.010298,1.65993,-1.14379
18999.7,0.00329321,0.0123002,1.66217,-1.14149
18999.7,-0.00175095,0.00722875,1.65685,-1.14672
18999.7,0.00224375,0.0112746,1.66095,-1.14265
18999.7,-0.00227756,0.00661701,1.65625,-1.14742
18999.7,-0.000629562,0.00829913,1.65796,-1.14573
18999.6,-0.00195129,0.00676054,1.65652,-1.14716
18999.7,-0.0035841,0.00549602,1.65504,-1.14854
18999.8,-0.00013872,0.00858366,1.65844,-1.14515
18999.7,-0.00112002,0.00768833,1.65751,-1.1462
18999.7,-0.00064082,0.00822756,1.65776,-1.14584
18999.7,0.00137119,0.0103692,1.65986,-1.14372
18999.6,-0.000362669,0.00822626,1.65793,-1.14571
18999.7,-0.000525785,0.00805811,1.65785,-1.14583
18999.6,0.00176261,0.00992935,1.65974,-1.14383
18999.7,0.000496242,0.00883455,1.65871,-1.14492
18999.7,-0.00173411,0.00674091,1.65652,-1.1471
18999.7,-0.00257424,0.00578596,1.65561,-1.148
18999.7,-0.00112433,0.00738646,1.65712,-1.14646
18999.6,0.00153748,0.00964895,1.65934,-1.1442
18999.7,0.000552457,0.00873495,1.65846,-1.14513
18999.7,-0.00170155,0.00664854,1.65635,-1.14719
18999.7,-0.00234998,0.00606881,1.65571,-1.14787
18999.7,0.00118687,0.00931555,1.65921,-1.14436
18999.7,-0.00129015,0.00698296,1.65664,-1.1469
18999.7,-0.00297319,0.00476838,1.65466,-1.14887
18999.7,2.32E-05,0.0081164,1.65776,-1.14578
18999.7,-0.00045088,0.00735095,1.65707,-1.14639
18999.6,0.00247465,0.0101438,1.65991,-1.14371
18999.7,-0.00169642,0.00597334,1.6558,-1.14778
18999.6,-0.000690301,0.00702073,1.65666,-1.14687
18999.7,0.00133292,0.00893799,1.65866,-1.1448
18999.7,-0.000908722,0.00694224,1.65657,-1.14692
18999.6,-0.00282067,0.00457171,1.65429,-1.14926
18999.7,0.00317102,0.01062,1.66021,-1.14329
18999.7,-0.00220177,0.00532774,1.65504,-1.14852
18999.7,-0.000158469,0.00710957,1.6569,-1.14661
18999.7,0.000174781,0.00735657,1.6571,-1.14641
18999.7,-0.0017826,0.00555217,1.65521,-1.14817
18999.6,0.00115166,0.00817605,1.65781,-1.14563
18999.7,-0.000223299,0.00709801,1.65677,-1.14669
18999.7,-0.000198879,0.007069,1.65671,-1.1467
18999.7,-0.000862405,0.0063726,1.65597,-1.14756
18999.7,-0.00245038,0.00472547,1.65441,-1.149
18999.7,0.00280628,0.00989035,1.65972,-1.14376
18999.7,0.000350965,0.00784578,1.65738,-1.14601
18999.7,-0.00207871,0.00510823,1.65482,-1.14866
18999.7,-0.000370744,0.00662039,1.65639,-1.14709
18999.7,-0.000512633,0.00660187,1.65635,-1.14714
18999.7,0.00161549,0.00852558,1.65829,-1.14507
18999.7,-0.0027954,0.00435226,1.65408,-1.14935
18999.7,0.00234983,0.00923944,1.65895,-1.14441
18999.7,-0.00291466,0.00424204,1.65368,-1.14965
18999.6,0.000678279,0.00753915,1.65724,-1.14616
18999.6,-0.00148363,0.00536081,1.655,-1.14837
18999.7,0.00152404,0.00831788,1.65801,-1.14539
18999.7,-0.00486468,0.00217163,1.65179,-1.15155
18999.7,-0.00290086,0.00390304,1.65355,-1.1498
18999.7,0.00113643,0.00806685,1.65775,-1.14563
18999.7,-0.00151043,0.00527804,1.65505,-1.14827
18999.7,0.00162811,0.00843546,1.65807,-1.14532
18999.7,0.00155424,0.00813165,1.6579,-1.14547
18999.7,3.33E-05,0.00661096,1.65632,-1.14708
18999.7,0.000681145,0.00713231,1.65679,-1.14651
18999.7,-0.00237897,0.00387448,1.65377,-1.14958
18999.7,0.000326086,0.00669828,1.65651,-1.14684
18999.7,-0.00213134,0.00424363,1.6539,-1.1494
18999.7,-0.000548669,0.00577727,1.65548,-1.14789
18999.6,-0.00198637,0.00418742,1.65393,-1.14945
18999.7,-0.00319692,0.00312775,1.65287,-1.15048
18999.7,0.00194237,0.00816331,1.65807,-1.1453
18999.7,0.000967206,0.00729409,1.65703,-1.1464
18999.7,0.00167932,0.00799592,1.65762,-1.14562
18999.6,0.00239261,0.00866777,1.65823,-1.14513
18999.6,-0.000594654,0.00547025,1.65532,-1.14808
18999.7,0.00131325,0.00748371,1.65725,-1.14612
18999.7,0.000984288,0.00720571,1.65678,-1.14649
18999.6,-0.00287077,0.0032261,1.653,-1.15041
18999.7,0.000915206,0.00682477,1.65656,-1.14674
18999.7,0.000849356,0.00723029,1.6567,-1.14651
18999.6,0.00211546,0.00804641,1.65758,-1.1456
18999.7,2.81E-05,0.00606138,1.65576,-1.1475
18999.7,0.00180796,0.00788502,1.6575,-1.14575
18999.7,-0.00260018,0.00360993,1.65319,-1.15005
18999.7,0.000342589,0.00599593,1.65577,-1.14746
18999.7,-0.00267962,0.00326275,1.65273,-1.15044
18999.7,-0.000891483,0.00476245,1.65467,-1.14866
18999.7,-0.00291393,0.00294787,1.65254,-1.15071
18999.7,-0.000947293,0.00475445,1.6545,-1.14876
18999.7,-0.00310312,0.00277016,1.65247,-1.15081
18999.7,0.000891176,0.00694572,1.6565,-1.14665
18999.6,0.00311605,0.00889319,1.65861,-1.14466
18999.7,0.000822891,0.00670235,1.65646,-1.14684
18999.7,-0.00322003,0.002763,1.65232,-1.1509
18999.7,0.00185125,0.00775691,1.65728,-1.14595
18999.7,0.000796939,0.00686855,1.65649,-1.14671
18999.7,-0.00226217,0.00360661,1.65331,-1.14989
18999.7,-0.00191245,0.0039687,1.65369,-1.14957
18999.7,0.000580849,0.00658221,1.65626,-1.14703
18999.7,0.00188444,0.00779967,1.65744,-1.1458
18999.7,0.00110051,0.00702451,1.65678,-1.14654
18999.7,-0.00136164,0.00447736,1.65423,-1.1491
18999.7,-0.0038287,0.00215205,1.65188,-1.1514
18999.7,0.000176271,0.00642375,1.65595,-1.14735
18999.7,0.000584193,0.0067869,1.6565,-1.14679
18999.7,-0.000189283,0.00571315,1.65533,-1.14791
18999.7,0.000697485,0.00677803,1.65637,-1.14688
18999.7,0.00135642,0.00737005,1.65698,-1.14628
18999.7,0.00119177,0.00701751,1.65656,-1.1467
18999.7,0.00147008,0.00753771,1.65726,-1.14598
18999.7,-7.30E-06,0.00580509,1.65546,-1.14774
18999.7,-0.000299833,0.00549819,1.65529,-1.14804
18999.7,-0.00121813,0.00471749,1.65461,-1.14873
18999.7,-0.00116952,0.00456769,1.65433,-1.14894
18999.7,0.0016164,0.00753746,1.65722,-1.14604
18999.7,0.000922302,0.00682616,1.65648,-1.14675
18999.7,-0.00151013,0.00437707,1.654,-1.14923
18999.7,-0.00215464,0.00394259,1.65356,-1.14968
18999.6,0.0021598,0.00774655,1.65732,-1.14584
18999.7,-0.00243048,0.00340267,1.65312,-1.15007
18999.7,0.000121249,0.00605697,1.65569,-1.14753
18999.7,-0.00280536,0.00328888,1.65288,-1.15032
18999.8,-0.002479,0.00370316,1.65326,-1.14994
18999.7,0.000814028,0.00654319,1.65614,-1.14706
18999.7,-0.00282473,0.00320484,1.65282,-1.15044
18999.7,-0.00050919,0.00527638,1.65513,-1.14822
18999.7,0.00164732,0.00761609,1.65731,-1.14591
18999.7,0.00305731,0.00890084,1.65866,-1.14454
18999.7,8.42E-05,0.00602662,1.65552,-1.14763
18999.7,-0.00228638,0.00343551,1.65309,-1.15016
18999.7,9.23E-05,0.00612854,1.65577,-1.14751
18999.7,-0.00292368,0.00314397,1.65272,-1.15048
18999.7,0.00192416,0.00789193,1.65751,-1.14572
18999.7,-0.00111827,0.00469132,1.65436,-1.14892
18999.6,-0.00233545,0.00343241,1.65309,-1.15016
18999.7,-0.00149359,0.00454301,1.65412,-1.14912
18999.7,-0.00287718,0.00302557,1.65273,-1.15055
18999.6,-0.0014854,0.00446963,1.65408,-1.1492
18999.6,-0.000928902,0.00475161,1.65459,-1.14872
18999.7,-0.000975456,0.00514811,1.65479,-1.14843
18999.7,0.000244948,0.00668131,1.65638,-1.14693
18999.7,-0.00238539,0.00357801,1.65337,-1.14985
18999.7,-0.00312208,0.00340584,1.65295,-1.15027
18999.6,-0.00337782,0.00275041,1.65239,-1.15091
18999.7,-0.00203069,0.00440393,1.65405,-1.14917
18999.7,0.00167844,0.00788007,1.65762,-1.14563
18999.7,0.00213385,0.00836049,1.65815,-1.14516
18999.6,-0.00233851,0.00399625,1.65366,-1.14965
18999.7,-0.000501518,0.00596579,1.65562,-1.14764
18999.7,0.00258949,0.00888698,1.65856,-1.14465
18999.7,0.00223619,0.00874457,1.65834,-1.14482
18999.7,-0.00138104,0.00493424,1.65462,-1.14868
18999.7,0.000774896,0.00725015,1.65685,-1.14631
18999.6,-0.00189016,0.00402888,1.6537,-1.1495
18999.7,-0.00243598,0.00361763,1.65345,-1.14979
18999.7,-0.00205128,0.00443982,1.65418,-1.14907
18999.6,0.00238481,0.00853438,1.65812,-1.14501
18999.7,-0.00180596,0.00468545,1.65425,-1.14893
18999.7,-0.00236816,0.00382956,1.65362,-1.14961
18999.7,-0.000912188,0.00552173,1.65516,-1.14808
18999.6,-0.000131762,0.00586524,1.65548,-1.14773
18999.7,-0.000158124,0.00592995,1.65558,-1.14758
18999.6,-0.00226075,0.00387695,1.65348,-1.14977
18999.6,-0.00077999,0.0053418,1.65496,-1.14824
18999.7,0.00130824,0.00760879,1.65722,-1.14595
18999.7,-0.00109476,0.00526471,1.65496,-1.14833
18999.7,-0.00192727,0.00433516,1.65407,-1.14922
18999.7,0.000461586,0.00657767,1.65628,-1.14698
18999.7,-0.00156812,0.00448534,1.65431,-1.14903
18999.7,-0.0022976,0.00390608,1.65361,-1.14966
18999.7,0.00188533,0.00816605,1.65786,-1.14537
18999.7,0.000246925,0.0062528,1.656,-1.1473
18999.7,0.00253231,0.00850173,1.65829,-1.14495
18999.7,-0.00024931,0.00608248,1.65576,-1.14755
18999.7,0.00248017,0.00850695,1.65828,-1.14499
18999.7,0.001158,0.0072436,1.65686,-1.14631
18999.7,-0.0017835,0.00432073,1.65395,-1.14928
18999.7,0.00114218,0.00724499,1.65685,-1.1464
18999.7,0.00113524,0.00705103,1.65667,-1.14649
18999.7,-0.00245485,0.00364025,1.65314,-1.15011
18999.7,0.00194489,0.00815711,1.65773,-1.14546
18999.7,-0.00260793,0.00335757,1.65299,-1.15023
18999.6,0.00136447,0.00719039,1.65702,-1.14637
18999.7,-0.00207979,0.0038577,1.65355,-1.14965
18999.7,-0.00289416,0.00324685,1.65295,-1.15028
18999.7,-0.00126343,0.0048981,1.6545,-1.14871
18999.7,0.000346901,0.00629399,1.65588,-1.14721
18999.7,0.0006792,0.00698507,1.65659,-1.1466
18999.7,0.000647605,0.00671293,1.65622,-1.14696
18999.7,-0.00310606,0.00283721,1.65225,-1.15085
18999.7,-0.000274605,0.00560423,1.65557,-1.1478
18999.7,-0.000442559,0.00538493,1.65519,-1.14802
18999.6,0.0017016,0.00734907,1.65706,-1.14621
18999.6,0.00113754,0.00674458,1.65651,-1.14675
18999.7,-0.000669368,0.00491541,1.65472,-1.14851
18999.7,0.00100689,0.00690286,1.65652,-1.1466
18999.7,-0.00285103,0.00285537,1.65255,-1.15069
18999.7,0.000611889,0.00638285,1.65584,-1.14723
