Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
5999.88,2.4997,0.154451,0.233965,2.70936
6099.87,2.49989,0.157569,0.243417,2.71804
6099.9,2.49977,0.157495,0.243533,2.71783
6099.91,2.49997,0.15757,0.243529,2.71795
6199.89,2.49957,0.160672,0.253418,2.727
6199.95,2.49953,0.160685,0.253624,2.72687
6199.94,2.4996,0.160711,0.253391,2.72682
6299.96,2.49952,0.163821,0.2638,2.73596
6299.98,2.49941,0.163816,0.263809,2.73573
6299.91,2.49933,0.163753,0.263738,2.73597
6299.95,2.49963,0.163827,0.263589,2.73601
6399.99,2.49936,0.167028,0.274152,2.74532
6399.99,2.49938,0.166991,0.274002,2.74532
6400,2.49937,0.167054,0.274229,2.74547
6500.03,2.49946,0.170298,0.284596,2.75505
6500.04,2.49931,0.170237,0.284562,2.75479
6500.01,2.49909,0.17021,0.284692,2.75484
6599.89,2.49916,0.173435,0.295461,2.76453
6599.81,2.49908,0.173474,0.2956,2.76454
6599.87,2.49915,0.173463,0.295269,2.76444
6599.9,2.49908,0.173449,0.295636,2.76452
6699.87,2.49903,0.176783,0.306529,2.77451
6699.86,2.49888,0.17676,0.306843,2.77444
6699.86,2.49888,0.176753,0.306781,2.77423
6799.87,2.4988,0.180052,0.318103,2.78451
6799.89,2.49876,0.180063,0.317841,2.7845
6799.86,2.49887,0.180109,0.317988,2.78473
6899.94,2.49855,0.183475,0.329545,2.79485
6899.88,2.49867,0.18343,0.329818,2.79498
6899.93,2.49864,0.183494,0.32964,2.79487
6999.95,2.49848,0.186824,0.341452,2.80541
6999.9,2.49886,0.186828,0.341432,2.80591
6999.94,2.49849,0.186833,0.341691,2.80552
6999.93,2.49884,0.186859,0.341533,2.80553
7099.93,2.49829,0.1902,0.353644,2.81629
7099.98,2.49838,0.190274,0.35372,2.81641
7099.94,2.49873,0.190278,0.353695,2.81662
7199.96,2.49815,0.193667,0.366008,2.82731
7199.95,2.49847,0.193732,0.366014,2.82754
7199.94,2.49834,0.193724,0.366299,2.82755
7300,2.49815,0.197269,0.379123,2.83879
7299.99,2.4983,0.197296,0.379079,2.83887
7300.04,2.49823,0.197272,0.3791,2.83889
7299.99,2.49833,0.197297,0.37888,2.83895
7399.83,2.49805,0.200714,0.391759,2.85032
7399.83,2.49839,0.200777,0.391882,2.85054
7399.8,2.49822,0.200784,0.391975,2.85043
7499.95,2.4979,0.204398,0.405,2.86224
7499.85,2.49805,0.204374,0.405126,2.86216
7499.89,2.49815,0.204325,0.405073,2.86205
7599.88,2.49803,0.208015,0.418715,2.87427
7599.84,2.49786,0.207976,0.418628,2.87415
7599.91,2.4981,0.208004,0.418481,2.8742
7699.93,2.49787,0.211712,0.432347,2.88661
7699.9,2.49787,0.21162,0.432517,2.8867
7699.92,2.49762,0.211644,0.432426,2.88654
7699.91,2.49787,0.211655,0.43253,2.88666
7799.99,2.49775,0.215345,0.446591,2.89915
7799.95,2.49784,0.215395,0.446508,2.89919
7799.92,2.49768,0.215431,0.44671,2.89915
7899.98,2.49767,0.219106,0.461064,2.91195
7899.97,2.49768,0.219165,0.461058,2.91185
7899.93,2.49773,0.219126,0.461097,2.9119
8000,2.49767,0.222973,0.475904,2.92499
7999.95,2.49726,0.22293,0.475929,2.92483
7999.98,2.49745,0.22296,0.47596,2.92519
7999.98,2.49735,0.222936,0.475844,2.92503
8100,2.49761,0.226818,0.491065,2.93862
8100.02,2.49742,0.226789,0.491094,2.93842
8099.99,2.49734,0.226816,0.491179,2.93863
8199.82,2.4976,0.230796,0.506357,2.95225
8199.81,2.49724,0.230743,0.506479,2.95199
8199.82,2.49738,0.230774,0.50647,2.95225
8299.84,2.49717,0.234665,0.522448,2.96602
8299.86,2.4971,0.234725,0.522449,2.966
8299.91,2.49719,0.234692,0.522255,2.96621
8399.85,2.49675,0.238669,0.538385,2.98018
8399.85,2.49676,0.238718,0.538476,2.9802
8399.87,2.49687,0.238634,0.538633,2.98014
8399.9,2.497,0.238725,0.538508,2.9801
8499.92,2.49654,0.242718,0.554965,2.99471
8499.86,2.49673,0.242762,0.554959,2.99479
8499.93,2.49687,0.242768,0.55494,2.99479
8599.94,2.49668,0.246842,0.571849,3.00965
8599.94,2.49658,0.246844,0.571863,3.00995
8599.9,2.49636,0.246916,0.571932,3.00959
8699.94,2.49629,0.251082,0.58919,3.02502
8699.93,2.49651,0.251155,0.589393,3.02503
8699.95,2.49628,0.251069,0.589313,3.02483
8721.65,2.49508,0.251859,0.592619,3.02641
8799.98,2.49625,0.25535,0.60676,3.04015
8800,2.49631,0.25534,0.606917,3.04032
8799.97,2.49627,0.255346,0.606942,3.04043
8900.01,2.49611,0.259586,0.624665,3.0561
8900.03,2.49609,0.259651,0.62481,3.05625
8900.02,2.49578,0.259574,0.62483,3.05602
8999.84,2.4959,0.263947,0.643322,3.07204
8999.83,2.49624,0.263977,0.643464,3.07228
8999.8,2.49574,0.263945,0.643352,3.07196
9099.87,2.4955,0.268392,0.66197,3.08842
9099.88,2.49568,0.268477,0.662254,3.08882
9099.91,2.49567,0.268403,0.662306,3.08864
9199.91,2.49549,0.272979,0.681351,3.10563
9199.83,2.49553,0.272948,0.681709,3.10546
9199.86,2.49558,0.272987,0.68161,3.10564
9199.78,2.49558,0.272978,0.681651,3.10559
9299.85,2.49536,0.27757,0.701276,3.12278
9299.88,2.49541,0.277577,0.7013,3.12284
9299.92,2.49549,0.277568,0.70152,3.12291
9399.96,2.49519,0.28217,0.721544,3.14046
9399.91,2.49511,0.282224,0.721662,3.14044
9399.9,2.49538,0.282171,0.721685,3.1406
9499.92,2.49501,0.28696,0.742234,3.15845
9499.94,2.49486,0.286939,0.742215,3.15834
9499.92,2.49517,0.286931,0.742352,3.15845
9499.9,2.49498,0.286957,0.742294,3.15841
9599.97,2.49461,0.291706,0.763339,3.17682
9599.98,2.49466,0.291667,0.763235,3.17649
9599.96,2.49491,0.291675,0.763379,3.17669
9699.83,2.49461,0.296543,0.784799,3.19541
9699.8,2.49445,0.296543,0.785091,3.19543
9699.81,2.49499,0.296613,0.784944,3.19561
9799.81,2.4949,0.301538,0.807067,3.21483
9799.82,2.49445,0.301497,0.806971,3.2146
9799.89,2.49467,0.301601,0.807008,3.2149
9799.81,2.49476,0.301513,0.807036,3.21481
9899.9,2.49442,0.306502,0.829726,3.2342
9899.9,2.49405,0.30652,0.829465,3.23405
9899.9,2.49427,0.306505,0.829837,3.23428
9999.87,2.49424,0.311628,0.852606,3.2542
9999.82,2.49436,0.311721,0.852716,3.25416
9999.92,2.49442,0.311746,0.852675,3.25449
10099.9,2.4939,0.316871,0.876578,3.27461
10099.9,2.49398,0.316866,0.876789,3.27458
10099.8,2.49404,0.316951,0.876622,3.27493
10199.9,2.49371,0.322246,0.900811,3.29546
10200,2.49408,0.322202,0.900888,3.29576
10199.9,2.49375,0.322209,0.90071,3.29555
10200,2.4937,0.322186,0.900916,3.29548
10299.9,2.49371,0.327558,0.925419,3.31671
10300,2.49348,0.327586,0.925559,3.31675
10299.9,2.49382,0.327625,0.925675,3.31722
10400,2.4933,0.333046,0.950998,3.33857
10399.9,2.49353,0.333025,0.951185,3.33872
10399.9,2.49338,0.33302,0.951321,3.33881
10499.8,2.49305,0.338601,0.976964,3.36086
10499.8,2.49334,0.338571,0.977024,3.36082
10499.8,2.49333,0.338742,0.977058,3.36095
10499.8,2.49322,0.338683,0.976989,3.36084
10599.8,2.49274,0.344355,1.00367,3.38354
10599.9,2.49275,0.344284,1.00373,3.38377
10599.8,2.49305,0.344263,1.00385,3.38361
10699.8,2.4925,0.350015,1.0308,3.40645
10699.8,2.49287,0.350076,1.03088,3.4069
10699.8,2.49301,0.35004,1.03095,3.40704
10799.9,2.49249,0.355897,1.05853,3.43052
10799.8,2.49242,0.355928,1.05873,3.43041
10799.9,2.49242,0.35591,1.05886,3.43032
10899.9,2.492,0.361903,1.08736,3.45446
10899.9,2.49224,0.361971,1.08762,3.45491
10899.9,2.49222,0.361924,1.08755,3.45471
10899.8,2.49261,0.361947,1.08769,3.45505
10999.9,2.49215,0.368066,1.11673,3.4796
11000,2.49206,0.368016,1.11661,3.47943
10999.9,2.49214,0.368014,1.11644,3.4794
11100,2.49188,0.374136,1.14649,3.50482
11099.9,2.49216,0.374217,1.14656,3.50482
11099.9,2.49181,0.374205,1.14681,3.50477
11200,2.49124,0.380432,1.17726,3.53037
11200,2.4914,0.380518,1.1775,3.53057
11200,2.49161,0.38054,1.17743,3.53086
11299.8,2.49105,0.386969,1.20866,3.55694
11299.8,2.49113,0.386928,1.20869,3.5569
11299.8,2.49123,0.386956,1.2089,3.55696
11299.8,2.49125,0.386954,1.2089,3.55695
11399.8,2.49096,0.393443,1.24099,3.58384
11399.8,2.49128,0.393531,1.24098,3.58413
11399.8,2.49094,0.393545,1.24116,3.58417
11499.9,2.49083,0.400234,1.27407,3.6118
11499.9,2.49099,0.400295,1.27442,3.612
11499.8,2.49097,0.40029,1.27402,3.61186
11599.8,2.49086,0.407125,1.30799,3.64004
11599.9,2.49063,0.407173,1.30827,3.64021
11599.9,2.4905,0.407155,1.30794,3.63995
11699.9,2.49004,0.414002,1.34251,3.66868
11699.9,2.49011,0.41401,1.34261,3.66873
11700,2.49029,0.414038,1.34288,3.6688
11699.9,2.49004,0.414075,1.34281,3.66889
11800,2.48985,0.421126,1.37812,3.69819
11800,2.49012,0.42124,1.37841,3.69849
11799.9,2.48979,0.421229,1.37834,3.69848
11900,2.48957,0.428434,1.41485,3.72851
11899.9,2.48946,0.428404,1.41504,3.72866
11900,2.48944,0.428511,1.41506,3.72884
12000,2.48919,0.435713,1.45191,3.75906
12000,2.48907,0.435789,1.45207,3.75901
11999.9,2.48906,0.435791,1.45212,3.7592
12000,2.48914,0.435771,1.45214,3.7592
12099.8,2.48897,0.443315,1.49027,3.7909
12099.8,2.48885,0.443253,1.49044,3.79066
12099.8,2.48895,0.443237,1.49049,3.79063
12199.7,2.48865,0.450989,1.52966,3.82291
12199.8,2.48851,0.451084,1.52977,3.82283
12199.8,2.48865,0.451043,1.52965,3.82298
12299.9,2.48803,0.458803,1.56985,3.85563
12299.8,2.488,0.458824,1.57012,3.85576
12299.8,2.4881,0.458865,1.57019,3.85586
12399.8,2.48805,0.466904,1.61129,3.88956
12399.9,2.48776,0.466912,1.61147,3.88929
12399.9,2.48776,0.466879,1.61162,3.88947
12399.9,2.48766,0.466925,1.61148,3.88942
12499.9,2.48757,0.475111,1.65354,3.9238
12499.9,2.4878,0.47519,1.65412,3.92402
12499.9,2.48745,0.475053,1.65421,3.92371
12599.9,2.48731,0.483439,1.69735,3.95902
12599.9,2.48692,0.483495,1.69755,3.95919
12599.9,2.48737,0.48348,1.6978,3.95945
12699.9,2.48682,0.492062,1.74222,3.99527
12699.9,2.48684,0.492016,1.74231,3.99513
12700,2.4866,0.491977,1.74224,3.99477
12700,2.48721,0.492033,1.74263,3.9955
12799.7,2.48639,0.500666,1.78805,4.03152
12799.8,2.48634,0.500728,1.78843,4.03186
12799.8,2.48654,0.500803,1.78837,4.0319
12899.8,2.48577,0.509508,1.83481,4.06908
12899.8,2.48588,0.509664,1.83531,4.06924
12899.8,2.48588,0.509625,1.83502,4.0691
12999.8,2.48556,0.518684,1.88312,4.10768
12999.8,2.48543,0.518778,1.88359,4.10769
12999.8,2.48555,0.518764,1.88345,4.1077
12999.8,2.48555,0.518684,1.88373,4.10777
13099.8,2.48509,0.527996,1.93282,4.14673
13099.9,2.48532,0.528029,1.93301,4.14698
13099.9,2.48507,0.527978,1.93284,4.14665
13199.9,2.4843,0.537333,1.98312,4.18634
13199.8,2.48462,0.537426,1.98358,4.18646
13199.8,2.4845,0.537407,1.98346,4.18645
13299.9,2.48392,0.54701,2.03531,4.22697
13299.8,2.48388,0.547071,2.03563,4.22697
13299.9,2.48415,0.54718,2.03577,4.22757
13400,2.48359,0.556947,2.08894,4.26887
13399.9,2.48355,0.556963,2.0891,4.269
13399.9,2.48335,0.556897,2.08877,4.26859
13399.9,2.48356,0.556986,2.0893,4.26912
13499.9,2.4829,0.567101,2.14405,4.31178
13500,2.48304,0.567162,2.14422,4.3117
13499.9,2.48285,0.567116,2.14431,4.31161
13599.8,2.48258,0.57743,2.20036,4.35506
13599.8,2.48225,0.577409,2.20057,4.35526
13599.7,2.48247,0.577542,2.20095,4.35559
13699.8,2.48192,0.587884,2.2583,4.39918
13699.8,2.48188,0.58801,2.25863,4.3995
13699.8,2.482,0.587985,2.25874,4.39936
13799.8,2.48141,0.598722,2.31771,4.44442
13799.8,2.4815,0.598872,2.31835,4.44459
13799.8,2.48114,0.598866,2.31817,4.44474
13799.8,2.48125,0.598835,2.31815,4.44461
13899.8,2.48062,0.609695,2.37848,4.49024
13899.8,2.48087,0.609737,2.37895,4.49073
13899.9,2.4807,0.609755,2.37899,4.49055
13999.9,2.4799,0.620817,2.44089,4.53697
13999.8,2.47999,0.620863,2.44119,4.53731
13999.8,2.48015,0.620974,2.44151,4.53741
14099.8,2.47936,0.632314,2.50499,4.58485
14099.9,2.47948,0.632385,2.50557,4.58534
14100,2.47912,0.632341,2.50538,4.58485
14099.8,2.47961,0.632399,2.50578,4.58532
14199.9,2.47861,0.644067,2.57108,4.63377
14200,2.47881,0.644085,2.57149,4.6339
14199.9,2.47881,0.644077,2.57146,4.63392
14299.9,2.4777,0.655828,2.63824,4.6826
14299.9,2.4779,0.655979,2.63888,4.68328
14299.9,2.47812,0.656022,2.63903,4.68352
14399.8,2.47683,0.668049,2.70732,4.73334
14399.7,2.47702,0.668195,2.70792,4.73349
14399.8,2.47731,0.668354,2.7085,4.73396
14499.8,2.47658,0.680567,2.77898,4.78486
14499.8,2.47644,0.680677,2.77925,4.78488
14499.9,2.47626,0.680655,2.77922,4.78506
14499.8,2.47672,0.68075,2.77979,4.78539
14599.8,2.47547,0.693285,2.85193,4.83697
14599.8,2.47553,0.693309,2.85227,4.83691
14599.8,2.47571,0.693436,2.85254,4.83735
14699.9,2.47466,0.706225,2.92637,4.88958
14699.8,2.47475,0.70626,2.92705,4.89008
14699.8,2.47458,0.706303,2.92729,4.88995
14799.8,2.47395,0.719353,3.00264,4.94306
14799.8,2.47424,0.719462,3.00326,4.94348
14799.9,2.4739,0.719508,3.00347,4.94349
14799.8,2.47408,0.719514,3.00389,4.94385
14899.9,2.47307,0.732843,3.08174,4.99761
14899.9,2.47287,0.732754,3.08175,4.99747
14899.9,2.47318,0.732896,3.08188,4.99781
14999.9,2.47234,0.746329,3.16089,5.05189
14999.9,2.47227,0.746436,3.16153,5.05241
14999.9,2.47221,0.746503,3.16174,5.05226
15099.9,2.47128,0.760304,3.24297,5.10757
15099.9,2.47143,0.760296,3.24352,5.10793
15100,2.47141,0.760289,3.24358,5.10779
15199.8,2.47063,0.774147,3.3262,5.16345
15199.8,2.47057,0.774224,3.32639,5.16338
15199.7,2.47033,0.774223,3.3266,5.1633
15199.8,2.47037,0.774311,3.3269,5.16361
15299.8,2.46961,0.788434,3.41167,5.21953
15299.8,2.46894,0.788347,3.41156,5.2191
15299.8,2.46932,0.788423,3.41153,5.21888
15399.8,2.46845,0.802663,3.49787,5.27551
15399.8,2.46835,0.802696,3.49814,5.2755
15399.8,2.46797,0.802684,3.4984,5.2754
15499.8,2.46726,0.817174,3.58587,5.33165
15499.9,2.46732,0.817251,3.58659,5.33178
15499.9,2.46687,0.817275,3.58665,5.33158
15599.9,2.46601,0.831794,3.67499,5.38753
15599.9,2.46606,0.831868,3.67575,5.3879
15599.8,2.46625,0.83196,3.67608,5.38807
15599.8,2.46615,0.832012,3.67643,5.38847
15699.9,2.465,0.846526,3.76654,5.44383
15699.8,2.46511,0.846727,3.76739,5.44422
15699.9,2.46487,0.846716,3.76741,5.44406
15799.9,2.46355,0.861404,3.85929,5.50007
15799.9,2.46401,0.861555,3.8603,5.50038
15799.9,2.46388,0.861544,3.8602,5.49996
15899.7,2.46255,0.876458,3.95341,5.55561
15899.7,2.46259,0.876487,3.95401,5.55554
15899.7,2.4626,0.876545,3.95433,5.55566
15899.7,2.46264,0.876691,3.95464,5.55616
15999.8,2.46145,0.891564,4.04915,5.61099
15999.7,2.46115,0.891616,4.04971,5.6109
15999.8,2.46156,0.891694,4.04999,5.61092
16099.8,2.46004,0.906467,4.14535,5.66468
16099.8,2.46001,0.90661,4.14598,5.66502
16099.8,2.4602,0.906645,4.14586,5.66476
16199.8,2.45895,0.921458,4.24164,5.71777
16199.8,2.45893,0.921568,4.24238,5.7179
16199.8,2.45905,0.92163,4.24276,5.7178
16299.8,2.45761,0.936303,4.33872,5.76929
16299.8,2.45744,0.936389,4.33959,5.76939
16299.9,2.45764,0.936433,4.33973,5.76936
16299.8,2.45779,0.936474,4.34023,5.76967
16400,2.45621,0.951013,4.43625,5.81906
16399.9,2.45674,0.951103,4.43729,5.81962
16399.9,2.45629,0.951121,4.43722,5.81929
