Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
5999.88,-0.0119144,1.4205644,2.9745144,0.0363358
6099.87,-0.0116639,1.4211439,2.9728039,0.0365115
6099.9,-0.0113723,1.4205623,2.9735823,0.0366457
6099.91,-0.0113274,1.4206174,2.9749474,0.0366937
6199.89,-0.012671,1.418961,2.974901,0.0365921
6199.95,-0.0134032,1.4192832,2.9752432,0.0366147
6199.94,-0.0104041,1.4183741,2.9744541,0.036746
6299.96,-0.0107555,1.4186355,2.9754255,0.0367689
6299.98,-0.0128474,1.4184774,2.9742274,0.0367832
6299.91,-0.012227,1.417947,2.974177,0.0366204
6299.95,-0.012161,1.418431,2.975221,0.0367249
6399.99,-0.0112338,1.4170838,2.9750138,0.0368405
6399.99,-0.010749,1.416939,2.975439,0.0368458
6400,-0.0117577,1.4168577,2.9748177,0.0368475
6500.03,-0.0115442,1.4154542,2.9767442,0.0368509
6500.04,-0.0123754,1.4162054,2.9767554,0.0370696
6500.01,-0.0122307,1.4155707,2.9775207,0.0368317
6599.89,-0.0110195,1.4142795,2.9738995,0.0368657
6599.81,-0.0108014,1.4142114,2.9743214,0.0367388
6599.87,-0.0110317,1.4142717,2.9708117,0.0369076
6599.9,-0.0115296,1.4145196,2.9750796,0.0369478
6699.87,-0.00998144,1.41273144,2.97492144,0.03674654
6699.86,-0.0116854,1.4132654,2.9726554,0.0366197
6699.86,-0.00927129,1.41245129,2.97533129,0.03654229
6799.87,-0.00936736,1.41094736,2.97437736,0.03643256
6799.89,-0.010889,1.412429,2.974969,0.0365423
6799.86,-0.0107496,1.4110596,2.9747196,0.0363406
6899.94,-0.0110812,1.4105812,2.9742112,0.0366289
6899.88,-0.0105148,1.4106848,2.9743348,0.0362954
6899.93,-0.00959201,1.41021201,2.97453201,0.03659541
6999.95,-0.0106336,1.4093836,2.9751836,0.0362465
6999.9,-0.00926673,1.40897673,2.97349673,0.03611713
6999.94,-0.0110179,1.4089979,2.9741879,0.0362226
6999.93,-0.0096236,1.4097936,2.9751936,0.0362021
7099.93,-0.0115098,1.4075798,2.9747798,0.036031
7099.98,-0.0092818,1.4073118,2.9745418,0.0362518
7099.94,-0.0106406,1.4078206,2.9731006,0.0361024
7199.96,-0.00869507,1.40505507,2.97228507,0.03580527
7199.95,-0.0109648,1.4057948,2.9721248,0.0359149
7199.94,-0.00980095,1.40568095,2.97211095,0.03581325
7300,-0.00948134,1.40498134,2.97284134,0.03549274
7299.99,-0.00944707,1.40435707,2.97257707,0.03546007
7300.04,-0.00993254,1.40499254,2.97281254,0.03570684
7299.99,-0.0109938,1.4044838,2.9736638,0.0354309
7399.83,-0.011231,1.403181,2.972441,0.0353095
7399.83,-0.00894869,1.40263869,2.97267869,0.03532289
7399.8,-0.00939463,1.40274463,2.97264463,0.03516533
7499.95,-0.0111099,1.4009199,2.9719799,0.0350295
7499.85,-0.0110229,1.4005629,2.9704129,0.0347568
7499.89,-0.010053,1.400913,2.971533,0.0350386
7599.88,-0.00940233,1.39920233,2.97116233,0.03458463
7599.84,-0.00999874,1.39997874,2.97115874,0.03464654
7599.91,-0.00922241,1.39861241,2.97250241,0.03472041
7699.93,-0.00972739,1.39775739,2.97053739,0.03429409
7699.9,-0.00955602,1.39810602,2.96987602,0.03419482
7699.92,-0.0100348,1.3967848,2.9701948,0.0342937
7699.91,-0.00915769,1.39745769,2.97089769,0.03431929
7799.99,-0.00877799,1.39527799,2.96901799,0.03377029
7799.95,-0.0107144,1.3947044,2.9697644,0.0337201
7799.92,-0.0101429,1.3951229,2.9692529,0.0336429
7899.98,-0.00836394,1.39339394,2.96841394,0.03328884
7899.97,-0.0104421,1.3936621,2.9677721,0.0333553
7899.93,-0.0092718,1.3934718,2.9692418,0.033213
8000,-0.00918316,1.39129316,2.96636316,0.03272246
7999.95,-0.0072322,1.3914022,2.9668322,0.0325325
7999.98,-0.00885864,1.39220864,2.96639864,0.03264364
7999.98,-0.00974087,1.39101087,2.96690087,0.03276537
8100,-0.00741191,1.38926191,2.96654191,0.03205181
8100.02,-0.00987693,1.38944693,2.96585693,0.03206193
8099.99,-0.00903379,1.38984379,2.96569379,0.03202399
8199.82,-0.00697254,1.38713254,2.96387254,0.03139134
8199.81,-0.00858653,1.38693653,2.96413653,0.03145183
8199.82,-0.00783651,1.38717651,2.96382651,0.03141681
8299.84,-0.00922231,1.38495231,2.96424231,0.03063511
8299.86,-0.00949195,1.38581195,2.96311195,0.03070175
8299.91,-0.00861841,1.38616841,2.96365841,0.03100731
8399.85,-0.00885076,1.38239076,2.96276076,0.03000116
8399.85,-0.00828297,1.38284297,2.96200297,0.02993087
8399.87,-0.0072198,1.3827698,2.9614998,0.0302077
8399.9,-0.0098995,1.3823395,2.9620295,0.0301058
8499.92,-0.00802182,1.37995182,2.96018182,0.02937762
8499.86,-0.00757231,1.38037231,2.96101231,0.02917451
8499.93,-0.00822479,1.38086479,2.96032479,0.02947739
8599.94,-0.00749885,1.37797885,2.95929885,0.02837635
8599.94,-0.00791888,1.37838888,2.95902888,0.02837268
8599.9,-0.00870524,1.37826524,2.95835524,0.02842004
8699.94,-0.00770293,1.37547293,2.95751293,0.02753353
8699.93,-0.00650956,1.37518956,2.95744956,0.02744176
8699.95,-0.00705412,1.37599412,2.95772412,0.02743612
8721.65,-0.0738583,1.3808883,2.9651183,0.0293667
8799.98,-0.00868214,1.37361214,2.95565214,0.02655454
8800,-0.00691498,1.37403498,2.95547498,0.02657378
8799.97,-0.00805863,1.37347863,2.95476863,0.02656943
8900.01,-0.0077613,1.3709613,2.9542413,0.0257518
8900.03,-0.00894928,1.37143928,2.95330928,0.02583138
8900.02,-0.00754695,1.37084695,2.95450695,0.02570245
8999.84,-0.00721958,1.36843958,2.95259958,0.02474648
8999.83,-0.00765831,1.36904831,2.95295831,0.02465301
8999.8,-0.0075093,1.3680893,2.9520393,0.0243793
9099.87,-0.00987672,1.36497672,2.95009672,0.02344342
9099.88,-0.00646297,1.36479297,2.95060297,0.02353107
9099.91,-0.00592561,1.36502561,2.95190561,0.02368581
9199.91,-0.00787351,1.36211351,2.94873351,0.02240951
9199.83,-0.00675701,1.36169701,2.94928701,0.02204481
9199.86,-0.00732747,1.36224747,2.94848747,0.02218287
9199.78,-0.00874179,1.36182179,2.94730179,0.02198829
9299.85,-0.00639878,1.35969878,2.94702878,0.02081178
9299.88,-0.00582106,1.35941106,2.94668106,0.02098736
9299.92,-0.00810625,1.36016625,2.94612625,0.02126605
9399.96,-0.00599039,1.35682039,2.94431039,0.01985759
9399.91,-0.00736551,1.35676551,2.94411551,0.01961691
9399.9,-0.00544858,1.35680858,2.94439858,0.01954408
9499.92,-0.00608212,1.35352212,2.94182212,0.01830842
9499.94,-0.00909776,1.35419776,2.94190776,0.01835207
9499.92,-0.00596922,1.35428922,2.94193922,0.01827962
9499.9,-0.00543375,1.35384375,2.94211375,0.01810795
9599.97,-0.00554295,1.35104295,2.93930295,0.01682475
9599.98,-0.00755356,1.35098356,2.93978356,0.01675278
9599.96,-0.0067265,1.3508665,2.9393465,0.0168595
9699.83,-0.00770161,1.34825161,2.93748161,0.01551089
9699.8,-0.0058235,1.3470235,2.9377635,0.01551799
9699.81,-0.00889742,1.34748742,2.93747742,0.01534374
9799.81,-0.00754254,1.34447254,2.93538254,0.0138716
9799.82,-0.00866935,1.34449935,2.93514935,0.01378033
9799.89,-0.0059444,1.3454244,2.9351044,0.01415321
9799.81,-0.00816971,1.34414971,2.93478971,0.01368388
9899.9,-0.00524065,1.34090065,2.93264065,0.01224319
9899.9,-0.00665275,1.34117275,2.93204275,0.01214332
9899.9,-0.00651164,1.34066164,2.93300164,0.01227256
9999.87,-0.00635742,1.33846742,2.93025742,0.01045873
9999.82,-0.00652412,1.33805412,2.92947412,0.01039656
9999.92,-0.00553642,1.33822642,2.92951642,0.0104669
10099.9,-0.00510457,1.33442457,2.92722457,0.00878894
10099.9,-0.00699474,1.33347474,2.92687474,0.00851448
10099.8,-0.00626533,1.33401533,2.92685533,0.0084497
10199.9,-0.00478906,1.33052906,2.92396906,0.00657252
10200,-0.00495127,1.33112127,2.92497127,0.0068433
10199.9,-0.00592089,1.33065089,2.92436089,0.006610494
10200,-0.00607777,1.33030777,2.92450777,0.006758268
10299.9,-0.00817617,1.32714617,2.92104617,0.00461677
10300,-0.00660192,1.32700192,2.92110192,0.00488057
10299.9,-0.00522523,1.32652523,2.92110523,0.004354363
10400,-0.00461387,1.32306387,2.91810387,0.00256909
10399.9,-0.00622663,1.32340663,2.91767663,0.00253227
10399.9,-0.00639965,1.32348965,2.91796965,0.00247392
10499.8,-0.00676142,1.31919142,2.91517142,0.00041301
10499.8,-0.0043483,1.3193983,2.9151783,0.00047745
10499.8,-0.00563071,1.31910071,2.91478071,0.00025129
10499.8,-0.00811763,1.31932763,2.91525763,0.00030155
10599.8,-0.00569724,1.31582724,2.91157724,-0.00181828
10599.9,-0.0071669,1.3157569,2.9118769,-0.00172231
10599.8,-0.00464243,1.31534243,2.91121243,-0.00193948
10699.8,-0.00597675,1.31109675,2.90859675,-0.00435085
10699.8,-0.00543117,1.31064117,2.90788117,-0.00436537
10699.8,-0.00386593,1.31109593,2.90808593,-0.00446637
10799.9,-0.00582939,1.30762939,2.90508939,-0.00645681
10799.8,-0.00648703,1.30723703,2.90485703,-0.00678847
10799.9,-0.00490813,1.30677813,2.90460813,-0.00680077
10899.9,-0.00747626,1.30271626,2.90169626,-0.00930744
10899.9,-0.00499201,1.30305201,2.90067201,-0.00945469
10899.9,-0.00564445,1.30272445,2.90124445,-0.00940025
10899.8,-0.00642541,1.30299541,2.90057541,-0.00957219
10999.9,-0.00604654,1.29797654,2.89807654,-0.01181716
11000,-0.00430984,1.29798984,2.89708984,-0.01182196
10999.9,-0.00539768,1.29834768,2.89821768,-0.01193692
11100,-0.00439534,1.29383534,2.89386534,-0.01458966
11099.9,-0.00607316,1.29373316,2.89375316,-0.01479534
11099.9,-0.0044254,1.2934254,2.8936954,-0.014972
11200,-0.00466353,1.28911353,2.88978353,-0.01754037
11200,-0.00593133,1.28861133,2.88955133,-0.01754427
11200,-0.00405455,1.28883455,2.88958455,-0.01784395
11299.8,-0.0037642,1.2840542,2.8856842,-0.0208734
11299.8,-0.00430329,1.28404329,2.88576329,-0.02060111
11299.8,-0.00667327,1.28377327,2.88578327,-0.02081823
11299.8,-0.005993,1.284163,2.885493,-0.0208869
11399.8,-0.00281668,1.27889668,2.88129668,-0.02411942
11399.8,-0.005158,1.279428,2.881398,-0.0240317
11399.8,-0.00264439,1.27932439,2.88132439,-0.02393391
11499.9,-0.00342197,1.27386197,2.87735197,-0.02702353
11499.9,-0.00559329,1.27423329,2.87755329,-0.02693491
11499.8,-0.00441241,1.27379241,2.87685241,-0.02740089
11599.8,-0.0051886,1.2686386,2.8727486,-0.0308877
11599.9,-0.00361354,1.26909354,2.87270354,-0.03054396
11599.9,-0.00226756,1.26895756,2.87193756,-0.03096414
11699.9,-0.00509258,1.26363258,2.86779258,-0.03446962
11699.9,-0.00388055,1.26308055,2.86788055,-0.03436335
11700,-0.0027734,1.2636734,2.8679734,-0.0341302
11699.9,-0.00263308,1.26323308,2.86737308,-0.03436552
11800,-0.00239493,1.25803493,2.86273493,-0.03782317
11800,-0.00387783,1.25787783,2.86323783,-0.03780677
11799.9,-0.00427222,1.25777222,2.86290222,-0.03788048
11900,-0.0044813,1.2523413,2.8580513,-0.0417605
11899.9,-0.00152002,1.25218002,2.85810002,-0.04192898
11900,-0.00287712,1.25254712,2.85807712,-0.04187318
12000,-0.00367201,1.24665201,2.85314201,-0.04555949
12000,-0.00282842,1.24624842,2.85315842,-0.04582118
11999.9,-0.00156901,1.24625901,2.85260901,-0.04597229
12000,-0.00441191,1.24651191,2.85274191,-0.04580929
12099.8,-0.00424647,1.24018647,2.84739647,-0.04996693
12099.8,-0.00446215,1.24036215,2.84775215,-0.05005885
12099.8,-0.00192004,1.24057004,2.84740004,-0.05005586
12199.7,-0.00184903,1.23399903,2.84192903,-0.05450157
12199.8,-0.00620017,1.23445017,2.84219017,-0.05426563
12199.8,-0.00414744,1.23409744,2.84195744,-0.05439816
12299.9,-0.00128128,1.22801128,2.83678128,-0.05873832
12299.8,-0.00296936,1.22780936,2.83644936,-0.05889154
12299.8,-0.00145121,1.22788121,2.83626121,-0.05885519
12399.8,-0.00262494,1.22154494,2.83071494,-0.06332826
12399.9,-0.00164741,1.22183741,2.83088741,-0.06324349
12399.9,-0.0049248,1.2210648,2.8309548,-0.0633781
12399.9,-0.0030554,1.2218354,2.8307554,-0.0633844
12499.9,-0.00457064,1.21488064,2.82471064,-0.06837486
12499.9,-0.00212223,1.21489223,2.82464223,-0.06839947
12499.9,-0.004907,1.214677,2.824377,-0.0683909
12599.9,-0.00497842,1.20724842,2.81785842,-0.07376008
12599.9,-0.00566847,1.20695847,2.81766847,-0.07370093
12599.9,-0.00453069,1.20748069,2.81780069,-0.07359251
12699.9,-0.00069299,1.20043299,2.81163299,-0.07885841
12699.9,-0.00477435,1.20075435,2.81135435,-0.07878525
12700,-0.00462922,1.20040922,2.81168922,-0.07885748
12700,-0.00253932,1.20059932,2.81164932,-0.07868248
12799.7,-0.000266496,1.193156496,2.805096496,-0.084423004
12799.8,-0.00277934,1.19361934,2.80494934,-0.08416476
12799.8,-0.000946474,1.193086474,2.804676474,-0.084485026
12899.8,-0.00130059,1.18536059,2.79804059,-0.09002921
12899.8,-0.00238158,1.18551158,2.79801158,-0.08994022
12899.8,-0.00302336,1.18536336,2.79779336,-0.09018134
12999.8,-0.00254403,1.17796403,2.79087403,-0.09566437
12999.8,-0.00380192,1.17782192,2.79052192,-0.09594808
12999.8,-0.00294892,1.17777892,2.79068892,-0.09611748
12999.8,-0.0011329,1.1774029,2.7907929,-0.0961116
13099.8,-0.00198174,1.16975174,2.78363174,-0.10203426
13099.9,0.000846218,1.170033782,2.783763782,-0.101876218
13099.9,-0.000767818,1.170127818,2.783647818,-0.101660182
13199.9,0.000107955,1.161922045,2.776452045,-0.108174955
13199.8,-0.00247976,1.16170976,2.77604976,-0.10831624
13199.8,-0.000825343,1.161285343,2.775995343,-0.108454657
13299.9,-0.00193797,1.15344797,2.76857797,-0.11472603
13299.8,-0.00201924,1.15315924,2.76845924,-0.11471176
13299.9,-0.00226812,1.15321812,2.76826812,-0.11493288
13400,-0.00103526,1.14431526,2.76015526,-0.12168174
13399.9,-0.00237068,1.14386068,2.75962068,-0.12204032
13399.9,-0.00192224,1.14406224,2.75989224,-0.12203276
13399.9,-0.00316149,1.14395149,2.75993149,-0.12196251
13499.9,-0.00164841,1.13504841,2.75132841,-0.12931459
13500,-0.000742808,1.135002808,2.751382808,-0.129101192
13499.9,-0.00106003,1.13485003,2.75144003,-0.12928197
13599.8,-0.000204845,1.125954845,2.742594845,-0.136525155
13599.8,-0.00196748,1.12593748,2.74257748,-0.13646452
13599.7,-0.000896004,1.125206004,2.742196004,-0.136805996
13699.8,-0.00335782,1.11625782,2.73387782,-0.14408318
13699.8,0.000538656,1.116061344,2.733601344,-0.144309656
13699.8,-0.002664,1.116234,2.733994,-0.1442
13799.8,0.000992642,1.106227358,2.724327358,-0.152310642
13799.8,0.000597327,1.106292673,2.724452673,-0.152168327
13799.8,-5.35E-05,1.1062635,2.7244735,-0.1521545
13799.8,-0.00028976,1.10612976,2.72435976,-0.15226624
13899.8,-0.000470796,1.096290796,2.715430796,-0.160281204
13899.8,0.00130486,1.09617514,2.71528514,-0.16035786
13899.9,0.000810819,1.096449181,2.715269181,-0.160313819
13999.9,0.00119151,1.08568849,2.70561849,-0.16882151
13999.8,0.000476051,1.085583949,2.705313949,-0.168984051
13999.8,-0.0010044,1.0854444,2.7051044,-0.1692236
14099.8,-0.00038968,1.07481968,2.69514968,-0.17792632
14099.9,-0.000701957,1.074871957,2.695271957,-0.177913043
14100,0.00157665,1.07548335,2.69556335,-0.17749265
14099.8,0.00224547,1.07468453,2.69464453,-0.17817447
14199.9,0.00112422,1.06270578,2.68331578,-0.18788822
14200,-0.00124949,1.06262949,2.68317949,-0.18785651
14199.9,-0.000507643,1.062277643,2.683107643,-0.188170357
14299.9,-0.000945459,1.051315459,2.672335459,-0.197422541
14299.9,-0.000442892,1.050712892,2.671962892,-0.197816108
14299.9,-7.46E-05,1.0507846,2.6718046,-0.1978104
14399.8,0.000118304,1.039341696,2.660881696,-0.207541304
14399.7,0.00123542,1.03913458,2.66079458,-0.20771042
14399.8,0.0028141,1.0387659,2.6607059,-0.2077351
14499.8,-0.00055602,1.02723602,2.64951602,-0.21763298
14499.8,0.00251816,1.02652184,2.64918184,-0.21811816
14499.9,0.00302311,1.02695689,2.64958689,-0.21771711
14499.8,6.16E-05,1.0266784,2.6490784,-0.2179996
14599.8,0.0045128,1.0142072,2.6373572,-0.2286238
14599.8,0.00253416,1.01398584,2.63715584,-0.22888216
14599.8,0.000238334,1.013941666,2.636951666,-0.228942334
14699.9,0.00320174,1.00143826,2.62505826,-0.23961074
14699.8,0.000144711,1.000895289,2.624555289,-0.239981711
14699.8,0.00246051,1.00054949,2.62459949,-0.24012651
14799.8,0.00250221,0.98726479,2.61170779,-0.25162321
14799.8,0.00205757,0.98718543,2.61149243,-0.25186557
14799.9,0.000629261,0.987176739,2.611610739,-0.251823261
14799.8,0.00473678,0.98697622,2.61148322,-0.25191378
14899.9,0.00124993,0.97275507,2.59830007,-0.26392593
14899.9,0.00394635,0.97310965,2.59843365,-0.26382335
14899.9,0.00121687,0.97257713,2.59819313,-0.26397487
14999.9,0.0024578,0.9567292,2.5820922,-0.2775718
14999.9,0.00341343,0.95624957,2.58143657,-0.27813143
14999.9,0.0048929,0.9563211,2.5816471,-0.2781589
15099.9,0.00334973,0.94169327,2.56772027,-0.29071873
15099.9,0.00547302,0.94143398,2.56740698,-0.29091302
15100,0.00315751,0.94173849,2.56750249,-0.29072751
15199.8,0.00181751,0.92696349,2.55332249,-0.30366351
15199.8,0.00313921,0.92675379,2.55327079,-0.30387721
15199.7,0.00614987,0.92645613,2.55293013,-0.30415087
15199.8,0.00663335,0.92655165,2.55292665,-0.30408935
15299.8,0.000852305,0.911076695,2.538267695,-0.317610305
15299.8,0.0027296,0.9106844,2.5379404,-0.3177866
15299.8,0.00493205,0.91101395,2.53812795,-0.31764705
15399.8,0.00328357,0.89495743,2.52260643,-0.33204157
15399.8,0.00340467,0.89462033,2.52244533,-0.33207867
15399.8,0.00364583,0.89448917,2.52221417,-0.33234483
15499.8,0.00239955,0.87797145,2.50645045,-0.34697055
15499.9,0.0066058,0.8781832,2.5066242,-0.3467968
15499.9,0.00427639,0.87776961,2.50632361,-0.34705139
15599.9,0.00298225,0.86071575,2.48983775,-0.36235725
15599.9,0.00833938,0.86041862,2.48961062,-0.36262838
15599.8,0.00547275,0.86003325,2.48946725,-0.36277675
15599.8,0.00660713,0.85998487,2.48920287,-0.36305413
15699.9,0.00204773,0.84178527,2.47157227,-0.37923173
15699.8,0.00488507,0.84159593,2.47138493,-0.37943607
15699.9,0.0051858,0.8415712,2.4711942,-0.3794408
15799.9,0.00713546,0.82289454,2.45355454,-0.39597646
15799.9,0.00661386,0.82235014,2.45337614,-0.39617986
15799.9,0.00506356,0.82254144,2.45330644,-0.39625556
15899.7,0.00430743,0.80178757,2.43220257,-0.41443843
15899.7,0.00620587,0.80180313,2.43210413,-0.41441687
15899.7,0.00667499,0.80179801,2.43217501,-0.41450299
15899.7,0.00463982,0.80131818,2.43177018,-0.41484082
15999.8,0.00700855,0.78274545,2.41376145,-0.43164755
15999.7,0.00842463,0.78205037,2.41318537,-0.43224663
15999.8,0.0059564,0.7821466,2.4133236,-0.4321944
16099.8,0.00569684,0.76283016,2.39455316,-0.44975384
16099.8,0.00529039,0.76248261,2.39420961,-0.44999939
16099.8,0.00649407,0.76240893,2.39417593,-0.45009607
16199.8,0.00894534,0.74171166,2.37434466,-0.46878434
16199.8,0.0079616,0.7415574,2.3740884,-0.4689156
16199.8,0.00505063,0.74130137,2.37403937,-0.46922163
16299.8,0.00969808,0.71990592,2.35339192,-0.48863308
16299.8,0.00704374,0.71981826,2.35318626,-0.48868774
16299.9,0.00531113,0.71992587,2.35319887,-0.48865713
16299.8,0.00672631,0.71961269,2.35300369,-0.48890331
16400,0.00541459,0.69798841,2.33227541,-0.50853359
16399.9,0.00582409,0.69742691,2.33164591,-0.50913309
16399.9,0.0063097,0.6974973,2.3315303,-0.5091197
16499.8,0.0048027,0.6743513,2.3090273,-0.5302757
16499.8,0.0096282,0.6739348,2.3088718,-0.5305142
16499.8,0.00988528,0.67385972,2.30861472,-0.53068428
16600,0.00977678,0.65021622,2.28576322,-0.55209478
16599.9,0.00895791,0.64968509,2.28519209,-0.55259291
16599.9,0.00476894,0.65003106,2.28539106,-0.55233994
16600,0.00761974,0.64979226,2.28538026,-0.55252074
16699.8,0.00675086,0.62742014,2.26227914,-0.57286986
16699.8,0.00631265,0.62727735,2.26203735,-0.57303265
16699.7,0.0077092,0.6268178,2.2617308,-0.5732822
16799.8,0.00734178,0.60397022,2.23973822,-0.59454578
16799.8,0.0079429,0.6032481,2.2392471,-0.5950159
16799.8,0.00681633,0.60341267,2.23919367,-0.59496233
16899.8,0.0101618,0.5792342,2.2158982,-0.6173658
16899.8,0.00632131,0.57886269,2.21567869,-0.61750131
16899.8,0.00624153,0.57869647,2.21554847,-0.61769353
16899.8,0.00990921,0.57875579,2.21550079,-0.61769321
16999.8,0.00731003,0.55329797,2.19104997,-0.64101303
16999.8,0.00973733,0.55297767,2.19066267,-0.64147833
16999.8,0.00822468,0.55331032,2.19073532,-0.64126768
17099.9,0.00690618,0.52703682,2.16560382,-0.66520118
17099.9,0.00839468,0.52696832,2.16534532,-0.66538268
17099.8,0.0105192,0.5266538,2.1649608,-0.6658252
17199.8,0.00664462,0.49966838,2.13872538,-0.69059762
17199.8,0.00984183,0.49928817,2.13831817,-0.69104783
17199.9,0.00754968,0.49941832,2.13846032,-0.69089468
17199.8,0.00874287,0.49919213,2.13827713,-0.69106187
17299.9,0.00807585,0.47158715,2.11126415,-0.71652885
17299.9,0.00818319,0.47135081,2.11091681,-0.71670219
17299.9,0.00706887,0.47150113,2.11101113,-0.71670287
17399.9,0.0110084,0.4430376,2.0831716,-0.7426774
17399.8,0.0102999,0.4423271,2.0825201,-0.7432029
17399.9,0.00625882,0.44255518,2.08280118,-0.74296582
17499.8,0.0083964,0.4206756,2.0605736,-0.7632314
17499.7,0.00758929,0.42016771,2.06025071,-0.76367429
17499.7,0.00710549,0.42001451,2.05994451,-0.76383249
17599.8,0.00791174,0.39356126,2.03482826,-0.78897774
17599.8,0.00796231,0.39340269,2.03479769,-0.78911331
17599.8,0.00800284,0.39337616,2.03464716,-0.78907084
17599.8,0.00516046,0.39285254,2.03443954,-0.78940546
17699.8,0.00794521,0.36461579,2.00678479,-0.81591621
17699.8,0.00978908,0.36438092,2.00662092,-0.81601708
17699.8,0.00383613,0.36466887,2.00660387,-0.81596113
17799.8,0.00723783,0.33491517,1.97773217,-0.84358183
17799.7,0.00298769,0.33459031,1.97740231,-0.84384669
17799.8,0.00743043,0.33454657,1.97747957,-0.84384543
17899.9,0.00606551,0.30597449,1.94957449,-0.87005651
17899.8,0.00516916,0.30558484,1.94924084,-0.87036316
17899.9,0.00619257,0.30596043,1.94943743,-0.87025557
17899.8,0.00504612,0.30564088,1.94914388,-0.87043712
17999.8,0.00231095,0.27622805,1.92042905,-0.89751595
17999.9,0.00379221,0.27634679,1.92052779,-0.89745321
17999.9,0.00266387,0.27621613,1.92027613,-0.89765687
18099.9,0.00595347,0.24735953,1.89168653,-0.92425947
18099.8,0.00647235,0.24688465,1.89141765,-0.92458635
18099.9,0.00388431,0.24719269,1.89169569,-0.92430531
18199.9,0.00385618,0.21863082,1.86336382,-0.95054918
18199.9,0.00478965,0.21839935,1.86320035,-0.95073865
18199.8,0.00101711,0.21790189,1.86266289,-0.95121211
18199.8,0.00617831,0.21782169,1.86260169,-0.95123931
18299.7,0.00450992,0.19013808,1.83519008,-0.97646792
18299.7,0.00140893,0.19061007,1.83543107,-0.97616893
18299.7,0.00386137,0.19018463,1.83514863,-0.97649637
18399.7,0.000951419,0.168818581,1.815588581,-0.998098419
18399.8,0.00187071,0.16900929,1.81590929,-0.99786071
18399.7,0.0021285,0.1690915,1.8158915,-0.9978085
18499.8,-6.58E-05,0.1399638,1.7874858,-1.0247942
18499.8,-0.00121451,0.14000751,1.78755451,-1.02474549
18499.8,-0.00091851,0.13985851,1.78736851,-1.02492149
18599.8,-0.000485127,0.111371127,1.759335127,-1.051274873
18599.9,0.00290659,0.11154941,1.75951341,-1.05113659
18599.8,0.00377435,0.11125465,1.75926565,-1.05141435
18599.8,-0.00209981,0.11108681,1.75916981,-1.05149019
18699.8,0.000893521,0.082801879,1.731476479,-1.077313521
18699.8,-0.000872238,0.082782938,1.731442238,-1.077397762
18699.8,0.00338329,0.08285181,1.73152671,-1.07732329
18799.8,0.00216158,0.05516732,1.70423842,-1.10261158
18799.8,-0.00175466,0.05526956,1.70436466,-1.10251534
18799.8,-0.00101102,0.05546752,1.70450102,-1.10239898
18899.9,-0.00256314,0.02904554,1.67836314,-1.12652686
18899.8,-0.00311616,0.02915466,1.67830616,-1.12652384
18899.8,0.000363248,0.029163252,1.678416752,-1.126473248
18948.1,-0.14749,0.0492335,1.69929,-1.10948
18999.7,-2.55E-05,0.00355084,1.6532255,-1.1496345
18999.7,-0.00321375,0.003857797,1.65336375,-1.14950625
18999.7,-0.00132096,0.00350623,1.65311096,-1.14985904
19099.7,-0.0026958,-0.0206533,1.6290658,-1.1718442
19099.7,-0.00181866,-0.02094174,1.62910866,-1.17182134
19099.7,-0.00302178,-0.02091042,1.62888178,-1.17196822
19199.8,-0.00317641,-0.04437199,1.60773641,-1.19589359
19199.7,-0.00104975,-0.04461895,1.60750975,-1.19612025
19199.8,-0.00339268,-0.04440832,1.60776268,-1.19586732
19299.7,-0.00106423,-0.07077427,1.58192423,-1.21995577
19299.8,-0.000485922,-0.070717678,1.582095922,-1.219824078
19299.7,0.000473097,-0.070821897,1.581826903,-1.220063097
19299.8,-0.00344583,-0.07030767,1.58233583,-1.21957417
19399.8,-0.00051016,-0.09561584,1.55768016,-1.24247984
19399.7,-0.0012646,-0.0955364,1.5576346,-1.2424854
19399.8,-0.0020271,-0.0952807,1.5579271,-1.2422629
19499.7,0.0010485,-0.1197655,1.5340015,-1.2644385
19499.8,-0.000649728,-0.119226272,1.534409728,-1.264070272
19499.7,-0.00197871,-0.11955929,1.53416871,-1.26435129
19599.9,-0.00100662,-0.14250038,1.51165662,-1.28497338
19599.8,-0.00308932,-0.14224568,1.51184932,-1.28488068
19599.9,-0.00562059,-0.14207541,1.51194059,-1.28476941
19699.9,-0.00081728,-0.16431672,1.49000728,-1.30490272
