Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
5999.88,-0.0119144,1.40865,2.9626,0.0244214
6099.87,-0.0116639,1.40948,2.96114,0.0248476
6099.9,-0.0113723,1.40919,2.96221,0.0252734
6099.91,-0.0113274,1.40929,2.96362,0.0253663
6199.89,-0.012671,1.40629,2.96223,0.0239211
6199.95,-0.0134032,1.40588,2.96184,0.0232115
6199.94,-0.0104041,1.40797,2.96405,0.0263419
6299.96,-0.0107555,1.40788,2.96467,0.0260134
6299.98,-0.0128474,1.40563,2.96138,0.0239358
6299.91,-0.012227,1.40572,2.96195,0.0243934
6299.95,-0.012161,1.40627,2.96306,0.0245639
6399.99,-0.0112338,1.40585,2.96378,0.0256067
6399.99,-0.010749,1.40619,2.96469,0.0260968
6400,-0.0117577,1.4051,2.96306,0.0250898
6500.03,-0.0115442,1.40391,2.9652,0.0253067
6500.04,-0.0123754,1.40383,2.96438,0.0246942
6500.01,-0.0122307,1.40334,2.96529,0.024601
6599.89,-0.0110195,1.40326,2.96288,0.0258462
6599.81,-0.0108014,1.40341,2.96352,0.0259374
6599.87,-0.0110317,1.40324,2.95978,0.0258759
6599.9,-0.0115296,1.40299,2.96355,0.0254182
6699.87,-0.00998144,1.40275,2.96494,0.0267651
6699.86,-0.0116854,1.40158,2.96097,0.0249343
6699.86,-0.00927129,1.40318,2.96606,0.027271
6799.87,-0.00936736,1.40158,2.96501,0.0270652
6799.89,-0.010889,1.40154,2.96408,0.0256533
6799.86,-0.0107496,1.40031,2.96397,0.025591
6899.94,-0.0110812,1.3995,2.96313,0.0255477
6899.88,-0.0105148,1.40017,2.96382,0.0257806
6899.93,-0.00959201,1.40062,2.96494,0.0270034
6999.95,-0.0106336,1.39875,2.96455,0.0256129
6999.9,-0.00926673,1.39971,2.96423,0.0268504
6999.94,-0.0110179,1.39798,2.96317,0.0252047
6999.93,-0.0096236,1.40017,2.96557,0.0265785
7099.93,-0.0115098,1.39607,2.96327,0.0245212
7099.98,-0.0092818,1.39803,2.96526,0.02697
7099.94,-0.0106406,1.39718,2.96246,0.0254618
7199.96,-0.00869507,1.39636,2.96359,0.0271102
7199.95,-0.0109648,1.39483,2.96116,0.0249501
7199.94,-0.00980095,1.39588,2.96231,0.0260123
7300,-0.00948134,1.3955,2.96336,0.0260114
7299.99,-0.00944707,1.39491,2.96313,0.026013
7300.04,-0.00993254,1.39506,2.96288,0.0257743
7299.99,-0.0109938,1.39349,2.96267,0.0244371
7399.83,-0.011231,1.39195,2.96121,0.0240785
