Time(s) - Gen,Voltage(V) - Gen,Voltage(V) - R,Voltage(V) - L,Voltage(V) - C
0,-0.00324287,0.903109,2.47329,-2.24883
4.00E-06,0.960118,1.06608,0.533675,0.465071
8.00E-06,1.7692,1.05578,-1.356,2.97575
1.20E-05,2.2926,0.884427,-2.93809,4.92056
1.60E-05,2.45042,0.586175,-4.01966,6.04824
2.00E-05,2.21207,0.211589,-4.48347,6.21541
2.40E-05,1.6204,-0.183611,-4.2593,5.40436
2.80E-05,0.767832,-0.536617,-3.38998,3.76681
3.20E-05,-0.205835,-0.797507,-2.05139,1.59463
3.60E-05,-1.15244,-0.930206,-0.45674,-0.766908
4.00E-05,-1.9145,-0.921187,1.16207,-2.95935
4.40E-05,-2.37573,-0.77174,2.57507,-4.66127
4.80E-05,-2.45464,-0.508918,3.59288,-5.63044
5.20E-05,-2.14286,-0.170406,4.06829,-5.72256
5.60E-05,-1.49225,0.18872,3.90757,-4.91314
6.00E-05,-0.604255,0.514028,3.13648,-3.33716
6.40E-05,0.377141,0.755271,1.90287,-1.2684
6.80E-05,1.29831,0.87863,0.401297,0.966238
7.20E-05,2.01012,0.866068,-1.14439,3.02439
7.60E-05,2.40243,0.721451,-2.50392,4.60168
8.00E-05,2.40887,0.465071,-3.49659,5.46781
8.40E-05,2.02494,0.137831,-3.96008,5.48585
8.80E-05,1.31989,-0.212599,-3.8029,4.63293
9.20E-05,0.404196,-0.527599,-3.03601,3.04371
9.60E-05,-0.576878,-0.760467,-1.80145,0.983952
1.00E-04,-1.47067,-0.874163,-0.288289,-1.22363
0.000104,-2.1303,-0.851295,1.26481,-3.23506
0.000108,-2.45238,-0.694439,2.62983,-4.74308
0.000112,-2.3812,-0.429363,3.59288,-5.51481
0.000116,-1.9364,-0.093427,4.00226,-5.41754
0.00012,-1.17789,0.256359,3.75586,-4.44418
0.000124,-0.23289,0.565884,2.90135,-2.75965
0.000128,0.741421,0.783936,1.59624,-0.647737
0.000132,1.59785,0.879274,0.0505455,1.55469
0.000136,2.20112,0.835148,-1.50287,3.50205
0.00014,2.4501,0.659933,-2.81924,4.90156
0.000144,2.30451,0.378751,-3.71175,5.53932
0.000148,1.79143,0.0357295,-4.029,5.29999
0.000152,0.993293,-0.313412,-3.68405,4.20003
0.000156,0.0357295,-0.612307,-2.74419,2.42562
0.00016,-0.932138,-0.814899,-1.37275,0.269564
0.000164,-1.74991,-0.888335,0.210622,-1.92867
0.000168,-2.29392,-0.821663,1.76147,-3.82093
0.000172,-2.473,-0.622936,3.0421,-5.1167
0.000176,-2.25591,-0.324363,3.85249,-5.60951
0.00018,-1.67744,0.0276774,4.04671,-5.20367
0.000184,-0.839378,0.374242,3.5713,-3.9459
0.000188,0.132033,0.660577,2.51806,-2.06073
0.000192,1.0838,0.840302,1.0751,0.141374
0.000196,1.86068,0.887004,-0.525344,2.30902
0.0002,2.33801,0.792633,-2.03786,4.10404
0.000204,2.44172,0.573292,-3.23602,5.25587
0.000208,2.1541,0.260224,-3.93817,5.58505
0.000212,1.51862,-0.0943932,-4.01161,5.01783
0.000216,0.642862,-0.43516,-3.42734,3.63089
0.00022,-0.334025,-0.704746,-2.29166,1.66613
0.000224,-1.26421,-0.863856,-0.801694,-0.559807
0.000228,-1.99244,-0.884792,0.817111,-2.69363
0.000232,-2.40665,-0.764976,2.29936,-4.40134
0.000236,-2.43467,-0.52309,3.42732,-5.42108
0.00024,-2.07683,-0.197139,4.02481,-5.58277
0.000244,-1.38886,0.161343,3.96039,-4.83842
0.000248,-0.479608,0.493414,3.24244,-3.30656
0.000252,0.501144,0.745286,2.01399,-1.25648
0.000256,1.40202,0.877664,0.477632,0.980087
0.00026,2.08034,0.870578,-1.12346,3.04951
0.000264,2.42369,0.725317,-2.5445,4.63357
0.000268,2.37698,0.464748,-3.57454,5.49325
0.000272,1.95247,0.128812,-4.05123,5.48585
0.000276,1.21392,-0.227737,-3.87182,4.58783
0.00028,0.279227,-0.548534,-3.05469,2.94837
0.000284,-0.698626,-0.780436,-1.76119,0.842878
0.000288,-1.56729,-0.889623,-0.191341,-1.39272
0.000292,-2.19117,-0.85677,1.4075,-3.4048
0.000296,-2.46398,-0.688319,2.78185,-4.88093
0.0003,-2.34352,-0.407783,3.7288,-5.59243
0.000304,-1.85234,-0.0628288,4.08343,-5.41077
0.000308,-1.06774,0.293076,3.76295,-4.34497
0.000312,-0.112752,0.600347,2.82888,-2.58154
0.000316,0.85705,0.81067,1.45774,-0.419378
0.00032,1.689,0.891513,-0.13401,1.79658
0.000324,2.25105,0.831283,-1.6929,3.71753
0.000328,2.45396,0.638353,-2.98737,5.0523
0.000332,2.26071,0.344932,-3.82577,5.59697
0.000336,1.70575,-0.00614165,-4.06637,5.24975
0.00034,0.88024,-0.355605,-3.63348,4.04542
0.000344,-0.0885957,-0.648059,-2.61472,2.19339
0.000348,-1.04519,-0.837445,-1.18916,-0.00195453
0.000352,-1.83366,-0.893488,0.421267,-2.19375
0.000356,-2.33579,-0.807491,1.95923,-4.03641
0.00036,-2.46656,-0.593626,3.19832,-5.24651
0.000364,-2.20051,-0.283136,3.93333,-5.63076
0.000368,-1.58565,0.0724474,4.04124,-5.10736
0.000372,-0.721494,0.417724,3.47725,-3.74943
0.000376,0.258291,0.692142,2.35444,-1.79758
0.00038,1.18977,0.857372,0.872832,0.42642
0.000384,1.93959,0.885394,-0.735988,2.57024
0.000388,2.37312,0.772985,-2.22306,4.30052
0.000392,2.42562,0.537862,-3.36743,5.35733
0.000396,2.09226,0.21642,-3.99132,5.57346
0.0004,1.42135,-0.140452,-3.9794,4.88996
0.000404,0.524979,-0.474777,-3.31203,3.41219
0.000408,-0.456418,-0.733412,-2.11613,1.39236
0.000412,-1.36695,-0.874807,-0.592338,-0.844531
0.000416,-2.06363,-0.878028,1.02099,-2.9426
0.00042,-2.43113,-0.740819,2.46942,-4.57752
0.000424,-2.41373,-0.485728,3.53974,-5.49613
0.000428,-2.00758,-0.151725,4.05348,-5.54154
0.000432,-1.28804,0.206435,3.90306,-4.6851
0.000436,-0.359792,0.531098,3.10942,-3.07144
0.00044,0.622893,0.768476,1.8304,-0.97723
0.000444,1.50219,0.884105,0.27053,1.25837
0.000448,2.1425,0.859305,-1.31929,3.28303
0.000452,2.43979,0.698261,-2.70297,4.78721
0.000456,2.34574,0.42481,-3.66698,5.54286
0.00046,1.87485,0.0843645,-4.06733,5.42046
0.000464,1.10441,-0.271863,-3.7971,4.41712
0.000468,0.157156,-0.58332,-2.91393,2.70197
0.000472,-0.814899,-0.802016,-1.57148,0.561052
0.000476,-1.66037,-0.892522,0.0154381,-1.66488
0.00048,-2.23981,-0.843243,1.59527,-3.6251
0.000484,-2.47203,-0.657721,2.92808,-5.01589
0.000488,-2.3039,-0.367522,3.80836,-5.61917
0.000492,-1.76827,-0.0170926,4.07924,-5.32316
0.000496,-0.955006,0.33527,3.67598,-4.15558
0.0005,0.00835222,0.632878,2.67556,-2.32419
0.000504,0.969781,0.82774,1.26417,-0.13562
0.000508,1.77597,0.891513,-0.33628,2.06101
0.000512,2.29711,0.813246,-1.87521,3.92142
0.000516,2.44946,0.606789,-3.12071,5.16729
0.00052,2.20982,0.301773,-3.89083,5.60341
0.000524,1.61492,-0.0505895,-4.04479,5.14184
0.000528,0.763323,-0.396832,-3.5317,3.84283
0.000532,-0.210988,-0.678013,-2.45271,1.93057
0.000536,-1.15567,-0.852261,-0.98947,-0.28378
0.00054,-1.91482,-0.889945,0.623859,-2.45013
0.000544,-2.37283,-0.787522,2.13542,-4.22741
0.000548,-2.4556,-0.558197,3.31975,-5.34249
0.000552,-2.14157,-0.240298,3.98261,-5.61466
0.000556,-1.49192,0.118184,4.00548,-4.97885
0.00056,-0.602323,0.456052,3.36194,-3.5317
0.000564,0.377463,0.720485,2.18438,-1.52767
0.000568,1.29734,0.868001,0.673461,0.706635
0.000572,2.01238,0.878952,-0.933105,2.81503
0.000576,2.40082,0.749795,-2.38732,4.47381
0.00058,2.40662,0.502433,-3.4734,5.4327
0.000584,2.02559,0.173582,-4.02482,5.53642
0.000588,1.3186,-0.184577,-3.92561,4.74405
0.000592,0.402586,-0.512783,-3.18384,3.18253
0.000596,-0.576556,-0.75789,-1.93962,1.11762
0.0006,-1.47034,-0.883181,-0.39039,-1.12024
0.000604,-2.12869,-0.868043,1.21489,-3.17772
0.000608,-2.44916,-0.714408,2.63015,-4.73502
0.000612,-2.37959,-0.446755,3.6383,-5.55056
0.000616,-1.9335,-0.107599,4.07151,-5.4826
0.00062,-1.1795,0.249595,3.83671,-4.51987
0.000624,-0.236755,0.565562,2.9735,-2.82858
0.000628,0.739488,0.791344,1.64423,-0.697982
0.000632,1.59495,0.888293,0.0679381,1.53053
0.000636,2.19919,0.845777,-1.50899,3.50398
0.00064,2.44881,0.668307,-2.8463,4.92475
0.000644,2.30677,0.385515,-3.75201,5.577
0.000648,1.79207,0.0389504,-4.06765,5.34155
0.000652,0.995225,-0.313734,-3.7198,4.23643
0.000656,0.033797,-0.617139,-2.76674,2.45042
0.00066,-0.928918,-0.820375,-1.38048,0.279871
0.000664,-1.74637,-0.894776,0.218997,-1.93093
0.000668,-2.29263,-0.82585,1.78015,-3.83511
0.000672,-2.47268,-0.626479,3.064,-5.13667
0.000676,-2.25527,-0.325329,3.87278,-5.63173
0.00068,-1.68034,0.0276774,4.06346,-5.22203
0.000684,-0.841632,0.376819,3.57903,-3.95718
0.000688,0.132033,0.663798,2.51774,-2.06363
0.000692,1.0838,0.843844,1.06995,0.144917
0.000696,1.85874,0.888615,-0.535973,2.31804
0.0007,2.33801,0.794887,-2.05106,4.11564
0.000704,2.44172,0.57297,-3.24762,5.26875
0.000708,2.15345,0.260224,-3.94623,5.59536
0.000712,1.51797,-0.0960036,-4.01741,5.02331
0.000716,0.646727,-0.436126,-3.42573,3.63314
0.00072,-0.332415,-0.706678,-2.28812,1.66356
0.000724,-1.26131,-0.8645,-0.792031,-0.563994
0.000728,-1.99148,-0.885436,0.821298,-2.69878
0.000732,-2.40665,-0.764654,2.30162,-4.40714
0.000736,-2.43596,-0.522767,3.43151,-5.42559
0.00074,-2.07683,-0.196172,4.02481,-5.58535
0.000744,-1.3895,0.162309,3.95717,-4.83809
0.000748,-0.48154,0.49438,3.2389,-3.30591
0.000752,0.497923,0.745286,2.00948,-1.25358
0.000756,1.40041,0.877342,0.473123,0.983308
0.00076,2.08066,0.870256,-1.12732,3.05209
0.000764,2.42272,0.724672,-2.54772,4.63518
0.000768,2.37892,0.463782,-3.57518,5.49487
0.000772,1.95312,0.128812,-4.04994,5.48552
0.000776,1.21586,-0.229025,-3.86731,4.58719
0.00078,0.278905,-0.547568,-3.0534,2.9458
0.000784,-0.69605,-0.780436,-1.75732,0.840624
0.000788,-1.56568,-0.888979,-0.187476,-1.39401
0.000792,-2.18698,-0.856448,1.40653,-3.40512
0.000796,-2.46366,-0.686709,2.78089,-4.88125
0.0008,-2.34449,-0.407783,3.72558,-5.59179
0.000804,-1.85459,-0.0618625,4.07796,-5.40884
0.000808,-1.07096,0.292432,3.76037,-4.34272
0.000812,-0.112108,0.600669,2.82695,-2.57993
0.000816,0.85705,0.809703,1.45517,-0.418412
0.00082,1.68675,0.891513,-0.134332,1.79755
0.000824,2.25234,0.830961,-1.6929,3.71785
0.000828,2.45268,0.638675,-2.98769,5.05198
0.000832,2.26135,0.344288,-3.82609,5.59729
0.000836,1.70607,-0.00549748,-4.06411,5.2491
0.00084,0.883139,-0.355927,-3.63187,4.04478
0.000844,-0.0844086,-0.648703,-2.61214,2.19307
0.000848,-1.04358,-0.837445,-1.18755,-0.00131036
0.000852,-1.83333,-0.892844,0.420623,-2.1931
0.000856,-2.33579,-0.807813,1.95891,-4.03512
0.00086,-2.46398,-0.592338,3.19638,-5.24651
0.000864,-2.20148,-0.283458,3.93172,-5.63012
0.000868,-1.58758,0.0730915,4.03834,-5.10768
0.000872,-0.721816,0.416435,3.47532,-3.74975
0.000876,0.253138,0.692464,2.35154,-1.7979
0.00088,1.19105,0.85705,0.87251,0.425776
0.000884,1.93669,0.885072,-0.735988,2.56895
0.000888,2.37215,0.772663,-2.22177,4.29956
0.000892,2.42788,0.538184,-3.36292,5.35733
0.000896,2.09322,0.21642,-3.991,5.57281
0.0009,1.42199,-0.139807,-3.97908,4.88996
0.000904,0.528199,-0.475421,-3.30978,3.41219
0.000908,-0.453841,-0.733089,-2.11516,1.39268
0.000912,-1.36631,-0.874807,-0.593304,-0.842599
0.000916,-2.06008,-0.877706,1.01745,-2.94131
0.00092,-2.43016,-0.740819,2.47039,-4.57623
0.000924,-2.41438,-0.485405,3.53974,-5.49484
0.000928,-2.00565,-0.151725,4.05315,-5.5409
0.000932,-1.28579,0.207079,3.90048,-4.68607
0.000936,-0.361402,0.530776,3.10716,-3.07208
0.00094,0.619028,0.76912,1.82847,-0.978519
0.000944,1.49961,0.884105,0.272463,1.2574
0.000948,2.14025,0.859305,-1.31929,3.28206
