Frequency(Hz),Gen,R,L,C
"17999,837","3,101","1,524","7,872","8,283"
"17999,591","3,100","1,524","7,873","8,283"
"17999,893","3,101","1,524","7,873","8,282"
"17999,936","3,100","1,524","7,870","8,282"
"17999,715","3,100","1,524","7,870","8,282"
"18000,243","3,100","1,524","7,874","8,283"
"17999,889","3,100","1,524","7,874","8,283"
"17999,825","3,101","1,524","7,872","8,281"
"17999,958","3,101","1,524","7,871","8,281"
"17999,779","3,101","1,524","7,873","8,282"
"17999,823","3,101","1,524","7,871","8,282"
"17999,786","3,100","1,524","7,872","8,282"
"17999,917","3,101","1,524","7,871","8,281"
"17999,812","3,101","1,524","7,873","8,280"
"17999,907","3,100","1,524","7,878","8,285"
"17999,684","3,101","1,524","7,876","8,284"
"17999,918","3,100","1,524","7,873","8,280"
"17999,934","3,100","1,524","7,874","8,283"
"17999,936","3,101","1,524","7,871","8,280"
"17999,801","3,100","1,524","7,871","8,280"
"17999,882","3,100","1,524","7,872","8,281"
"17999,926","3,101","1,524","7,872","8,280"
"17999,917","3,101","1,524","7,872","8,279"
"17999,943","3,101","1,524","7,871","8,280"
"18000,115","3,100","1,524","7,872","8,280"
"18000,091","3,100","1,524","7,873","8,280"
"17999,855","3,100","1,524","7,875","8,283"
"17999,942","3,101","1,524","7,872","8,280"
"17999,917","3,100","1,524","7,873","8,279"
"17999,999","3,100","1,524","7,877","8,283"
"17999,940","3,100","1,524","7,870","8,280"
"17999,856","3,100","1,524","7,875","8,282"
"17999,809","3,100","1,524","7,872","8,281"
"17999,933","3,100","1,524","7,872","8,281"
"17999,884","3,101","1,524","7,870","8,280"
"17999,912","3,100","1,524","7,871","8,280"
"18000,050","3,101","1,524","7,873","8,281"
"18000,099","3,101","1,524","7,874","8,279"
"17999,873","3,101","1,524","7,871","8,279"
"17999,888","3,100","1,524","7,875","8,283"
"18000,109","3,101","1,524","7,872","8,280"
"17999,823","3,101","1,524","7,874","8,279"
"17999,833","3,100","1,524","7,873","8,280"
"17999,887","3,101","1,524","7,873","8,279"
"17999,968","3,100","1,524","7,871","8,280"
"17999,944","3,100","1,524","7,872","8,280"
"17999,941","3,101","1,524","7,871","8,279"
"17999,905","3,101","1,524","7,873","8,280"
"17999,963","3,100","1,524","7,875","8,277"
"17999,918","3,100","1,524","7,873","8,281"
