Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen,R,L,C
"19997,876","3,140","1,446","8,318","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,178","3,121","1,446","8,328","7,095",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,185","3,140","1,446","8,317","7,098",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,059","3,118","1,446","8,328","7,094",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.09E-03
"19998,732","3,110","1,446","8,332","7,093",,2.00E+04,3.11E-03,1.45E-03,8.33E-03,7.09E-03
"19999,409","3,135","1,446","8,320","7,097",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,840","3,128","1,446","8,324","7,096",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,082","3,136","1,446","8,320","7,098",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,774","3,114","1,446","8,331","7,095",,2.00E+04,3.11E-03,1.45E-03,8.33E-03,7.10E-03
"19998,510","3,118","1,446","8,329","7,095",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,621","3,127","1,446","8,325","7,097",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19998,905","3,123","1,446","8,328","7,096",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,539","3,117","1,446","8,330","7,095",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,002","3,137","1,447","8,320","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19997,017","3,112","1,446","8,333","7,095",,2.00E+04,3.11E-03,1.45E-03,8.33E-03,7.10E-03
"19998,837","3,122","1,446","8,328","7,096",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,258","3,135","1,446","8,321","7,098",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,177","3,138","1,447","8,320","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,638","3,117","1,446","8,330","7,096",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,782","3,117","1,446","8,330","7,096",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,788","3,131","1,446","8,323","7,098",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19997,866","3,129","1,446","8,325","7,098",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19998,738","3,130","1,446","8,324","7,098",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19998,631","3,122","1,446","8,328","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,699","3,117","1,446","8,330","7,096",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,814","3,127","1,446","8,326","7,097",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19998,771","3,122","1,446","8,328","7,096",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,936","3,129","1,446","8,325","7,097",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19999,053","3,137","1,446","8,320","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,200","3,133","1,446","8,322","7,098",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,176","3,135","1,446","8,321","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,978","3,136","1,446","8,320","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,964","3,123","1,446","8,328","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,564","3,117","1,446","8,330","7,096",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,842","3,125","1,446","8,326","7,097",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19998,630","3,129","1,446","8,325","7,098",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19998,901","3,124","1,446","8,327","7,098",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,353","3,131","1,446","8,324","7,098",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19998,973","3,128","1,446","8,325","7,098",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19999,018","3,135","1,446","8,321","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,291","3,139","1,447","8,319","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,980","3,123","1,446","8,327","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,788","3,126","1,446","8,326","7,098",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19998,861","3,128","1,446","8,326","7,098",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19999,077","3,131","1,446","8,324","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,173","3,132","1,446","8,323","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19998,849","3,118","1,446","8,330","7,096",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,013","3,125","1,446","8,328","7,098",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19999,089","3,133","1,446","8,323","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19998,945","3,122","1,446","8,328","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,233","3,131","1,446","8,324","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,247","3,140","1,447","8,319","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,753","3,115","1,446","8,332","7,096",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,763","3,124","1,446","8,327","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,121","3,137","1,447","8,321","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,145","3,134","1,446","8,322","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,083","3,136","1,447","8,321","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,321","3,141","1,447","8,317","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,191","3,139","1,447","8,319","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,130","3,136","1,447","8,321","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
