Frequency(Hz),Gen(mV),R,L,C,,Frequency(Hz),Gen(mV),R,L,C
"29999,251","3,169","0,564","4,806","1,792",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,437","3,169","0,564","4,807","1,792",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,583","3,170","0,564","4,806","1,793",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,454","3,168","0,564","4,809","1,792",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,653","3,172","0,564","4,805","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,059","3,167","0,564","4,809","1,792",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,499","3,173","0,564","4,803","1,795",,3.00E+04,3.17E-03,5.64E-04,4.80E-03,1.80E-03
"29999,609","3,172","0,564","4,805","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,506","3,171","0,564","4,806","1,793",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,676","3,171","0,564","4,805","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,248","3,168","0,564","4,809","1,792",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,323","3,167","0,564","4,810","1,792",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,650","3,170","0,564","4,807","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,554","3,170","0,564","4,808","1,793",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,437","3,169","0,564","4,808","1,793",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,553","3,172","0,564","4,807","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,567","3,167","0,564","4,809","1,793",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,641","3,171","0,564","4,806","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,508","3,168","0,564","4,809","1,793",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,508","3,172","0,565","4,805","1,795",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,533","3,172","0,564","4,806","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,633","3,172","0,565","4,806","1,796",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,386","3,172","0,565","4,806","1,795",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,331","3,173","0,565","4,805","1,796",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,609","3,172","0,564","4,806","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,405","3,171","0,564","4,807","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,449","3,171","0,564","4,807","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,289","3,170","0,564","4,808","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,436","3,171","0,564","4,807","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,546","3,172","0,565","4,806","1,796",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,542","3,171","0,564","4,807","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,490","3,168","0,564","4,809","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,237","3,172","0,564","4,806","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,521","3,171","0,564","4,807","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,411","3,169","0,564","4,809","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,027","3,166","0,564","4,812","1,793",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,237","3,169","0,564","4,809","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,171","3,166","0,564","4,811","1,793",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,151","3,166","0,564","4,811","1,793",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,375","3,168","0,564","4,809","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
