AMPLITUDE,,,,,,AMPLITUDE,,,,,,AMPLITUDE,,,,,,AMPLITUDE,,,,,,,,,,,PHASE,,,,,,PHASE,,,,,,PHASE,,,,,,PHASE,,,,,,,,,,,,,,,,,,,,
Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen(V),R,L,C,,Frequency(Hz),Gen(V),R,L,C,, σ_gen,σ_R,σ_L,σ_C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,,,,,,,,,,,,,,,
17999.837,3.101,1.524,7.872,8.283,,19997.876,3.14,1.446,8.318,7.099,,29999.251,3.169,0.564,4.806,1.792,,39999.179,0.29,5.258,1.023,4.647,18kHz,0.000488254,0.000412594,0.001783049,0.003116182,,17999.837,0.022,0.28,1.954,5.427,,19997.876,0.305,6.059,1.46,4.965,,29999.251,0.143,5.313,0.808,4.441,,39999.179,0.29,5.258,1.023,4.647,,,,,,,,,,,,,,,,
17999.591,3.1,1.524,7.873,8.283,,19999.178,3.121,1.446,8.328,7.095,,29999.437,3.169,0.564,4.807,1.792,,39997.567,3.172,0.336,3.94,0.718,20kHz,0.007656505,0.000422011,0.003922993,0.001577433,,17999.591,0.024,0.281,1.954,5.427,,19999.178,0.278,6.049,1.452,4.955,,29999.437,0.141,5.311,0.807,4.439,,39997.567,3.172,0.336,3.94,0.718,,,,,,,,,,,,,,,,
17999.893,3.101,1.524,7.873,8.282,,19999.185,3.14,1.446,8.317,7.098,,29999.583,3.17,0.564,4.806,1.793,,39998.384,0.288,5.256,1.02,4.645,30kHz,0.002013668,0.00048107,0.002287926,0.001606574,,17999.893,0.024,0.282,1.956,5.429,,19999.185,0.299,6.054,1.456,4.963,,29999.583,0.145,5.314,0.808,4.441,,39998.384,0.288,5.256,1.02,4.645,,,,,,,,,,,,,,,,
17999.936,3.1,1.524,7.87,8.282,,19999.059,3.118,1.446,8.328,7.094,,29999.454,3.168,0.564,4.809,1.792,,39999.179,3.197,0.336,3.974,0.72,40kHz,1.453798836,2.459834357,1.475365223,1.960653796,,17999.936,0.023,0.283,1.956,5.43,,19999.059,0.276,6.048,1.452,4.954,,29999.454,0.14,5.31,0.807,4.437,,39999.179,3.197,0.336,3.974,0.72,,,,,,,,,,,,,,,,
17999.715,3.1,1.524,7.87,8.282,,19998.732,3.11,1.446,8.332,7.093,,29999.653,3.172,0.564,4.805,1.794,,39998.868,0.293,5.259,1.026,4.649,,,,,,,17999.715,0.023,0.282,1.955,5.428,,19998.732,0.266,6.05,1.451,4.957,,29999.653,0.148,5.315,0.809,4.443,,39998.868,0.293,5.259,1.026,4.649,,,,,,,,,,,,,,,,
18000.243,3.1,1.524,7.874,8.283,,19999.409,3.135,1.446,8.32,7.097,,29999.059,3.167,0.564,4.809,1.792,,39998.384,3.191,0.336,3.965,0.72,,,,,,,18000.243,0.019,0.279,1.952,5.425,,19999.409,0.293,6.052,1.455,4.958,,29999.059,0.14,5.311,0.807,4.438,,39998.384,3.191,0.336,3.965,0.72,,,,,,,,,,,,,,,,
17999.889,3.1,1.524,7.874,8.283,,19998.84,3.128,1.446,8.324,7.096,,29999.499,3.173,0.564,4.803,1.795,,39998.779,0.269,5.247,1.002,4.636,,,,,,,17999.889,0.021,0.279,1.953,5.425,,19998.84,0.288,6.05,1.454,4.96,,29999.499,0.15,5.318,0.81,4.446,,39998.779,0.269,5.247,1.002,4.636,,,,,,,,,,,,,,,,
17999.825,3.101,1.524,7.872,8.281,,19999.082,3.136,1.446,8.32,7.098,,29999.609,3.172,0.564,4.805,1.794,,39998.868,3.197,0.336,3.974,0.72,,,,,,,17999.825,0.023,0.281,1.955,5.427,,19999.082,0.296,6.053,1.456,4.962,,29999.609,0.148,5.316,0.809,4.444,,39998.868,3.197,0.336,3.974,0.72,,,,,,,,,,,,,,,,
17999.958,3.101,1.524,7.871,8.281,,19998.774,3.114,1.446,8.331,7.095,,29999.506,3.171,0.564,4.806,1.793,,39998.803,0.268,5.247,1.001,4.636,,,,,,,17999.958,0.022,0.281,1.954,5.428,,19998.774,0.274,6.048,1.452,4.954,,29999.506,0.145,5.314,0.809,4.442,,39998.803,0.268,5.247,1.001,4.636,,,,,,,,,,,,,,,,
17999.779,3.101,1.524,7.873,8.282,,19998.51,3.118,1.446,8.329,7.095,,29999.676,3.171,0.564,4.805,1.794,,39998.779,3.176,0.336,3.943,0.718,,,,,,,17999.779,0.022,0.28,1.953,5.426,,19998.51,0.279,6.052,1.452,4.958,,29999.676,0.147,5.316,0.809,4.443,,39998.779,3.176,0.336,3.943,0.718,,,,,,,,,,,,,,,,
17999.823,3.101,1.524,7.871,8.282,,19998.621,3.127,1.446,8.325,7.097,,29999.248,3.168,0.564,4.809,1.792,,39999.193,0.293,5.259,1.026,4.649,,,,,,,17999.823,0.023,0.281,1.954,5.427,,19998.621,0.288,6.054,1.454,4.96,,29999.248,0.141,5.311,0.807,4.438,,39999.193,0.293,5.259,1.026,4.649,,,,,,,,,,,,,,,,
17999.786,3.1,1.524,7.872,8.282,,19998.905,3.123,1.446,8.328,7.096,,29999.323,3.167,0.564,4.81,1.792,,39998.803,3.175,0.336,3.942,0.718,,,,,,,17999.786,0.023,0.28,1.954,5.427,,19998.905,0.282,6.049,1.453,4.959,,29999.323,0.138,5.309,0.806,4.436,,39998.803,3.175,0.336,3.942,0.718,,,,,,,,,,,,,,,,
17999.917,3.101,1.524,7.871,8.281,,19998.539,3.117,1.446,8.33,7.095,,29999.65,3.17,0.564,4.807,1.794,,39998.579,0.28,5.251,1.012,4.641,,,,,,,17999.917,0.023,0.281,1.954,5.427,,19998.539,0.277,6.051,1.452,4.958,,29999.65,0.143,5.313,0.808,4.44,,39998.579,0.28,5.251,1.012,4.641,,,,,,,,,,,,,,,,
17999.812,3.101,1.524,7.873,8.28,,19999.002,3.137,1.447,8.32,7.099,,29999.554,3.17,0.564,4.808,1.793,,39999.193,3.199,0.336,3.978,0.721,,,,,,,17999.812,0.024,0.283,1.956,5.43,,19999.002,0.297,6.056,1.456,4.963,,29999.554,0.144,5.313,0.808,4.44,,39999.193,3.199,0.336,3.978,0.721,,,,,,,,,,,,,,,,
17999.907,3.1,1.524,7.878,8.285,,19997.017,3.112,1.446,8.333,7.095,,29999.437,3.169,0.564,4.808,1.793,,39998.122,0.267,5.247,1.001,4.635,,,,,,,17999.907,0.02,0.277,1.95,5.423,,19997.017,0.277,6.051,1.455,4.958,,29999.437,0.142,5.312,0.808,4.44,,39998.122,0.267,5.247,1.001,4.635,,,,,,,,,,,,,,,,
17999.684,3.101,1.524,7.876,8.284,,19998.837,3.122,1.446,8.328,7.096,,29999.553,3.172,0.564,4.807,1.794,,39998.579,3.185,0.336,3.957,0.719,,,,,,,17999.684,0.022,0.278,1.952,5.425,,19998.837,0.282,6.049,1.453,4.955,,29999.553,0.147,5.315,0.808,4.442,,39998.579,3.185,0.336,3.957,0.719,,,,,,,,,,,,,,,,
17999.918,3.1,1.524,7.873,8.28,,19999.258,3.135,1.446,8.321,7.098,,29999.567,3.167,0.564,4.809,1.793,,39998.946,0.28,5.252,1.013,4.641,,,,,,,17999.918,0.022,0.28,1.953,5.426,,19999.258,0.294,6.052,1.455,4.958,,29999.567,0.138,5.31,0.807,4.437,,39998.946,0.28,5.252,1.013,4.641,,,,,,,,,,,,,,,,
17999.934,3.1,1.524,7.874,8.283,,19999.177,3.138,1.447,8.32,7.099,,29999.641,3.171,0.564,4.806,1.794,,39998.122,3.171,0.336,3.937,0.718,,,,,,,17999.934,0.021,0.279,1.952,5.425,,19999.177,0.297,6.053,1.456,4.963,,29999.641,0.145,5.315,0.809,4.442,,39998.122,3.171,0.336,3.937,0.718,,,,,,,,,,,,,,,,
17999.936,3.101,1.524,7.871,8.28,,19998.638,3.117,1.446,8.33,7.096,,29999.508,3.168,0.564,4.809,1.793,,39998.864,0.283,5.253,1.015,4.642,,,,,,,17999.936,0.022,0.281,1.955,5.428,,19998.638,0.276,6.048,1.452,4.958,,29999.508,0.14,5.312,0.807,4.439,,39998.864,0.283,5.253,1.015,4.642,,,,,,,,,,,,,,,,
