Frequency(Hz),Gen(rad),R,L,C
"17999,837","0,022","0,280","1,954","5,427"
"17999,591","0,024","0,281","1,954","5,427"
"17999,893","0,024","0,282","1,956","5,429"
"17999,936","0,023","0,283","1,956","5,430"
"17999,715","0,023","0,282","1,955","5,428"
"18000,243","0,019","0,279","1,952","5,425"
"17999,889","0,021","0,279","1,953","5,425"
"17999,825","0,023","0,281","1,955","5,427"
"17999,958","0,022","0,281","1,954","5,428"
"17999,779","0,022","0,280","1,953","5,426"
"17999,823","0,023","0,281","1,954","5,427"
"17999,786","0,023","0,280","1,954","5,427"
"17999,917","0,023","0,281","1,954","5,427"
"17999,812","0,024","0,283","1,956","5,430"
"17999,907","0,020","0,277","1,950","5,423"
"17999,684","0,022","0,278","1,952","5,425"
"17999,918","0,022","0,280","1,953","5,426"
"17999,934","0,021","0,279","1,952","5,425"
"17999,936","0,022","0,281","1,955","5,428"
"17999,801","0,024","0,282","1,955","5,428"
"17999,882","0,022","0,280","1,953","5,426"
"17999,926","0,023","0,282","1,956","5,429"
"17999,917","0,024","0,282","1,956","5,429"
"17999,943","0,023","0,281","1,954","5,427"
"18000,115","0,022","0,281","1,954","5,428"
"18000,091","0,022","0,281","1,955","5,428"
"17999,855","0,021","0,278","1,951","5,424"
"17999,942","0,023","0,281","1,954","5,427"
"17999,917","0,024","0,283","1,957","5,430"
"17999,999","0,020","0,277","1,951","5,423"
"17999,940","0,023","0,281","1,954","5,428"
"17999,856","0,022","0,279","1,952","5,426"
"17999,809","0,022","0,280","1,953","5,426"
"17999,933","0,022","0,279","1,953","5,426"
"17999,884","0,023","0,282","1,956","5,429"
"17999,912","0,023","0,280","1,954","5,427"
"18000,050","0,021","0,279","1,952","5,426"
"18000,099","0,023","0,282","1,956","5,429"
"17999,873","0,023","0,281","1,954","5,428"
"17999,888","0,021","0,278","1,951","5,424"
"18000,109","0,021","0,281","1,953","5,427"
"17999,823","0,023","0,281","1,955","5,428"
"17999,833","0,022","0,280","1,953","5,425"
"17999,887","0,023","0,283","1,957","5,430"
"17999,968","0,022","0,280","1,953","5,426"
"17999,944","0,022","0,279","1,952","5,425"
"17999,941","0,023","0,282","1,955","5,428"
"17999,905","0,022","0,279","1,952","5,425"
"17999,963","0,024","0,283","1,957","5,430"
"17999,918","0,021","0,278","1,951","5,424"
"17999,853","0,024","0,282","1,956","5,429"
"17999,963","0,022","0,279","1,952","5,425"
"18000,048","0,023","0,281","1,955","5,428"
"17999,844","0,023","0,280","1,953","5,427"
"17999,933","0,022","0,280","1,953","5,426"
"17999,936","0,023","0,282","1,957","5,429"
"17999,865","0,023","0,280","1,953","5,426"
"17999,977","0,022","0,281","1,954","5,427"
"17999,849","0,023","0,280","1,953","5,427"
"17999,877","0,023","0,282","1,955","5,428"
"18000,067","0,023","0,280","1,954","5,427"
"18000,121","0,021","0,279","1,952","5,425"
"17999,881","0,024","0,282","1,956","5,429"
"18000,082","0,021","0,279","1,952","5,425"
"17999,988","0,021","0,278","1,951","5,424"
"17999,737","0,022","0,277","1,951","5,424"
"17999,975","0,023","0,282","1,956","5,429"
"17999,769","0,022","0,278","1,951","5,424"
"17999,989","0,022","0,280","1,954","5,427"
"17999,687","0,022","0,279","1,952","5,424"
"17999,792","0,022","0,278","1,951","5,424"
"17999,849","0,022","0,279","1,952","5,426"
"17999,899","0,023","0,280","1,953","5,427"
"17999,990","0,023","0,280","1,954","5,427"
"17999,960","0,024","0,282","1,956","5,430"
"18000,056","0,023","0,282","1,956","5,429"
"17999,758","0,022","0,278","1,951","5,424"
"17999,867","0,023","0,281","1,954","5,427"
"17999,810","0,021","0,276","1,950","5,423"
"17999,910","0,023","0,280","1,953","5,427"
"18000,050","0,021","0,278","1,951","5,424"
"17999,728","0,023","0,280","1,954","5,427"
"17999,781","0,023","0,279","1,952","5,425"
"17999,887","0,023","0,281","1,955","5,428"
"18000,037","0,023","0,281","1,955","5,428"
"17999,907","0,023","0,282","1,954","5,428"
"18000,057","0,022","0,279","1,952","5,426"
"18000,013","0,023","0,282","1,956","5,429"
"17999,845","0,024","0,282","1,956","5,429"
"17999,930","0,023","0,280","1,954","5,427"
"17999,890","0,024","0,282","1,956","5,429"
"18000,020","0,022","0,279","1,952","5,426"
"17999,955","0,023","0,279","1,953","5,426"
"17999,954","0,022","0,280","1,954","5,427"
"17999,947","0,022","0,279","1,953","5,426"
"17999,974","0,023","0,281","1,955","5,428"
"17999,930","0,023","0,280","1,954","5,427"
"17999,904","0,022","0,279","1,951","5,424"
"17999,860","0,021","0,277","1,950","5,423"
"17999,818","0,023","0,278","1,952","5,425"
"17999,872","0,022","0,278","1,951","5,424"
"17999,833","0,021","0,277","1,950","5,423"
"18000,021","0,023","0,282","1,956","5,429"
"17999,943","0,023","0,280","1,953","5,427"
"17999,909","0,023","0,281","1,955","5,428"
"17999,767","0,023","0,280","1,954","5,427"
"17999,871","0,022","0,279","1,953","5,426"
"17999,961","0,023","0,283","1,956","5,429"
"18000,056","0,023","0,281","1,955","5,429"
"17999,981","0,021","0,277","1,950","5,424"
"17999,779","0,022","0,278","1,952","5,425"
"17999,817","0,022","0,278","1,952","5,425"
"17999,903","0,023","0,280","1,954","5,427"
"17999,926","0,023","0,281","1,955","5,428"
"18000,015","0,021","0,279","1,952","5,425"
"17999,896","0,024","0,282","1,956","5,429"
"17999,839","0,023","0,280","1,953","5,427"
"17999,920","0,023","0,281","1,955","5,428"
"17999,914","0,021","0,277","1,950","5,423"
"17999,967","0,022","0,279","1,953","5,426"
"18000,099","0,021","0,278","1,951","5,424"
"17999,874","0,022","0,278","1,951","5,424"
"17999,839","0,022","0,278","1,951","5,424"
"17999,955","0,022","0,279","1,953","5,426"
"17999,726","0,023","0,279","1,952","5,425"
"17999,840","0,023","0,280","1,953","5,427"
"17999,950","0,022","0,279","1,952","5,425"
"17999,797","0,022","0,277","1,950","5,424"
"17999,928","0,023","0,279","1,953","5,426"
"17999,839","0,023","0,279","1,952","5,426"
"18000,036","0,020","0,277","1,950","5,423"
"17999,971","0,023","0,280","1,953","5,427"
"17999,918","0,023","0,281","1,954","5,428"
"17999,881","0,023","0,278","1,952","5,425"
"17999,828","0,023","0,279","1,952","5,426"
"17999,928","0,023","0,279","1,952","5,426"
"17999,987","0,021","0,277","1,950","5,424"
"17999,737","0,022","0,277","1,950","5,424"
"17999,902","0,024","0,281","1,954","5,428"
"17999,820","0,021","0,278","1,950","5,423"
"17999,968","0,022","0,278","1,952","5,425"
"17999,888","0,023","0,279","1,953","5,426"
"17999,828","0,022","0,278","1,951","5,424"
"17999,812","0,023","0,278","1,952","5,425"
"18000,146","0,021","0,277","1,951","5,424"
"18000,143","0,020","0,277","1,951","5,424"
"17999,949","0,023","0,280","1,953","5,427"
"18000,145","0,023","0,282","1,955","5,429"
"17999,881","0,022","0,277","1,950","5,424"
"18000,029","0,022","0,280","1,953","5,427"
"17999,854","0,021","0,277","1,950","5,423"
"17999,861","0,023","0,279","1,952","5,426"
"17999,867","0,021","0,276","1,949","5,422"
"17999,946","0,023","0,281","1,954","5,428"
"17999,839","0,024","0,281","1,954","5,427"
"17999,988","0,021","0,277","1,950","5,424"
"18000,243","0,020","0,277","1,951","5,424"
"18000,031","0,021","0,276","1,950","5,423"
"17999,922","0,024","0,280","1,954","5,428"
"17999,886","0,024","0,280","1,954","5,428"
"18000,055","0,022","0,280","1,954","5,427"
"17999,794","0,022","0,277","1,950","5,424"
"17999,892","0,023","0,281","1,955","5,428"
"17999,760","0,023","0,279","1,952","5,425"
"17999,938","0,023","0,280","1,954","5,427"
"17999,861","0,023","0,278","1,952","5,425"
"17999,811","0,023","0,280","1,953","5,428"
"17999,973","0,023","0,279","1,953","5,426"
"17999,842","0,023","0,280","1,954","5,427"
"17999,949","0,023","0,280","1,954","5,428"
"17999,921","0,022","0,279","1,952","5,426"
"17999,773","0,023","0,279","1,952","5,425"
"17999,803","0,024","0,280","1,954","5,427"
"18000,028","0,021","0,278","1,951","5,425"
"17999,968","0,022","0,279","1,952","5,426"
"17999,830","0,021","0,277","1,950","5,423"
"17999,926","0,023","0,280","1,953","5,427"
"17999,885","0,022","0,277","1,951","5,424"
"17999,832","0,023","0,278","1,952","5,425"
"18000,165","0,023","0,281","1,955","5,428"
"17999,843","0,022","0,278","1,950","5,424"
"17999,919","0,021","0,278","1,951","5,425"
"18000,096","0,022","0,279","1,952","5,426"
"17999,912","0,024","0,282","1,955","5,429"
"17999,834","0,024","0,281","1,954","5,428"
"17999,971","0,023","0,280","1,954","5,427"
"17999,856","0,023","0,279","1,953","5,426"
"17999,907","0,023","0,279","1,953","5,426"
"18000,082","0,022","0,280","1,954","5,427"
"17999,861","0,023","0,279","1,952","5,425"
"17999,880","0,024","0,280","1,954","5,428"
