Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C
"29999,251","0,143","5,313","0,808","4,441",,3.000E+04,1.430E-01,5.313E+00,8.080E-01,4.441E+00
"29999,437","0,141","5,311","0,807","4,439",,3.000E+04,1.410E-01,5.311E+00,8.070E-01,4.439E+00
"29999,583","0,145","5,314","0,808","4,441",,3.000E+04,1.450E-01,5.314E+00,8.080E-01,4.441E+00
"29999,454","0,140","5,310","0,807","4,437",,3.000E+04,1.400E-01,5.310E+00,8.070E-01,4.437E+00
"29999,653","0,148","5,315","0,809","4,443",,3.000E+04,1.480E-01,5.315E+00,8.090E-01,4.443E+00
"29999,059","0,140","5,311","0,807","4,438",,3.000E+04,1.400E-01,5.311E+00,8.070E-01,4.438E+00
"29999,499","0,150","5,318","0,810","4,446",,3.000E+04,1.500E-01,5.318E+00,8.100E-01,4.446E+00
"29999,609","0,148","5,316","0,809","4,444",,3.000E+04,1.480E-01,5.316E+00,8.090E-01,4.444E+00
"29999,506","0,145","5,314","0,809","4,442",,3.000E+04,1.450E-01,5.314E+00,8.090E-01,4.442E+00
"29999,676","0,147","5,316","0,809","4,443",,3.000E+04,1.470E-01,5.316E+00,8.090E-01,4.443E+00
"29999,248","0,141","5,311","0,807","4,438",,3.000E+04,1.410E-01,5.311E+00,8.070E-01,4.438E+00
"29999,323","0,138","5,309","0,806","4,436",,3.000E+04,1.380E-01,5.309E+00,8.060E-01,4.436E+00
"29999,650","0,143","5,313","0,808","4,440",,3.000E+04,1.430E-01,5.313E+00,8.080E-01,4.440E+00
"29999,554","0,144","5,313","0,808","4,440",,3.000E+04,1.440E-01,5.313E+00,8.080E-01,4.440E+00
"29999,437","0,142","5,312","0,808","4,440",,3.000E+04,1.420E-01,5.312E+00,8.080E-01,4.440E+00
"29999,553","0,147","5,315","0,808","4,442",,3.000E+04,1.470E-01,5.315E+00,8.080E-01,4.442E+00
"29999,567","0,138","5,310","0,807","4,437",,3.000E+04,1.380E-01,5.310E+00,8.070E-01,4.437E+00
"29999,641","0,145","5,315","0,809","4,442",,3.000E+04,1.450E-01,5.315E+00,8.090E-01,4.442E+00
"29999,508","0,140","5,312","0,807","4,439",,3.000E+04,1.400E-01,5.312E+00,8.070E-01,4.439E+00
"29999,508","0,149","5,318","0,810","4,445",,3.000E+04,1.490E-01,5.318E+00,8.100E-01,4.445E+00
"29999,533","0,149","5,317","0,809","4,444",,3.000E+04,1.490E-01,5.317E+00,8.090E-01,4.444E+00
"29999,633","0,147","5,317","0,809","4,444",,3.000E+04,1.470E-01,5.317E+00,8.090E-01,4.444E+00
"29999,386","0,149","5,317","0,809","4,444",,3.000E+04,1.490E-01,5.317E+00,8.090E-01,4.444E+00
"29999,331","0,151","5,318","0,810","4,445",,3.000E+04,1.510E-01,5.318E+00,8.100E-01,4.445E+00
"29999,609","0,147","5,315","0,809","4,442",,3.000E+04,1.470E-01,5.315E+00,8.090E-01,4.442E+00
"29999,405","0,146","5,315","0,808","4,442",,3.000E+04,1.460E-01,5.315E+00,8.080E-01,4.442E+00
"29999,449","0,147","5,315","0,809","4,442",,3.000E+04,1.470E-01,5.315E+00,8.090E-01,4.442E+00
"29999,289","0,145","5,314","0,808","4,441",,3.000E+04,1.450E-01,5.314E+00,8.080E-01,4.441E+00
"29999,436","0,146","5,314","0,808","4,442",,3.000E+04,1.460E-01,5.314E+00,8.080E-01,4.442E+00
"29999,546","0,149","5,317","0,809","4,445",,3.000E+04,1.490E-01,5.317E+00,8.090E-01,4.445E+00
"29999,542","0,147","5,315","0,809","4,443",,3.000E+04,1.470E-01,5.315E+00,8.090E-01,4.443E+00
"29999,490","0,141","5,311","0,807","4,438",,3.000E+04,1.410E-01,5.311E+00,8.070E-01,4.438E+00
"29999,237","0,149","5,317","0,809","4,444",,3.000E+04,1.490E-01,5.317E+00,8.090E-01,4.444E+00
"29999,521","0,146","5,314","0,808","4,442",,3.000E+04,1.460E-01,5.314E+00,8.080E-01,4.442E+00
"29999,411","0,141","5,312","0,807","4,439",,3.000E+04,1.410E-01,5.312E+00,8.070E-01,4.439E+00
"29999,027","0,136","5,309","0,806","4,436",,3.000E+04,1.360E-01,5.309E+00,8.060E-01,4.436E+00
"29999,237","0,144","5,313","0,808","4,440",,3.000E+04,1.440E-01,5.313E+00,8.080E-01,4.440E+00
"29999,171","0,136","5,309","0,807","4,436",,3.000E+04,1.360E-01,5.309E+00,8.070E-01,4.436E+00
"29999,151","0,136","5,309","0,807","4,436",,3.000E+04,1.360E-01,5.309E+00,8.070E-01,4.436E+00
"29999,375","0,141","5,312","0,807","4,439",,3.000E+04,1.410E-01,5.312E+00,8.070E-01,4.439E+00
"29999,233","0,140","5,310","0,807","4,438",,3.000E+04,1.400E-01,5.310E+00,8.070E-01,4.438E+00
"29999,654","0,147","5,316","0,809","4,443",,3.000E+04,1.470E-01,5.316E+00,8.090E-01,4.443E+00
"29999,505","0,142","5,313","0,808","4,440",,3.000E+04,1.420E-01,5.313E+00,8.080E-01,4.440E+00
"29999,420","0,145","5,314","0,808","4,441",,3.000E+04,1.450E-01,5.314E+00,8.080E-01,4.441E+00
"29999,529","0,146","5,315","0,809","4,443",,3.000E+04,1.460E-01,5.315E+00,8.090E-01,4.443E+00
"29999,552","0,140","5,312","0,807","4,439",,3.000E+04,1.400E-01,5.312E+00,8.070E-01,4.439E+00
"29999,338","0,137","5,310","0,806","4,437",,3.000E+04,1.370E-01,5.310E+00,8.060E-01,4.437E+00
"29999,279","0,140","5,311","0,807","4,438",,3.000E+04,1.400E-01,5.311E+00,8.070E-01,4.438E+00
"29999,542","0,149","5,318","0,810","4,445",,3.000E+04,1.490E-01,5.318E+00,8.100E-01,4.445E+00
"29999,387","0,148","5,316","0,809","4,443",,3.000E+04,1.480E-01,5.316E+00,8.090E-01,4.443E+00
"29999,506","0,147","5,316","0,809","4,443",,3.000E+04,1.470E-01,5.316E+00,8.090E-01,4.443E+00
"29999,705","0,150","5,319","0,810","4,446",,3.000E+04,1.500E-01,5.319E+00,8.100E-01,4.446E+00
"29999,525","0,144","5,314","0,808","4,441",,3.000E+04,1.440E-01,5.314E+00,8.080E-01,4.441E+00
"29999,654","0,150","5,319","0,810","4,446",,3.000E+04,1.500E-01,5.319E+00,8.100E-01,4.446E+00
"29999,280","0,140","5,310","0,807","4,437",,3.000E+04,1.400E-01,5.310E+00,8.070E-01,4.437E+00
"29999,407","0,145","5,314","0,808","4,441",,3.000E+04,1.450E-01,5.314E+00,8.080E-01,4.441E+00
"29999,347","0,148","5,315","0,809","4,442",,3.000E+04,1.480E-01,5.315E+00,8.090E-01,4.442E+00
"29999,631","0,151","5,318","0,810","4,445",,3.000E+04,1.510E-01,5.318E+00,8.100E-01,4.445E+00
"29999,583","0,151","5,319","0,810","4,446",,3.000E+04,1.510E-01,5.319E+00,8.100E-01,4.446E+00
"29999,210","0,143","5,312","0,807","4,439",,3.000E+04,1.430E-01,5.312E+00,8.070E-01,4.439E+00
"29999,628","0,147","5,314","0,809","4,442",,3.000E+04,1.470E-01,5.314E+00,8.090E-01,4.442E+00
"29999,246","0,143","5,311","0,807","4,439",,3.000E+04,1.430E-01,5.311E+00,8.070E-01,4.439E+00
"29999,467","0,145","5,313","0,808","4,440",,3.000E+04,1.450E-01,5.313E+00,8.080E-01,4.440E+00
"29999,025","0,150","5,316","0,809","4,443",,3.000E+04,1.500E-01,5.316E+00,8.090E-01,4.443E+00
"29999,528","0,148","5,316","0,809","4,443",,3.000E+04,1.480E-01,5.316E+00,8.090E-01,4.443E+00
"29999,523","0,151","5,319","0,810","4,446",,3.000E+04,1.510E-01,5.319E+00,8.100E-01,4.446E+00
"29999,045","0,149","5,316","0,809","4,443",,3.000E+04,1.490E-01,5.316E+00,8.090E-01,4.443E+00
"29999,530","0,144","5,313","0,808","4,440",,3.000E+04,1.440E-01,5.313E+00,8.080E-01,4.440E+00
"29999,101","0,141","5,311","0,807","4,438",,3.000E+04,1.410E-01,5.311E+00,8.070E-01,4.438E+00
"29999,504","0,146","5,316","0,809","4,443",,3.000E+04,1.460E-01,5.316E+00,8.090E-01,4.443E+00
"29999,322","0,144","5,314","0,808","4,441",,3.000E+04,1.440E-01,5.314E+00,8.080E-01,4.441E+00
"29999,485","0,143","5,313","0,808","4,440",,3.000E+04,1.430E-01,5.313E+00,8.080E-01,4.440E+00
"29999,340","0,139","5,311","0,807","4,438",,3.000E+04,1.390E-01,5.311E+00,8.070E-01,4.438E+00
"29999,128","0,138","5,309","0,806","4,436",,3.000E+04,1.380E-01,5.309E+00,8.060E-01,4.436E+00
"29999,628","0,142","5,311","0,807","4,438",,3.000E+04,1.420E-01,5.311E+00,8.070E-01,4.438E+00
"29999,484","0,140","5,311","0,807","4,438",,3.000E+04,1.400E-01,5.311E+00,8.070E-01,4.438E+00
"29999,189","0,140","5,311","0,807","4,438",,3.000E+04,1.400E-01,5.311E+00,8.070E-01,4.438E+00
"29999,459","0,148","5,317","0,809","4,444",,3.000E+04,1.480E-01,5.317E+00,8.090E-01,4.444E+00
"29999,389","0,137","5,310","0,807","4,437",,3.000E+04,1.370E-01,5.310E+00,8.070E-01,4.437E+00
"29998,948","0,139","5,311","0,807","4,437",,3.000E+04,1.390E-01,5.311E+00,8.070E-01,4.437E+00
"29999,384","0,150","5,317","0,809","4,444",,3.000E+04,1.500E-01,5.317E+00,8.090E-01,4.444E+00
"29999,548","0,146","5,315","0,809","4,442",,3.000E+04,1.460E-01,5.315E+00,8.090E-01,4.442E+00
"29998,850","0,139","5,310","0,806","4,437",,3.000E+04,1.390E-01,5.310E+00,8.060E-01,4.437E+00
"29999,541","0,148","5,316","0,809","4,443",,3.000E+04,1.480E-01,5.316E+00,8.090E-01,4.443E+00
"29998,961","0,139","5,309","0,806","4,436",,3.000E+04,1.390E-01,5.309E+00,8.060E-01,4.436E+00
"29999,224","0,147","5,315","0,809","4,442",,3.000E+04,1.470E-01,5.315E+00,8.090E-01,4.442E+00
"29999,418","0,145","5,314","0,808","4,441",,3.000E+04,1.450E-01,5.314E+00,8.080E-01,4.441E+00
"29999,284","0,135","5,308","0,806","4,435",,3.000E+04,1.350E-01,5.308E+00,8.060E-01,4.435E+00
"29999,383","0,144","5,313","0,808","4,440",,3.000E+04,1.440E-01,5.313E+00,8.080E-01,4.440E+00
"29999,366","0,150","5,317","0,810","4,444",,3.000E+04,1.500E-01,5.317E+00,8.100E-01,4.444E+00
"29999,456","0,142","5,313","0,808","4,440",,3.000E+04,1.420E-01,5.313E+00,8.080E-01,4.440E+00
"29999,559","0,149","5,317","0,809","4,444",,3.000E+04,1.490E-01,5.317E+00,8.090E-01,4.444E+00
"29999,337","0,143","5,312","0,808","4,440",,3.000E+04,1.430E-01,5.312E+00,8.080E-01,4.440E+00
"29999,525","0,145","5,314","0,809","4,441",,3.000E+04,1.450E-01,5.314E+00,8.090E-01,4.441E+00
"29999,595","0,146","5,315","0,809","4,442",,3.000E+04,1.460E-01,5.315E+00,8.090E-01,4.442E+00
"29999,070","0,138","5,310","0,807","4,436",,3.000E+04,1.380E-01,5.310E+00,8.070E-01,4.436E+00
"29998,997","0,136","5,309","0,806","4,435",,3.000E+04,1.360E-01,5.309E+00,8.060E-01,4.435E+00
"29999,533","0,144","5,313","0,808","4,440",,3.000E+04,1.440E-01,5.313E+00,8.080E-01,4.440E+00
"29999,679","0,141","5,313","0,808","4,439",,3.000E+04,1.410E-01,5.313E+00,8.080E-01,4.439E+00
"29999,360","0,142","5,312","0,808","4,439",,3.000E+04,1.420E-01,5.312E+00,8.080E-01,4.439E+00
"29999,648","0,150","5,318","0,810","4,444",,3.000E+04,1.500E-01,5.318E+00,8.100E-01,4.444E+00
"29999,345","0,148","5,315","0,809","4,442",,3.000E+04,1.480E-01,5.315E+00,8.090E-01,4.442E+00
"29999,587","0,148","5,317","0,809","4,444",,3.000E+04,1.480E-01,5.317E+00,8.090E-01,4.444E+00
"29999,506","0,142","5,313","0,808","4,440",,3.000E+04,1.420E-01,5.313E+00,8.080E-01,4.440E+00
"29999,482","0,136","5,309","0,807","4,436",,3.000E+04,1.360E-01,5.309E+00,8.070E-01,4.436E+00
"29999,463","0,148","5,317","0,809","4,444",,3.000E+04,1.480E-01,5.317E+00,8.090E-01,4.444E+00
"29999,540","0,139","5,310","0,807","4,437",,3.000E+04,1.390E-01,5.310E+00,8.070E-01,4.437E+00
"29999,478","0,138","5,310","0,807","4,437",,3.000E+04,1.380E-01,5.310E+00,8.070E-01,4.437E+00
"29999,546","0,147","5,316","0,809","4,442",,3.000E+04,1.470E-01,5.316E+00,8.090E-01,4.442E+00
"29999,374","0,140","5,311","0,808","4,439",,3.000E+04,1.400E-01,5.311E+00,8.080E-01,4.439E+00
"29999,339","0,140","5,311","0,807","4,438",,3.000E+04,1.400E-01,5.311E+00,8.070E-01,4.438E+00
"29999,572","0,145","5,313","0,808","4,440",,3.000E+04,1.450E-01,5.313E+00,8.080E-01,4.440E+00
