Frequency,Gen,R,L,C
5000.051,2.501,0.124,0.153,2.639
5000.028,2.502,0.124,0.153,2.64
5049.961,2.501,0.126,0.157,2.643
5049.951,2.502,0.126,0.157,2.643
5099.902,2.501,0.127,0.161,2.647
5149.925,2.501,0.129,0.165,2.65
5149.97,2.501,0.129,0.165,2.65
5199.893,2.502,0.13,0.169,2.654
5249.988,2.501,0.132,0.173,2.657
5249.982,2.501,0.132,0.173,2.657
5299.902,2.501,0.133,0.177,2.661
5299.889,2.501,0.133,0.177,2.661
5350.006,2.501,0.134,0.181,2.664
5399.98,2.501,0.136,0.185,2.668
5399.981,2.501,0.136,0.185,2.668
5449.845,2.501,0.137,0.189,2.672
5449.842,2.501,0.137,0.189,2.672
5499.944,2.501,0.139,0.193,2.676
5549.884,2.501,0.14,0.198,2.68
5549.821,2.501,0.14,0.198,2.68
5599.997,2.501,0.142,0.202,2.684
5599.985,2.501,0.142,0.202,2.683
5649.907,2.501,0.143,0.206,2.688
5699.962,2.501,0.145,0.211,2.692
5700.026,2.501,0.145,0.211,2.692
5749.957,2.501,0.146,0.215,2.696
5749.946,2.501,0.146,0.215,2.696
5800.058,2.5,0.148,0.22,2.7
5849.945,2.501,0.149,0.225,2.704
5849.943,2.501,0.149,0.225,2.704
5899.888,2.501,0.151,0.229,2.708
5899.907,2.5,0.151,0.229,2.708
5949.994,2.501,0.152,0.234,2.712
5999.892,2.501,0.154,0.239,2.717
5999.894,2.501,0.154,0.239,2.717
6049.975,2.5,0.155,0.244,2.721
6099.927,2.501,0.157,0.248,2.726
6099.926,2.501,0.157,0.248,2.725
6149.987,2.5,0.159,0.253,2.73
6149.983,2.5,0.159,0.253,2.73
6199.956,2.5,0.16,0.258,2.734
6249.841,2.5,0.162,0.263,2.739
6249.854,2.501,0.162,0.263,2.739
6299.988,2.5,0.163,0.268,2.743
6299.957,2.5,0.163,0.268,2.743
6349.892,2.5,0.165,0.273,2.748
6399.969,2.5,0.166,0.278,2.753
6400,2.5,0.166,0.279,2.753
6449.905,2.5,0.168,0.284,2.758
6449.89,2.5,0.168,0.284,2.758
6500.041,2.5,0.17,0.289,2.762
6549.944,2.5,0.171,0.295,2.767
6549.962,2.5,0.171,0.294,2.767
6599.849,2.5,0.173,0.3,2.772
6599.853,2.5,0.173,0.3,2.772
6649.913,2.5,0.175,0.305,2.777
6699.841,2.5,0.176,0.311,2.782
6699.904,2.499,0.176,0.311,2.782
6750.013,2.499,0.178,0.317,2.787
6799.891,2.5,0.18,0.322,2.792
6799.896,2.5,0.18,0.323,2.792
6850.035,2.499,0.181,0.328,2.798
6849.957,2.499,0.181,0.328,2.798
6899.928,2.5,0.183,0.334,2.803
6949.985,2.5,0.185,0.34,2.808
6950.033,2.5,0.185,0.34,2.808
6999.947,2.499,0.186,0.346,2.813
6999.899,2.5,0.186,0.346,2.814
7049.864,2.499,0.188,0.352,2.819
7099.938,2.5,0.19,0.358,2.824
7099.982,2.499,0.19,0.358,2.824
7149.856,2.5,0.191,0.364,2.83
7149.944,2.499,0.191,0.364,2.83
7199.959,2.499,0.193,0.37,2.836
7249.932,2.499,0.195,0.377,2.841
7249.92,2.499,0.195,0.377,2.841
7299.976,2.499,0.197,0.383,2.847
7300.045,2.499,0.197,0.383,2.847
7349.919,2.499,0.198,0.389,2.853
7399.809,2.499,0.2,0.396,2.859
7399.863,2.499,0.2,0.396,2.859
7449.975,2.499,0.202,0.402,2.865
7486.731,2.499,0.203,0.407,2.869
7499.861,2.499,0.204,0.409,2.87
7550.014,2.499,0.206,0.416,2.876
7549.993,2.499,0.206,0.416,2.877
7599.937,2.499,0.207,0.423,2.883
7649.989,2.499,0.209,0.43,2.889
7649.956,2.499,0.209,0.43,2.889
7699.934,2.499,0.211,0.437,2.895
7699.933,2.499,0.211,0.436,2.895
7749.883,2.498,0.213,0.444,2.901
7799.933,2.499,0.215,0.451,2.908
7799.972,2.498,0.215,0.451,2.908
7849.867,2.498,0.217,0.458,2.914
7849.838,2.498,0.217,0.458,2.914
7899.946,2.498,0.219,0.465,2.92
7949.809,2.498,0.221,0.473,2.927
7949.867,2.498,0.221,0.473,2.927
7999.994,2.498,0.222,0.48,2.934
7999.953,2.498,0.222,0.48,2.934
8049.898,2.498,0.224,0.487,2.941
8099.94,2.498,0.226,0.495,2.947
8100.002,2.498,0.226,0.495,2.947
8149.978,2.498,0.228,0.503,2.954
8199.831,2.498,0.23,0.51,2.961
8199.81,2.498,0.23,0.51,2.961
8249.948,2.498,0.232,0.518,2.968
8249.971,2.498,0.232,0.518,2.968
8299.849,2.498,0.234,0.526,2.975
8349.947,2.498,0.236,0.534,2.982
8349.951,2.497,0.236,0.534,2.982
8399.899,2.498,0.238,0.542,2.99
8399.901,2.498,0.238,0.542,2.99
8450.032,2.497,0.24,0.55,2.997
8499.96,2.498,0.242,0.559,3.004
8499.935,2.498,0.242,0.559,3.004
8549.868,2.497,0.244,0.567,3.012
8549.779,2.497,0.244,0.567,3.012
8599.963,2.497,0.246,0.576,3.019
8649.856,2.497,0.249,0.584,3.027
8649.84,2.497,0.249,0.584,3.027
8699.902,2.497,0.251,0.593,3.035
8699.941,2.497,0.251,0.593,3.035
8749.886,2.497,0.253,0.602,3.043
8799.963,2.497,0.255,0.611,3.05
8800.01,2.497,0.255,0.611,3.05
8849.864,2.497,0.257,0.62,3.058
8900.013,2.497,0.259,0.629,3.067
8900.003,2.497,0.259,0.629,3.067
8949.903,2.497,0.261,0.638,3.075
8949.945,2.497,0.261,0.638,3.075
8999.841,2.497,0.264,0.647,3.083
9049.959,2.497,0.266,0.657,3.091
9049.924,2.497,0.266,0.657,3.091
9099.864,2.497,0.268,0.666,3.1
9099.866,2.497,0.268,0.666,3.1
9149.989,2.497,0.27,0.676,3.108
9199.886,2.496,0.273,0.685,3.117
9199.916,2.496,0.273,0.686,3.117
9249.988,2.497,0.275,0.695,3.125
9249.95,2.497,0.275,0.696,3.125
9300.015,2.496,0.277,0.705,3.134
9349.874,2.496,0.28,0.716,3.143
9349.812,2.496,0.28,0.715,3.143
9399.916,2.496,0.282,0.726,3.152
9399.935,2.496,0.282,0.726,3.152
9449.834,2.496,0.284,0.736,3.161
9499.956,2.496,0.287,0.746,3.17
9499.974,2.496,0.287,0.746,3.17
9549.868,2.496,0.289,0.757,3.18
9549.877,2.496,0.289,0.757,3.18
9599.974,2.496,0.291,0.767,3.189
9649.907,2.495,0.294,0.778,3.198
9649.916,2.496,0.294,0.778,3.198
9699.786,2.495,0.296,0.789,3.208
9699.787,2.496,0.296,0.789,3.208
9749.913,2.496,0.299,0.8,3.218
9799.877,2.495,0.301,0.811,3.227
9799.833,2.495,0.301,0.811,3.228
9849.945,2.495,0.304,0.823,3.238
9849.957,2.495,0.304,0.822,3.237
9899.886,2.495,0.306,0.834,3.247
9949.985,2.495,0.309,0.845,3.257
9949.998,2.495,0.309,0.846,3.257
9999.923,2.495,0.312,0.857,3.268
10050.009,2.495,0.314,0.869,3.278
10050.016,2.495,0.314,0.869,3.278
10099.942,2.495,0.317,0.881,3.288
10099.888,2.495,0.317,0.881,3.288
10149.826,2.495,0.319,0.893,3.299
10199.915,2.494,0.322,0.905,3.31
10199.92,2.495,0.322,0.905,3.31
10249.819,2.494,0.325,0.917,3.32
10249.821,2.494,0.325,0.918,3.321
10299.916,2.494,0.328,0.93,3.332
10349.871,2.495,0.33,0.943,3.343
10349.897,2.494,0.33,0.943,3.343
10399.947,2.494,0.333,0.956,3.354
10399.953,2.494,0.333,0.956,3.354
10449.907,2.494,0.336,0.968,3.365
10499.78,2.494,0.339,0.982,3.376
