Frequency,Gen(mV),R(mV),L(mV),C(mV)
5099.892,2.501,0.127,0.161,2.646
5199.932,2.502,0.13,0.169,2.653
5299.906,2.502,0.133,0.177,2.661
5399.933,2.501,0.136,0.185,2.668
5499.996,2.501,0.139,0.193,2.676
5600.014,2.501,0.142,0.202,2.683
5700.013,2.501,0.145,0.211,2.692
5899.878,2.5,0.151,0.229,2.708
6099.929,2.5,0.157,0.248,2.725.
6299.977,2.5,0.163,0.268,2.743
6500.014,2.5,0.169,0.289,2.762
6599.836,2.5,0.173,0.3,2.772
6699.874,2.499,0.176,0.31,2.781
6799.889,2.499,0.179,0.322,2.792
6899.868,2.5,0.183,0.334,2.802
6999.914,2.499,0.186,0.345,2.813
7099.965,2.499,0.19,0.357,2.824
7199.977,2.499,0.193,0.37,2.835
7300.003,2.499,0.197,0.383,2.847
7399.838,2.499,0.2,0.395,2.858
7499.839,2.499,0.204,0.409,2.87
7599.848,2.499,0.207,0.422,2.882
7699.947,2.499,0.211,0.436,2.895
7799.949,2.499,0.215,0.451,2.907
7899.986,2.498,0.219,0.465,2.92
7999.97,2.499,0.222,0.479,2.934
8099.99,2.498,0.226,0.495,2.947
8299.863,2.498,0.234,0.526,2.975
8399.856,2.497,0.238,0.542,2.989
8499.92,2.498,0.242,0.559,3.004
8599.95,2.497,0.246,0.575,3.019
8699.934,2.497,0.25,0.593,3.034
8800.008,2.497,0.255,0.61,3.05
8899.966,2.497,0.259,0.628,3.066
8999.812,2.497,0.263,0.647,3.082
9099.878,2.497,0.268,0.665,3.099
9199.845,2.496,0.272,0.685,3.116
9299.907,2.496,0.277,0.704,3.133
9399.958,2.496,0.282,0.725,3.151
9599.978,2.496,0.291,0.766,3.188
9799.805,2.495,0.301,0.81,3.227
9999.866,2.495,0.311,0.856,3.267
10099.92,2.495,0.316,0.88,3.287
10199.908,2.495,0.322,0.904,3.309
10299.96,2.494,0.327,0.929,3.33
10399.941,2.494,0.333,0.954,3.352
10499.787,2.494,0.338,0.98,3.375
10699.83,2.494,0.35,1.034,3.422
10799.889,2.494,0.356,1.062,3.446
10999.925,2.493,0.368,1.12,3.496
11199.983,2.493,0.381,1.181,3.549
11299.838,2.492,0.387,1.213,3.576
11399.848,2.492,0.394,1.245,3.603
11499.877,2.492,0.401,1.279,3.632
11599.861,2.492,0.407,1.313,3.661
11699.928,2.491,0.415,1.348,3.691
11799.917,2.491,0.422,1.384,3.722
11899.932,2.491,0.429,1.421,3.753
12000.051,2.49,0.437,1.459,3.785
12099.82,2.49,0.444,1.497,3.817
12199.859,2.49,0.452,1.537,3.85
12299.861,2.489,0.46,1.578,3.885
12399.84,2.489,0.468,1.62,3.919
12499.881,2.488,0.477,1.663,3.955
12599.885,2.488,0.485,1.707,3.992
12699.943,2.488,0.494,1.753,4.03
12799.771,2.487,0.503,1.799,4.068
12999.804,2.487,0.521,1.897,4.147
13199.887,2.486,0.541,1.999,4.231
13299.893,2.485,0.551,2.053,4.274
13399.907,2.484,0.561,2.108,4.318
13499.947,2.484,0.572,2.165,4.363
13699.815,2.483,0.593,2.282,4.457
13899.855,2.482,0.616,2.407,4.555
13999.828,2.481,0.628,2.472,4.605
14099.911,2.48,0.64,2.539,4.657
14199.944,2.48,0.652,2.608,4.71
14299.868,2.479,0.665,2.679,4.764
14399.751,2.479,0.678,2.751,4.819
14499.855,2.478,0.691,2.826,4.875
14599.811,2.477,0.705,2.903,4.932
14799.844,2.475,0.733,3.062,5.05
14899.869,2.474,0.747,3.145,5.11
14999.898,2.474,0.762,3.231,5.172
15099.946,2.472,0.777,3.318,5.234
15199.767,2.471,0.792,3.407,5.297
15299.807,2.47,0.808,3.499,5.36
15399.795,2.469,0.823,3.593,5.425
15499.858,2.468,0.839,3.688,5.49
15599.86,2.467,0.856,3.786,5.556
15699.863,2.466,0.872,3.886,5.622
15799.916,2.464,0.889,3.988,5.687
15899.749,2.463,0.906,4.091,5.753
15999.756,2.462,0.923,4.196,5.818
16099.792,2.46,0.94,4.303,5.884
16299.83,2.458,0.974,4.52,6.011
16399.924,2.456,0.991,4.629,6.073
16499.902,2.454,1.008,4.739,6.133
16599.836,2.453,1.024,4.849,6.191
16699.741,2.452,1.041,4.96,6.248
16799.741,2.451,1.057,5.07,6.303
16899.801,2.449,1.073,5.179,6.353
16999.791,2.448,1.088,5.287,6.401
17099.816,2.446,1.103,5.393,6.445
17199.83,2.445,1.117,5.497,6.485
17299.895,2.444,1.131,5.599,6.522
17399.865,2.442,1.144,5.698,6.553
17599.766,2.44,1.167,5.885,6.602
17799.786,2.438,1.187,6.057,6.631
17899.811,2.437,1.195,6.137,6.637
17999.801,2.437,1.203,6.212,6.639
18099.858,2.436,1.209,6.28,6.633
18199.884,2.435,1.214,6.344,6.623
18299.724,2.435,1.218,6.402,6.607
18399.749,2.434,1.221,6.456,6.587
18599.804,2.434,1.225,6.547,6.532
18799.801,2.434,1.224,6.615,6.456
18899.823,2.434,1.222,6.641,6.411
18999.703,2.434,1.219,6.662,6.363
19099.771,2.435,1.216,6.678,6.311
19199.743,2.435,1.211,6.691,6.256
19299.778,2.436,1.206,6.698,6.197
19399.809,2.436,1.2,6.7,6.135
19499.807,2.437,1.194,6.698,6.071
19699.93,2.438,1.179,6.684,5.937
19899.757,2.44,1.162,6.655,5.795
20099.851,2.442,1.143,6.615,5.648
20199.792,2.443,1.133,6.59,5.572
20299.857,2.444,1.123,6.564,5.497
20399.922,2.445,1.113,6.536,5.421
20499.839,2.446,1.102,6.506,5.344
20599.708,2.447,1.091,6.473,5.267
20699.76,2.448,1.08,6.439,5.19
20799.752,2.449,1.069,6.404,5.114
20899.767,2.45,1.058,6.368,5.038
20999.809,2.451,1.047,6.33,4.962
21099.818,2.452,1.036,6.292,4.886
21199.847,2.453,1.024,6.253,4.811
21299.863,2.454,1.013,6.212,4.736
21499.746,2.456,0.99,6.13,4.589
21599.77,2.456,0.979,6.089,4.518
21699.815,2.457,0.968,6.047,4.446
21799.769,2.458,0.957,6.005,4.376
21899.847,2.459,0.946,5.964,4.306
21999.873,2.46,0.935,5.921,4.238
22099.675,2.461,0.924,5.88,4.171
22199.677,2.461,0.913,5.837,4.104
22299.747,2.462,0.902,5.796,4.039
22399.783,2.463,0.892,5.754,3.975
22499.808,2.464,0.881,5.713,3.912
22699.796,2.465,0.861,5.631,3.789
22899.707,2.467,0.841,5.55,3.67
23099.718,2.468,0.822,5.471,3.556
