Time - Gen,Voltage - Gen,Time - R,Voltage - R,Time - L,Voltage - L,Time - C,Voltage - C
0,"2,07615",0,"0,729182",0,"-2,98963",0,"4,76692"
"0,0001","2,51613","0,0001","0,0930609","0,0001","-0,329838","0,0001","3,10008"
"0,0002","2,51484","0,0002","0,00577553","0,0002","0,000300072","0,0002","2,63176"
"0,0003","2,51387","0,0003","-0,0025987","0,0003","0,0176927","0,0003","2,53449"
"0,0004","2,51258","0,0004","-0,00163244","0,0004","0,00931848","0,0004","2,51838"
"0,0005","2,5142","0,0005","-0,00131036","0,0005","0,00513136","0,0005","2,51774"
"0,0006","2,51645","0,0006","-0,000666186","0,0006","0,00577553","0,0006","2,51709"
"0,0007","2,51452","0,0007","-0,00131036","0,0007","0,00448719","0,0007","2,51677"
"0,0008","2,51613","0,0008","-0,000666186","0,0008","0,00545345","0,0008","2,51774"
"0,0009","2,51548","0,0009","-0,00131036","0,0009","0,00480928","0,0009","2,51742"
"0,001","2,5142","0,001","-2,20E-05","0,001","0,00255467","0,001","2,51935"
"0,0011","2,51742","0,0011","-0,00131036","0,0011","0,00609762","0,0011","2,51935"
"0,0012","2,51484","0,0012","-0,000666186","0,0012","0,00480928","0,0012","2,51903"
"0,0013","2,51484","0,0013","-0,00131036","0,0013","0,0041651","0,0013","2,51935"
"0,0014","2,51613","0,0014","-0,000988272","0,0014","0,0041651","0,0014","2,52064"
"0,0015","2,51484","0,0015","-0,000988272","0,0015","0,00480928","0,0015","2,51999"
"0,0016","2,51355","0,0016","-0,0003441","0,0016","0,00319885","0,0016","2,51967"
"0,0017","2,5187","0,0017","-0,00131036","0,0017","0,00352093","0,0017","2,51999"
"0,0018","2,51774","0,0018","-0,000988272","0,0018","0,00641971","0,0018","2,52031"
"0,0019","2,51774","0,0019","-0,000666186","0,0019","0,00609762","0,0019","2,52031"
"0,002","2,51806","0,002","-0,000666186","0,002","0,00545345","0,002","2,51999"
"0,0021","2,51742","0,0021","-0,00131036","0,0021","0,00352093","0,0021","2,52031"
"0,0022","2,51709","0,0022","-0,000988272","0,0022","0,00384302","0,0022","2,51967"
"0,0023","2,51838","0,0023","-0,00131036","0,0023","0,00384302","0,0023","2,51999"
"0,0024","2,51645","0,0024","-0,000666186","0,0024","0,00287676","0,0024","2,52031"
"0,0025","2,51645","0,0025","-0,00131036","0,0025","0,0041651","0,0025","2,52031"
"0,0026","2,51709","0,0026","-0,000988272","0,0026","0,00223259","0,0026","2,52031"
"0,0027","2,51645","0,0027","-0,00131036","0,0027","0,0041651","0,0027","2,52096"
"0,0028","2,51774","0,0028","-0,000988272","0,0028","0,00384302","0,0028","2,52031"
"0,0029","2,51742","0,0029","-0,00131036","0,0029","0,00480928","0,0029","2,51999"
"0,003","2,51935","0,003","-0,000988272","0,003","0,0041651","0,003","2,52064"
"0,0031","2,51709","0,0031","-0,000988272","0,0031","0,00577553","0,0031","2,51935"
"0,0032","2,5187","0,0032","-0,000666186","0,0032","0,00448719","0,0032","2,52031"
"0,0033","2,51838","0,0033","-0,00131036","0,0033","0,00545345","0,0033","2,52064"
"0,0034","2,51774","0,0034","-0,000666186","0,0034","0,00448719","0,0034","2,52064"
"0,0035","2,5187","0,0035","-0,00163244","0,0035","0,00577553","0,0035","2,52031"
"0,0036","2,51806","0,0036","-0,000666186","0,0036","0,00480928","0,0036","2,52031"
"0,0037","2,51967","0,0037","-0,00163244","0,0037","0,00609762","0,0037","2,52031"
"0,0038","2,51838","0,0038","-0,000988272","0,0038","0,00545345","0,0038","2,51999"
"0,0039","2,51613","0,0039","-0,000666186","0,0039","0,00319885","0,0039","2,52031"
"0,004","2,5187","0,004","-0,000988272","0,004","0,0041651","0,004","2,52031"
