Time - Gen,Voltage - Gen,Voltage - R,Voltage - L,Voltage - C
0,"2.07615","0.729182","-2.98963","4.76692"
"0.0001","2.51613","0.0930609","-0.329838","3.10008"
"0.0002","2.51484","0.00577553","0.000300072","2.63176"
"0.0003","2.51387","-0.0025987","0.0176927","2.53449"
"0.0004","2.51258","-0.00163244","0.00931848","2.51838"
"0.0005","2.5142","-0.00131036","0.00513136","2.51774"
"0.0006","2.51645","-0.000666186","0.00577553","2.51709"
"0.0007","2.51452","-0.00131036","0.00448719","2.51677"
"0.0008","2.51613","-0.000666186","0.00545345","2.51774"
"0.0009","2.51548","-0.00131036","0.00480928","2.51742"
"0.001","2.5142","-2.20E-05","0.00255467","2.51935"
"0.0011","2.51742","-0.00131036","0.00609762","2.51935"
"0.0012","2.51484","-0.000666186","0.00480928","2.51903"
"0.0013","2.51484","-0.00131036","0.0041651","2.51935"
"0.0014","2.51613","-0.000988272","0.0041651","2.52064"
"0.0015","2.51484","-0.000988272","0.00480928","2.51999"
"0.0016","2.51355","-0.0003441","0.00319885","2.51967"
"0.0017","2.5187","-0.00131036","0.00352093","2.51999"
"0.0018","2.51774","-0.000988272","0.00641971","2.52031"
"0.0019","2.51774","-0.000666186","0.00609762","2.52031"
"0.002","2.51806","-0.000666186","0.00545345","2.51999"
"0.0021","2.51742","-0.00131036","0.00352093","2.52031"
"0.0022","2.51709","-0.000988272","0.00384302","2.51967"
"0.0023","2.51838","-0.00131036","0.00384302","2.51999"
"0.0024","2.51645","-0.000666186","0.00287676","2.52031"
"0.0025","2.51645","-0.00131036","0.0041651","2.52031"
"0.0026","2.51709","-0.000988272","0.00223259","2.52031"
"0.0027","2.51645","-0.00131036","0.0041651","2.52096"
"0.0028","2.51774","-0.000988272","0.00384302","2.52031"
"0.0029","2.51742","-0.00131036","0.00480928","2.51999"
"0.003","2.51935","-0.000988272","0.0041651","2.52064"
"0.0031","2.51709","-0.000988272","0.00577553","2.51935"
"0.0032","2.5187","-0.000666186","0.00448719","2.52031"
