Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
19499.8,2.44059,1.11878,6.26658,5.69809
19499.8,2.44033,1.11868,6.26617,5.69724
19499.8,2.44031,1.11866,6.26566,5.69651
19499.7,2.44058,1.11861,6.26574,5.69606
19499.8,2.44015,1.11848,6.26529,5.69551
19499.8,2.44037,1.11845,6.26498,5.69504
19499.8,2.44004,1.11836,6.2643,5.69444
19499.8,2.44014,1.11829,6.26431,5.6939
19499.8,2.44028,1.11836,6.26434,5.69368
19499.7,2.44024,1.11829,6.26425,5.69336
19499.8,2.44051,1.11832,6.26423,5.6931
19499.8,2.44041,1.11824,6.26373,5.69238
19499.8,2.44041,1.11822,6.26372,5.69208
19499.8,2.44034,1.1182,6.26342,5.69179
19499.8,2.44053,1.11821,6.26365,5.6917
19499.8,2.44053,1.11817,6.26341,5.69127
19499.8,2.4404,1.11805,6.26286,5.69058
19499.8,2.44034,1.11813,6.26301,5.69059
19499.8,2.44034,1.11809,6.26298,5.69048
19499.7,2.44017,1.11799,6.26258,5.68981
19499.8,2.44032,1.11796,6.26244,5.68971
19499.8,2.43998,1.11786,6.26148,5.68873
19499.8,2.44028,1.11791,6.26208,5.68888
19499.8,2.44034,1.11787,6.26183,5.68849
19499.8,2.44028,1.11786,6.26149,5.68811
19499.8,2.44042,1.11797,6.26215,5.68855
19499.7,2.44062,1.11798,6.26242,5.6885
19499.8,2.44037,1.1178,6.26142,5.68762
19499.8,2.44053,1.11792,6.26196,5.68815
19499.8,2.4404,1.11779,6.26152,5.6878
19499.8,2.44083,1.11793,6.26224,5.68827
19499.8,2.44036,1.11793,6.26175,5.688
19499.8,2.4403,1.11783,6.26175,5.68776
19499.8,2.44042,1.11791,6.26189,5.68802
19499.8,2.43994,1.11774,6.26087,5.68714
19499.8,2.4404,1.11785,6.26149,5.68764
19499.8,2.44037,1.11787,6.26163,5.68772
19499.8,2.44026,1.11785,6.26135,5.68747
19499.8,2.44069,1.11793,6.26182,5.68799
19499.8,2.44052,1.11789,6.26175,5.68771
19499.8,2.44045,1.11794,6.26179,5.68776
19499.8,2.44029,1.11786,6.26145,5.68757
19499.8,2.44045,1.1178,6.26164,5.68745
19499.8,2.44036,1.11787,6.26153,5.68745
19499.7,2.44037,1.11783,6.26139,5.68724
19499.8,2.44037,1.11786,6.26116,5.68703
19499.8,2.44036,1.11778,6.26105,5.68679
19499.8,2.44043,1.11773,6.26083,5.68639
19499.8,2.44036,1.11769,6.26096,5.68633
19499.8,2.44052,1.11779,6.26105,5.68646
19499.8,2.44064,1.11774,6.26088,5.6863
19499.8,2.44061,1.11778,6.26112,5.68638
19499.8,2.44017,1.11763,6.26057,5.68589
19499.8,2.44027,1.11766,6.26055,5.68579
19499.8,2.44046,1.11767,6.26112,5.68621
19499.7,2.4402,1.1178,6.26066,5.68588
19499.8,2.44049,1.11776,6.26095,5.68608
19499.8,2.44022,1.11754,6.26012,5.6853
19499.8,2.44045,1.11766,6.26071,5.68578
19499.8,2.44033,1.11762,6.26042,5.68557
19499.7,2.44029,1.11768,6.26062,5.68562
19499.8,2.44049,1.11771,6.26055,5.6856
19499.8,2.44033,1.11757,6.26022,5.68516
19499.8,2.44034,1.11762,6.26054,5.68545
19499.8,2.44055,1.11776,6.26096,5.68581
19499.8,2.44033,1.11765,6.26091,5.68567
19499.8,2.44044,1.11761,6.26012,5.68531
19499.7,2.44004,1.11759,6.26053,5.68546
19499.8,2.44004,1.11757,6.2598,5.68469
19499.7,2.44043,1.11766,6.26045,5.68518
19499.8,2.44065,1.11763,6.26031,5.68516
19499.8,2.44042,1.11768,6.26061,5.68526
19499.8,2.44042,1.1176,6.26032,5.68501
19499.8,2.44038,1.11763,6.2604,5.68494
19499.7,2.44067,1.11766,6.26067,5.68499
19499.9,2.44036,1.11759,6.25974,5.68444
19499.8,2.44051,1.11766,6.26027,5.68463
19499.8,2.44066,1.11764,6.26055,5.68495
19499.8,2.44073,1.11761,6.26013,5.68427
19499.8,2.44059,1.11759,6.26033,5.68439
19499.8,2.44063,1.11758,6.26028,5.68447
19499.7,2.44036,1.11742,6.25981,5.68389
19499.8,2.44075,1.11766,6.26041,5.68449
19499.8,2.44064,1.11754,6.26003,5.6841
19499.8,2.44045,1.11747,6.25955,5.68381
19499.8,2.44065,1.11755,6.25979,5.68388
19499.8,2.44057,1.11742,6.25953,5.6837
19499.8,2.44061,1.11747,6.25982,5.68363
19499.8,2.44033,1.11751,6.2598,5.68373
19499.8,2.44076,1.11755,6.25982,5.68367
19499.8,2.44043,1.11748,6.25961,5.68333
19499.8,2.44078,1.11743,6.25928,5.68324
19499.8,2.44042,1.11747,6.25949,5.68332
19499.8,2.44053,1.11741,6.25928,5.68297
19499.8,2.44043,1.1175,6.25966,5.68318
