Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
19499.8,-0.00570324,-0.121049,1.53284,-1.26626
19499.8,-0.00476571,-0.120043,1.53363,-1.2654
19499.8,0.000424081,-0.11509,1.53864,-1.26035
19499.7,-0.00377297,-0.119665,1.53407,-1.26493
19499.8,0.00205056,-0.114027,1.53974,-1.25916
19499.8,-0.00459606,-0.120301,1.53332,-1.2656
19499.8,-0.00249556,-0.11837,1.53526,-1.26368
19499.8,-0.00222781,-0.11837,1.53546,-1.26352
19499.8,-0.00157544,-0.117922,1.5359,-1.26302
19499.7,-0.00500667,-0.121565,1.53226,-1.26671
19499.8,-0.00245955,-0.118985,1.53483,-1.26409
19499.8,0.00017097,-0.116618,1.53728,-1.2616
19499.8,0.00198211,-0.114885,1.53894,-1.25995
19499.8,-0.00241161,-0.119163,1.53463,-1.2643
19499.8,-0.000658625,-0.117533,1.53627,-1.26268
19499.8,-0.00194113,-0.118877,1.53492,-1.26395
19499.8,-2.77E-05,-0.117009,1.53672,-1.26208
19499.8,-0.00336888,-0.120413,1.53338,-1.26552
19499.8,-0.00503836,-0.121985,1.5316,-1.2672
19499.7,-0.000193389,-0.117537,1.53626,-1.26265
19499.8,-0.00128169,-0.118459,1.53536,-1.26349
19499.8,-0.00266646,-0.120029,1.53377,-1.26505
19499.8,-0.00262405,-0.120031,1.53373,-1.26507
19499.8,-0.00403328,-0.121441,1.53227,-1.26645
19499.8,-0.00355073,-0.121047,1.5328,-1.26603
19499.8,-0.00135283,-0.119086,1.53468,-1.26408
19499.7,-0.00275744,-0.120616,1.53319,-1.26559
19499.8,0.000220334,-0.117418,1.53634,-1.26248
19499.8,-0.00150431,-0.119085,1.53465,-1.26406
19499.8,-0.00225411,-0.119996,1.53387,-1.26494
19499.8,-0.00252361,-0.120285,1.53362,-1.26514
19499.8,-0.0047432,-0.12221,1.53143,-1.26725
19499.8,-0.00437852,-0.122279,1.53147,-1.26727
19499.8,-0.00257475,-0.120255,1.53345,-1.26534
19499.8,-0.00368212,-0.121294,1.53243,-1.26633
19499.8,-0.00242757,-0.120191,1.53362,-1.26514
19499.8,0.00132548,-0.116473,1.53737,-1.2614
19499.8,-0.00487967,-0.122596,1.53112,-1.26766
19499.8,-0.000921444,-0.118612,1.5351,-1.2637
19499.8,0.000814741,-0.116934,1.5369,-1.26183
19499.8,-0.0020065,-0.119503,1.53416,-1.26457
19499.8,-0.00137937,-0.119111,1.53454,-1.26421
19499.8,-0.00341037,-0.120804,1.53289,-1.26586
19499.8,-0.00238127,-0.120206,1.5335,-1.26519
19499.7,-0.00327559,-0.121163,1.53258,-1.26616
19499.8,0.00179636,-0.115848,1.53796,-1.26082
19499.8,-0.00101686,-0.119004,1.53477,-1.26392
19499.8,0.000932261,-0.116815,1.53687,-1.26183
19499.8,-0.00504459,-0.123064,1.53067,-1.26797
19499.8,-0.003625,-0.121656,1.5322,-1.26653
19499.8,-0.00374109,-0.121889,1.5319,-1.26683
19499.8,-0.0032808,-0.121402,1.53238,-1.26638
19499.8,0.000259903,-0.117469,1.53614,-1.2626
19499.8,0.000313476,-0.117739,1.53599,-1.26272
19499.8,-0.00457397,-0.122396,1.53117,-1.2675
19499.7,-0.00373146,-0.122079,1.53178,-1.26691
19499.8,-0.00493525,-0.122835,1.53086,-1.26789
19499.8,0.00107335,-0.116801,1.53683,-1.26181
19499.8,-0.000950316,-0.119188,1.53453,-1.26412
19499.8,-0.00238741,-0.120328,1.5333,-1.26541
19499.7,-0.00451599,-0.122879,1.53091,-1.2678
19499.8,-0.00083675,-0.119056,1.53468,-1.26399
19499.8,-0.00152481,-0.119771,1.534,-1.26472
19499.8,-0.00216733,-0.120086,1.53364,-1.26498
19499.8,-0.000186792,-0.118137,1.5355,-1.26316
19499.8,-6.61E-05,-0.118274,1.53546,-1.26323
19499.8,-4.52E-06,-0.118413,1.5355,-1.26323
19499.7,-0.00277508,-0.121065,1.5326,-1.26607
19499.8,-0.00316476,-0.121433,1.53232,-1.26637
19499.7,-0.00137673,-0.119706,1.5339,-1.26472
19499.8,-0.00342584,-0.121838,1.5319,-1.26672
19499.8,-0.00356326,-0.121861,1.53183,-1.2668
19499.8,0.001294,-0.116761,1.53682,-1.26185
19499.8,-0.00146118,-0.119745,1.53393,-1.2647
19499.7,0.000124221,-0.118348,1.53538,-1.26322
19499.9,0.00147783,-0.116746,1.53697,-1.26164
19499.8,-0.00401189,-0.12241,1.53145,-1.26728
19499.8,0.000446475,-0.118019,1.53572,-1.26292
19499.8,0.000334353,-0.118178,1.53564,-1.26303
19499.8,-0.00404017,-0.12243,1.5313,-1.26734
19499.8,-0.00433618,-0.122583,1.53104,-1.26759
19499.7,-0.0016368,-0.120241,1.53338,-1.26518
19499.8,-0.00345515,-0.12193,1.53183,-1.26682
19499.8,0.000698358,-0.11769,1.53601,-1.26259
19499.8,0.00109673,-0.117377,1.53642,-1.26228
19499.8,-0.000539944,-0.118955,1.53484,-1.26379
19499.8,0.00101694,-0.117405,1.53614,-1.26244
19499.8,-0.00156686,-0.120014,1.53373,-1.26489
19499.8,-0.0043584,-0.123241,1.5306,-1.26794
19499.8,-0.00464456,-0.123191,1.53066,-1.26797
19499.8,-0.00318322,-0.121553,1.53198,-1.26661
19499.8,-0.00236586,-0.120751,1.53288,-1.26577
19499.8,-0.00067171,-0.119203,1.53449,-1.26416
19499.8,-0.00134487,-0.119889,1.5338,-1.26483
19499.8,-0.00614089,-0.1249,1.52889,-1.2697
19499.8,-0.00420136,-0.123037,1.53064,-1.26787
19499.8,-0.0052615,-0.124056,1.52969,-1.26892
19499.7,-0.00262042,-0.121612,1.53209,-1.2665
19499.7,-0.00427788,-0.123408,1.53041,-1.2682
19499.7,-0.00167778,-0.120794,1.53297,-1.26568
19499.7,-0.00347442,-0.122791,1.53093,-1.26754
19499.8,-0.00351999,-0.122783,1.53089,-1.26762
19499.8,-0.00295418,-0.122239,1.53145,-1.26704
19499.8,-0.00210004,-0.121526,1.53237,-1.26619
19499.7,-0.000725999,-0.120183,1.53346,-1.26507
19499.7,-0.00465166,-0.124079,1.52966,-1.26884
19499.8,-6.43E-05,-0.119508,1.53432,-1.26424
19499.8,-0.00193117,-0.121072,1.53263,-1.26591
19499.8,-0.00478757,-0.124176,1.52958,-1.26888
19499.8,-0.00199422,-0.121319,1.53241,-1.26609
19499.8,-0.000735584,-0.119948,1.5338,-1.26478
19499.8,-0.00473108,-0.124172,1.52958,-1.26896
19499.7,-0.00340136,-0.122928,1.53068,-1.26783
19499.8,-0.00230428,-0.121589,1.53206,-1.26648
19499.7,0.00247114,-0.117143,1.53657,-1.26194
19499.8,-0.00328652,-0.122531,1.53123,-1.2673
19499.7,-0.00160136,-0.120982,1.53268,-1.26584
19499.7,0.00137145,-0.117938,1.53571,-1.26286
