Frequency - Fgen,Phase - Fgen,Phase - R
35999.7,0.0232303,0.24947
35999.7,0.0221059,0.2483
35999.7,0.0256638,0.251925
35999.6,0.019422,0.245456
35999.7,0.023597,0.249936
35999.7,0.0209493,0.246995
35999.7,0.0167581,0.242848
35999.7,0.0205652,0.246996
35999.7,0.0179469,0.244302
35999.7,0.0282741,0.254477
35999.6,0.018128,0.244124
35999.6,0.0270768,0.253042
35999.6,0.0259351,0.252078
35999.7,0.0180171,0.244225
35999.6,0.0261582,0.252297
35999.6,0.0199807,0.246268
35999.7,0.0201286,0.246185
35999.7,0.0204546,0.246652
35999.7,0.0226775,0.248786
35999.7,0.023596,0.249726
35999.7,0.0267155,0.253044
35999.7,0.0243406,0.250509
35999.7,0.0265055,0.252538
35999.7,0.0160102,0.242545
35999.7,0.0237731,0.250267
35999.7,0.0231488,0.249428
35999.6,0.0170607,0.243126
35999.7,0.0209004,0.246798
35999.7,0.0172657,0.243391
35999.6,0.0229609,0.24924
35999.6,0.0242651,0.250382
35999.8,0.0227482,0.249201
35999.6,0.0216924,0.247861
35999.6,0.0205326,0.246671
35999.7,0.0173464,0.243648
35999.8,0.0267571,0.252966
35999.6,0.0196951,0.245609
35999.6,0.0273901,0.253512
35999.7,0.0175023,0.243688
35999.7,0.0201617,0.2466
35999.6,0.0264049,0.252447
35999.6,0.0162209,0.242365
35999.7,0.0175284,0.243519
35999.7,0.0231149,0.249321
35999.7,0.025162,0.251541
35999.7,0.0199265,0.246138
35999.7,0.0245422,0.250698
35999.6,0.0199802,0.246097
35999.6,0.0190215,0.245005
35999.7,0.0199888,0.24617
35999.7,0.0186447,0.244674
35999.7,0.0264975,0.252697
35999.6,0.0209053,0.247096
35999.7,0.0193131,0.245493
35999.6,0.0226363,0.248757
35999.7,0.021317,0.247236
35999.7,0.0240988,0.250327
35999.6,0.0256009,0.251746
35999.7,0.0195298,0.245615
35999.5,0.0187819,0.244665
35999.7,0.0245338,0.251034
35999.7,0.0230038,0.249252
35999.7,0.0169758,0.243464
35999.6,0.0228462,0.248988
35999.7,0.0250196,0.251409
35999.7,0.0213272,0.247643
35999.7,0.0244849,0.250694
35999.7,0.0230065,0.249137
35999.8,0.0184018,0.244798
35999.7,0.0268656,0.2531
35999.7,0.0202757,0.246289
35999.7,0.0292363,0.255361
35999.8,0.018334,0.244818
35999.6,0.0201312,0.24618
35999.7,0.0256072,0.251783
35999.7,0.0165242,0.242816
35999.6,0.0199266,0.245931
35999.6,0.0269004,0.253031
35999.7,0.0171467,0.243418
35999.7,0.0173652,0.243659
35999.7,0.0275135,0.253551
35999.7,0.0275954,0.253801
35999.6,0.0240881,0.250101
35999.7,0.0204435,0.246513
35999.6,0.0190874,0.245294
35999.7,0.0224056,0.248723
35999.7,0.0253909,0.251646
35999.8,0.0172707,0.243863
35999.7,0.0174016,0.24373
35999.6,0.0258619,0.25184
35999.7,0.0258709,0.252031
35999.7,0.022027,0.248185
35999.7,0.0179034,0.243978
35999.7,0.0254654,0.251657
35999.8,0.0251921,0.251499
35999.7,0.0170924,0.243395
35999.7,0.0273967,0.253491
35999.7,0.0232117,0.249217
35999.7,0.022707,0.248733
35999.6,0.0243031,0.250069
35999.7,0.022475,0.24889
35999.7,0.0263212,0.25258
35999.6,0.0199379,0.246107
35999.7,0.0228831,0.249103
35999.6,0.0216555,0.247887
35999.8,0.0212448,0.247819
35999.6,0.0216218,0.247925
35999.7,0.0188054,0.244801
35999.7,0.0267095,0.252959
35999.6,0.0240082,0.249975
35999.7,0.026618,0.252893
35999.7,0.0284476,0.254622
35999.8,0.0174596,0.243837
35999.8,0.0268587,0.25341
35999.7,0.0185102,0.2449
35999.7,0.0241046,0.250032
35999.8,0.019964,0.246338
35999.8,0.0260443,0.252598
35999.8,0.0268404,0.253194
35999.8,0.0212382,0.247569
35999.9,0.0210577,0.247438
35999.7,0.0277465,0.253933
35999.6,0.0206324,0.246819
35999.7,0.0228626,0.249051
35999.7,0.0216634,0.247951
35999.6,0.0269962,0.253237
35999.8,0.0271693,0.253682
35999.7,0.02061,0.246708
35999.6,0.0199642,0.246076
35999.6,0.0255537,0.251697
35999.7,0.0179165,0.243987
35999.7,0.0263108,0.252472
35999.8,0.0183045,0.244574
35999.6,0.0193908,0.245442
35999.7,0.0262951,0.252479
35999.7,0.0249608,0.251252
35999.7,0.0189911,0.24499
35999.7,0.0224117,0.24862
35999.7,0.026637,0.252708
35999.7,0.0236947,0.249888
35999.7,0.0200415,0.246294
35999.6,0.0273474,0.253262
35999.6,0.0244117,0.250354
35999.7,0.0206529,0.246748
35999.7,0.0168628,0.243057
35999.6,0.0228543,0.249009
35999.6,0.0199449,0.245818
35999.8,0.021011,0.247334
35999.7,0.0215447,0.247896
35999.7,0.0234981,0.249823
35999.7,0.0266481,0.252863
35999.6,0.0229735,0.249055
35999.7,0.0188309,0.245111
35999.6,0.0244441,0.250225
35999.7,0.0188533,0.245012
35999.7,0.0166141,0.242951
35999.7,0.0243218,0.250612
35999.7,0.0179359,0.244159
35999.7,0.0259254,0.252131
35999.6,0.0254996,0.251536
35999.6,0.017266,0.243505
35999.7,0.0207353,0.247071
35999.6,0.016724,0.242701
35999.6,0.0267681,0.252965
35999.7,0.0208671,0.247006
35999.6,0.0224952,0.248491
35999.6,0.0282065,0.254198
35999.7,0.0191338,0.245548
35999.6,0.0232595,0.249386
35999.7,0.0285966,0.254807
35999.7,0.0169087,0.243195
35999.7,0.0193181,0.245588
35999.6,0.0193103,0.245197
35999.7,0.0164162,0.242723
35999.7,0.0226579,0.248919
35999.6,0.0184118,0.244498
35999.6,0.0216374,0.247939
