Frequency - Fgen,Phase - Fgen,Phase - R
36149.7,0.0189016,0.24616
36149.7,0.0193375,0.246471
36149.7,0.0168722,0.244023
36199.6,0.026609,0.254132
36199.5,0.0190872,0.246364
36199.5,0.0257479,0.25304
36199.5,0.0239303,0.251087
36199.5,0.0261876,0.253345
36199.5,0.0196833,0.247192
36199.6,0.027134,0.254477
36249.6,0.0211762,0.248774
36249.7,0.0231729,0.250721
36249.7,0.0201032,0.247945
36249.6,0.0265285,0.254112
36249.7,0.0279273,0.255423
36249.6,0.0197997,0.247183
36299.6,0.0273037,0.255476
36299.6,0.0240152,0.251898
36299.5,0.0173184,0.245487
36299.5,0.023039,0.251266
36299.6,0.0210678,0.24916
36299.6,0.0240171,0.252143
36299.7,0.0199758,0.248208
36349.6,0.02056,0.248768
36349.7,0.0198503,0.248301
36349.6,0.022709,0.251244
36349.6,0.0208188,0.248892
36349.8,0.020955,0.249548
36349.8,0.0269651,0.255431
36399.6,0.0200322,0.24893
36399.4,0.0262647,0.254899
36399.5,0.0255876,0.254207
36399.5,0.0193585,0.247906
36399.4,0.021583,0.250523
36399.5,0.0278222,0.256561
36399.5,0.0174404,0.246203
36449.6,0.0214837,0.25056
36449.4,0.0276529,0.256558
36449.4,0.0191982,0.24817
36449.4,0.0265803,0.255776
36449.5,0.0257422,0.255121
36449.5,0.0236511,0.252659
36499.6,0.0243818,0.25333
36499.8,0.0173037,0.247099
36499.5,0.0281406,0.25727
36499.6,0.0217264,0.251193
36499.7,0.0259181,0.255303
36499.5,0.021434,0.25048
36499.6,0.0205073,0.24988
36549.6,0.0183831,0.248432
36549.6,0.024717,0.254579
36549.4,0.0282613,0.257969
36549.6,0.0274204,0.257395
36549.7,0.0207597,0.250845
36549.4,0.0247986,0.254128
36549.6,0.0235608,0.253467
36599.5,0.0243051,0.254056
36599.7,0.0205004,0.250422
36599.7,0.0199931,0.249788
36599.6,0.0262912,0.256503
36599.6,0.0282691,0.257977
36599.7,0.0226897,0.252683
36649.3,0.0233377,0.25315
36649.5,0.0205132,0.25072
36649.5,0.0289292,0.258949
36649.6,0.0281342,0.258865
36649.6,0.0270587,0.257722
36649.5,0.0253069,0.255478
36649.7,0.0253415,0.255935
36699.6,0.0275683,0.257972
36699.6,0.0220769,0.252426
36699.5,0.0204152,0.250547
36699.7,0.0236124,0.254652
36699.5,0.0209111,0.251047
36699.6,0.0212008,0.251774
36749.6,0.0206194,0.251722
36749.6,0.0247821,0.255706
36749.7,0.0244729,0.255686
36749.7,0.0199325,0.251066
36749.6,0.0177279,0.248669
36749.5,0.020086,0.250618
36749.5,0.0206134,0.251566
36799.5,0.0199584,0.251097
36799.5,0.0184116,0.249742
36799.4,0.0286782,0.259975
36799.5,0.0237635,0.255075
36799.5,0.0214809,0.252948
36799.5,0.0219215,0.253041
36849.7,0.0208977,0.252623
36849.7,0.0203063,0.25191
36849.7,0.021779,0.253745
36849.7,0.019173,0.250991
36849.6,0.0276037,0.259118
36849.6,0.0220665,0.253392
36849.6,0.0185751,0.250112
36899.4,0.0290037,0.260473
36899.5,0.0287208,0.260464
36899.5,0.0253996,0.257249
36899.5,0.0251853,0.257074
36899.5,0.0219807,0.253824
36899.6,0.0255501,0.257594
36899.6,0.0222649,0.254062
36949.5,0.0219255,0.253689
36949.6,0.0184954,0.250589
36949.6,0.0275965,0.259949
36949.6,0.0256831,0.257859
36949.7,0.0283158,0.260618
36949.6,0.0259965,0.258054
36999.5,0.029521,0.261923
36999.5,0.0254244,0.257908
36999.5,0.0215988,0.253906
36999.7,0.0272479,0.259933
36999.6,0.0265403,0.258873
36999.6,0.0269593,0.259162
36999.6,0.0225565,0.254991
37049.7,0.023244,0.255876
37049.7,0.0170343,0.249757
37049.8,0.0234707,0.256631
37049.6,0.0188314,0.251678
37049.7,0.0216082,0.254265
37049.8,0.0181643,0.251039
37099.5,0.0200665,0.253098
37099.5,0.0207365,0.253931
37099.6,0.0198114,0.253476
37099.5,0.0216031,0.254525
37099.5,0.0218563,0.25483
37099.5,0.0211603,0.253971
