Frequency - Fgen,Amplitude - R,
99.9415,0.00930806,0.004430123
149.945,0.00933102,0.004430123
200.044,0.00937612,0.004430123
249.97,0.00936423,0.004430123
300.083,0.00942644,0.004430123
349.989,0.00946133,0.004430123
399.916,0.00951161,0.004430123
450.015,0.00957649,0.004430123
499.939,0.00963538,0.004430123
550.04,0.00970389,0.004430123
650.066,0.00984519,0.004430123
699.986,0.00991943,0.004430123
750.09,0.00998894,0.004430123
800.012,0.0100685,0.004430123
849.928,0.0101926,0.004430123
900.034,0.0103034,0.004430123
949.959,0.0104125,0.004430123
1049.98,0.0106353,0.004430123
1100.08,0.0107623,0.004430123
1150.01,0.0108507,0.004430123
1199.92,0.0109745,0.004430123
1250.03,0.0111156,0.004430123
1350.06,0.0114307,0.004430123
1399.97,0.0115679,0.004430123
1450.08,0.011689,0.004430123
1499.99,0.0118559,0.004430123
1549.92,0.0119654,0.004430123
1600.01,0.0121289,0.004430123
1649.94,0.0122853,0.004430123
1700.04,0.0124841,0.004430123
1749.96,0.0126492,0.004430123
1800.07,0.0128204,0.004430123
1849.98,0.0129826,0.004430123
1900.09,0.0131731,0.004430123
1950.01,0.0133167,0.004430123
1999.93,0.0135,0.004430123
2050.04,0.0136571,0.004430123
2099.95,0.0138695,0.004430123
2150.06,0.014084,0.004430123
2250.09,0.0144132,0.004430123
2300.01,0.0145975,0.004430123
2349.93,0.014823,0.004430123
2400.03,0.0150487,0.004430123
2449.95,0.0152205,0.004430123
2549.98,0.0155788,0.004430123
2600.08,0.015821,0.004430123
2650.01,0.01599,0.004430123
2700.11,0.016202,0.004430123
2750.03,0.0164155,0.004430123
2799.95,0.0166266,0.004430123
2850.05,0.0168148,0.004430123
2950.07,0.0172263,0.004430123
2999.99,0.0174498,0.004430123
3050.1,0.0176537,0.004430123
3100.02,0.0178834,0.004430123
3149.94,0.0181264,0.004430123
3249.96,0.0185385,0.004430123
3300.07,0.0187725,0.004430123
3349.98,0.0190061,0.004430123
3400.09,0.0192705,0.004430123
3450.01,0.0194603,0.004430123
3550.04,0.0199417,0.004430123
3599.96,0.0201523,0.004430123
3650.06,0.020399,0.004430123
3699.98,0.0206118,0.004430123
3750.08,0.0208321,0.004430123
3850.11,0.0213287,0.004430123
3900.03,0.0215906,0.004430123
3949.94,0.0218227,0.004430123
4000.06,0.0220451,0.004430123
4049.98,0.0222994,0.004430123
4100.08,0.022564,0.004430123
4149.99,0.0227727,0.004430123
4200.1,0.0230074,0.004430123
4250.02,0.0232881,0.004430123
4299.94,0.0235456,0.004430123
4350.05,0.0237792,0.004430123
4399.96,0.0240321,0.004430123
4450.07,0.0243042,0.004430123
4499.99,0.024536,0.004430123
4550.09,0.0247986,0.004430123
4600.01,0.0250796,0.004430123
4649.93,0.0253146,0.004430123
4749.96,0.0258175,0.004430123
4800.06,0.02607,0.004430123
4849.98,0.0263363,0.004430123
4900.09,0.0266188,0.004430123
4950.01,0.0268628,0.004430123
5050.04,0.027422,0.004430123
5099.95,0.0276827,0.004430123
5150.05,0.0279606,0.004430123
5199.97,0.028237,0.004430123
5250.07,0.028463,0.004430123
5350.11,0.0290185,0.004430123
5400.02,0.0293012,0.004430123
5449.94,0.0295899,0.004430123
5500.05,0.0298765,0.004430123
5549.97,0.0301458,0.004430123
5600.07,0.0304006,0.004430123
5649.99,0.0307318,0.004430123
5700.1,0.0309874,0.004430123
5750.02,0.0312884,0.004430123
5800.12,0.0315722,0.004430123
5850.04,0.031812,0.004430123
5899.97,0.0321151,0.004430123
5999.99,0.0327475,0.004430123
6050.09,0.0330098,0.004430123
6100.02,0.0333168,0.004430123
6150.11,0.03362,0.004430123
6200.03,0.033937,0.004430123
6300.06,0.0345161,0.004430123
6349.98,0.0348524,0.004430123
6400.08,0.0351435,0.004430123
6450.01,0.0354471,0.004430123
6500.11,0.0357407,0.004430123
6550.03,0.0360302,0.004430123
6599.94,0.0363651,0.004430123
6650.05,0.0366596,0.004430123
6699.97,0.036991,0.004430123
6750.08,0.0372735,0.004430123
6800,0.0376148,0.004430123
6850.1,0.0379323,0.004430123
6950.12,0.0385847,0.004430123
7000.05,0.0388905,0.004430123
7049.97,0.0392157,0.004430123
7100.08,0.039538,0.004430123
7149.99,0.03988,0.004430123
7200.1,0.040187,0.004430123
7250.01,0.0405372,0.004430123
7300.12,0.0408689,0.004430123
7350.04,0.0412113,0.004430123
7399.96,0.0415402,0.004430123
7450.06,0.0418419,0.004430123
7499.98,0.0422375,0.004430123
7550.08,0.0425781,0.004430123
7600.01,0.0429307,0.004430123
7650.11,0.0432401,0.004430123
7700.03,0.0436007,0.004430123
7749.95,0.0439508,0.004430123
7849.97,0.0446854,0.004430123
7900.07,0.044989,0.004430123
7950,0.0453767,0.004430123
8000.11,0.0457764,0.004430123
8050.03,0.0461233,0.004430123
8150.05,0.0468539,0.004430123
8199.97,0.0472022,0.004430123
8250.07,0.0475842,0.004430123
8299.99,0.0479778,0.004430123
8350.1,0.0483442,0.004430123
8400.02,0.0487233,0.004430123
8450.12,0.0491053,0.004430123
8500.04,0.0494945,0.004430123
8549.96,0.0499011,0.004430123
8600.07,0.0502691,0.004430123
8649.99,0.0506467,0.004430123
8700.09,0.0510736,0.004430123
8750.01,0.0514326,0.004430123
8800.12,0.0518472,0.004430123
8850.04,0.0522805,0.004430123
8900.14,0.0526383,0.004430123
8950.06,0.0530837,0.004430123
9050.08,0.0539042,0.004430123
9100,0.0542694,0.004430123
9150.11,0.0547391,0.004430123
9200.02,0.0551317,0.004430123
9250.13,0.0555662,0.004430123
9349.97,0.0564297,0.004430123
9400.08,0.0568564,0.004430123
9450,0.0572611,0.004430123
9500.1,0.057696,0.004430123
9550.02,0.0581292,0.004430123
9600.13,0.0585671,0.004430123
9650.04,0.05905,0.004430123
9750.07,0.059928,0.004430123
9799.99,0.0604051,0.004430123
9850.09,0.0608978,0.004430123
9900.02,0.0613209,0.004430123
9950.12,0.0618043,0.004430123
10000,0.0622598,0.004430123
10050.1,0.0627338,0.004430123
10150,0.0636667,0.004430123
10200.1,0.0641592,0.004430123
10250,0.0646386,0.004430123
10300.1,0.0651464,0.004430123
10350,0.0656511,0.004430123
10400.1,0.0661434,0.004430123
10450.1,0.066649,0.004430123
10500,0.0671536,0.004430123
10550.1,0.0676752,0.004430123
10600,0.0681956,0.004430123
10650.1,0.0686991,0.004430123
10700,0.0692279,0.004430123
10800,0.0702822,0.004430123
10850,0.0708098,0.004430123
10900.1,0.0713813,0.004430123
10950,0.0718944,0.004430123
11000.1,0.0724794,0.004430123
11050,0.0730274,0.004430123
11100.1,0.0735868,0.004430123
11150,0.074151,0.004430123
11200.1,0.0747466,0.004430123
11250.1,0.075275,0.004430123
11300,0.075898,0.004430123
11350.1,0.0764591,0.004430123
11450.1,0.077644,0.004430123
11500,0.0782495,0.004430123
11550.1,0.0788415,0.004430123
11600.1,0.0794353,0.004430123
11650,0.0800544,0.004430123
11700.1,0.0806363,0.004430123
11750,0.0812768,0.004430123
11800.1,0.0819458,0.004430123
11850,0.082536,0.004430123
11900.1,0.0831811,0.004430123
11950.1,0.0838119,0.004430123
12000.2,0.0844508,0.004430123
12100,0.0857761,0.004430123
12150.1,0.0864639,0.004430123
12200,0.0871165,0.004430123
12250.1,0.0877947,0.004430123
12300,0.0884836,0.004430123
12350.2,0.0891936,0.004430123
12400.1,0.0898548,0.004430123
12500.1,0.0912422,0.004430123
12550,0.092018,0.004430123
12600.1,0.0927054,0.004430123
12650,0.0934671,0.004430123
12700.1,0.0941268,0.004430123
12800,0.0956528,0.004430123
12850.1,0.0963971,0.004430123
12900,0.0971616,0.004430123
12950.1,0.0979433,0.004430123
13000,0.0987123,0.004430123
13050.1,0.0994825,0.004430123
13100.1,0.100292,0.004430123
13200.1,0.10188,0.004430123
13250,0.10273,0.004430123
13300.1,0.103513,0.004430123
13350,0.104351,0.004430123
13400.1,0.105185,0.004430123
13450,0.106024,0.004430123
13500.2,0.106829,0.004430123
13600,0.108573,0.004430123
13650.1,0.109473,0.004430123
13700,0.110278,0.004430123
13750.1,0.111174,0.004430123
13800,0.112055,0.004430123
13900.1,0.113924,0.004430123
13950,0.114866,0.004430123
14000.1,0.115763,0.004430123
14050,0.116726,0.004430123
14100.1,0.117649,0.004430123
14150,0.118623,0.004430123
14200.1,0.119557,0.004430123
14300.2,0.121588,0.004430123
14350.1,0.122517,0.004430123
14400,0.123509,0.004430123
14450.1,0.124541,0.004430123
14500,0.125572,0.004430123
14600.1,0.127647,0.004430123
14650.2,0.128672,0.004430123
14700.1,0.129664,0.004430123
14750,0.130775,0.004430123
14800.1,0.131869,0.004430123
14850,0.132894,0.004430123
14900.1,0.133939,0.004430123
14950,0.135072,0.004430123
15000.1,0.136211,0.004430123
15050.1,0.137298,0.004430123
15100.2,0.138455,0.004430123
15150.1,0.139558,0.004430123
15250.1,0.141875,0.004430123
15300,0.142985,0.004430123
15350.1,0.144151,0.004430123
15400.1,0.14532,0.004430123
15450.2,0.146543,0.004430123
15500.1,0.147701,0.004430123
15550,0.148927,0.004430123
15600.1,0.150139,0.004430123
15650,0.151287,0.004430123
15700.1,0.15255,0.004430123
15750.1,0.153802,0.004430123
15800.2,0.154983,0.004430123
15900,0.157513,0.004430123
15950.1,0.158768,0.004430123
16000,0.160056,0.004430123
16050.1,0.16132,0.004430123
16100.1,0.162537,0.004430123
16150.2,0.163862,0.004430123
16200.1,0.16517,0.004430123
16300.1,0.167725,0.004430123
16350,0.168978,0.004430123
16400.1,0.170309,0.004430123
16450,0.171619,0.004430123
16500.1,0.172904,0.004430123
16600.2,0.175538,0.004430123
16650.1,0.17678,0.004430123
16700,0.178116,0.004430123
16750.1,0.179419,0.004430123
16800,0.180684,0.004430123
16850.1,0.182006,0.004430123
16900.1,0.183256,0.004430123
17000.1,0.185864,0.004430123
17050,0.187137,0.004430123
17100.1,0.188387,0.004430123
17150,0.18969,0.004430123
17200.1,0.190947,0.004430123
17300.2,0.193425,0.004430123
17350.1,0.194565,0.004430123
17400.2,0.195737,0.004430123
17450.1,0.197047,0.004430123
17500,0.198223,0.004430123
17550.1,0.19938,0.004430123
17600,0.200588,0.004430123
17700.1,0.202808,0.004430123
17750.2,0.20394,0.004430123
17800.1,0.205017,0.004430123
17850,0.206135,0.004430123
17900.1,0.207152,0.004430123
17950,0.208169,0.004430123
18000.1,0.209164,0.004430123
18100.2,0.211104,0.004430123
18150.1,0.211993,0.004430123
18200.2,0.212942,0.004430123
18250.1,0.21374,0.004430123
18300,0.214675,0.004430123
18350.1,0.215447,0.004430123
18400.1,0.216254,0.004430123
18500.1,0.217723,0.004430123
18550.2,0.218361,0.004430123
18600.1,0.219062,0.004430123
18650,0.219641,0.004430123
18700.1,0.220318,0.004430123
18750,0.22082,0.004430123
18800.2,0.221268,0.004430123
18850.1,0.221826,0.004430123
18900.2,0.222233,0.004430123
18950.1,0.222675,0.004430123
19000,0.22304,0.004430123
19050.1,0.22333,0.004430123
19150.2,0.223945,0.004430123
19200.1,0.224159,0.004430123
19250.2,0.22433,0.004430123
19300.1,0.224493,0.004430123
19350.2,0.224556,0.004430123
19450,0.224742,0.004430123
19500.1,0.224714,0.004430123
19550.1,0.224708,0.004430123
19600.2,0.224665,0.004430123
19650.1,0.224504,0.004430123
19700.2,0.224393,0.004430123
19750.1,0.2242,0.004430123
19850.1,0.223782,0.004430123
19900,0.223457,0.004430123
19950.2,0.223156,0.004430123
20000.1,0.222845,0.004430123
20050.2,0.222437,0.004430123
20150,0.221651,0.004430123
20200.1,0.221188,0.004430123
20250.1,0.220683,0.004430123
20300.1,0.220169,0.004430123
20350.1,0.219654,0.004430123
20400.2,0.21904,0.004430123
20450.1,0.2185,0.004430123
20500.2,0.217857,0.004430123
20550.1,0.217251,0.004430123
20600,0.21659,0.004430123
20650.1,0.215953,0.004430123
20700.1,0.215221,0.004430123
20800.1,0.213742,0.004430123
20850.2,0.212984,0.004430123
20900.1,0.212284,0.004430123
20950,0.211444,0.004430123
21000.1,0.210647,0.004430123
21050.1,0.209855,0.004430123
21100.2,0.209,0.004430123
21150.1,0.2082,0.004430123
21200.2,0.207304,0.004430123
21250.1,0.206431,0.004430123
21300.2,0.205524,0.004430123
21350.1,0.204677,0.004430123
21450.2,0.202867,0.004430123
21500.1,0.201979,0.004430123
21550.2,0.201002,0.004430123
21600.1,0.200066,0.004430123
21650.2,0.19917,0.004430123
21750,0.197265,0.004430123
21800.1,0.196326,0.004430123
21850.1,0.195329,0.004430123
21900.2,0.194411,0.004430123
21950.1,0.193412,0.004430123
22000.2,0.192482,0.004430123
22050.1,0.191565,0.004430123
22150.1,0.189538,0.004430123
22200.1,0.188577,0.004430123
22250.2,0.187621,0.004430123
22300.1,0.18662,0.004430123
22350.2,0.18567,0.004430123
22400.1,0.184661,0.004430123
22450.2,0.183638,0.004430123
22550.1,0.18176,0.004430123
22600.2,0.180791,0.004430123
22650.1,0.179828,0.004430123
22700.2,0.178889,0.004430123
22750.1,0.177892,0.004430123
22800.2,0.176981,0.004430123
22850.1,0.176,0.004430123
22900,0.17506,0.004430123
22950.1,0.17409,0.004430123
23000.1,0.173148,0.004430123
23050.2,0.17221,0.004430123
23100.1,0.171268,0.004430123
23200.1,0.169408,0.004430123
23250,0.168428,0.004430123
23300.1,0.167504,0.004430123
23350.1,0.166662,0.004430123
23400.2,0.165676,0.004430123
23500.2,0.16386,0.004430123
23550.1,0.162996,0.004430123
23600.2,0.162057,0.004430123
23650.1,0.161246,0.004430123
23700.1,0.160331,0.004430123
23750.2,0.15948,0.004430123
23800.1,0.158606,0.004430123
23900.1,0.156841,0.004430123
23950.2,0.155977,0.004430123
24000.1,0.155149,0.004430123
24050.1,0.154292,0.004430123
24100.2,0.153458,0.004430123
24150.1,0.152613,0.004430123
24200.2,0.15177,0.004430123
24250.1,0.150992,0.004430123
24300.2,0.150147,0.004430123
24350.1,0.149356,0.004430123
24400.2,0.148547,0.004430123
24450.2,0.147759,0.004430123
24550.2,0.146183,0.004430123
24600.1,0.145415,0.004430123
24650.2,0.144603,0.004430123
24700.1,0.143847,0.004430123
24750.2,0.143085,0.004430123
24800.1,0.142316,0.004430123
24850.1,0.14156,0.004430123
24950.1,0.140078,0.004430123
25000.2,0.139345,0.004430123
25050.1,0.138615,0.004430123
25100.2,0.137881,0.004430123
25150.1,0.137141,0.004430123
25250.2,0.13572,0.004430123
25300.1,0.134989,0.004430123
25350.2,0.134357,0.004430123
25400.1,0.133657,0.004430123
25450.2,0.132927,0.004430123
25500.1,0.132272,0.004430123
25550.2,0.131637,0.004430123
25650.1,0.130281,0.004430123
25700.2,0.129602,0.004430123
25750.1,0.128979,0.004430123
25800.2,0.128299,0.004430123
25850.1,0.127653,0.004430123
25950.1,0.126368,0.004430123
26000.1,0.125785,0.004430123
26050.2,0.125137,0.004430123
26100.1,0.124529,0.004430123
26150.2,0.123894,0.004430123
26200.1,0.123356,0.004430123
26250.2,0.122709,0.004430123
26350.1,0.121514,0.004430123
26400.2,0.120971,0.004430123
26450.1,0.120344,0.004430123
26500.2,0.119737,0.004430123
26550.1,0.119197,0.004430123
26600.2,0.118611,0.004430123
26650.1,0.118049,0.004430123
26700.2,0.117453,0.004430123
26750.2,0.116925,0.004430123
26800.1,0.116358,0.004430123
26850.2,0.115846,0.004430123
26900.1,0.115274,0.004430123
27000.1,0.11423,0.004430123
27050.2,0.113685,0.004430123
27100.1,0.113179,0.004430123
27150.1,0.112631,0.004430123
27200.2,0.112098,0.004430123
27250.1,0.111583,0.004430123
27300.2,0.111077,0.004430123
27350.1,0.11057,0.004430123
27400.2,0.110093,0.004430123
27450.1,0.109565,0.004430123
27500.2,0.109112,0.004430123
27550.2,0.108594,0.004430123
27650.2,0.107629,0.004430123
27700.1,0.107137,0.004430123
27750.2,0.106674,0.004430123
27800.1,0.106193,0.004430123
27850.2,0.105726,0.004430123
27900.2,0.105252,0.004430123
27950.1,0.104787,0.004430123
28000.2,0.104336,0.004430123
28050.1,0.103791,0.004430123
28100.2,0.103422,0.004430123
28150.1,0.102957,0.004430123
28200.2,0.102523,0.004430123
28250.2,0.102092,0.004430123
28300.1,0.101657,0.004430123
28350.2,0.101215,0.004430123
28400.1,0.100791,0.004430123
28450.2,0.100351,0.004430123
28500.1,0.0999009,0.004430123
28550.2,0.0994959,0.004430123
28650.3,0.098633,0.004430123
28700.2,0.0982487,0.004430123
28750.1,0.097852,0.004430123
28800.2,0.097459,0.004430123
28850.1,0.0970659,0.004430123
28900.2,0.0966513,0.004430123
28950.1,0.0962645,0.004430123
29050.2,0.0954429,0.004430123
29100.1,0.0950732,0.004430123
29150.2,0.0946893,0.004430123
29200.1,0.0943103,0.004430123
29250.2,0.0939197,0.004430123
29300.1,0.0935855,0.004430123
29350.2,0.0931992,0.004430123
29450.1,0.0924394,0.004430123
29500.2,0.0921157,0.004430123
29550.1,0.0917299,0.004430123
29600.2,0.0913704,0.004430123
29650.1,0.0910108,0.004430123
29750.2,0.0903035,0.004430123
29800.3,0.0899366,0.004430123
29850.2,0.0896038,0.004430123
29900.1,0.0892301,0.004430123
29950.2,0.0888854,0.004430123
30000.1,0.0885369,0.004430123
30050.2,0.0882229,0.004430123
30150.3,0.0875682,0.004430123
30200.2,0.0872224,0.004430123
30250.1,0.0868824,0.004430123
30300.2,0.0865866,0.004430123
30350.1,0.0862558,0.004430123
30400.2,0.085925,0.004430123
30450.1,0.0856129,0.004430123
30500.2,0.0852942,0.004430123
30550.2,0.0849587,0.004430123
30600.1,0.084646,0.004430123
30650.2,0.0843318,0.004430123
30700.1,0.0839985,0.004430123
30750.2,0.0836768,0.004430123
30800.1,0.0833769,0.004430123
30900.1,0.0827753,0.004430123
30950.3,0.0824783,0.004430123
31000.2,0.0821913,0.004430123
31050.1,0.0818968,0.004430123
31100.2,0.0815826,0.004430123
31200.2,0.0810227,0.004430123
31250.1,0.0807329,0.004430123
31300.2,0.0804049,0.004430123
31350.2,0.0801856,0.004430123
31400.1,0.0798736,0.004430123
31450.2,0.0795827,0.004430123
31500.1,0.0793337,0.004430123
31600.1,0.0787413,0.004430123
31650.2,0.078478,0.004430123
31700.2,0.0782142,0.004430123
31750.3,0.0779452,0.004430123
31800.2,0.0776587,0.004430123
31850.1,0.0773901,0.004430123
31900.2,0.0771535,0.004430123
31950.1,0.0768548,0.004430123
32000.2,0.0766075,0.004430123
32050.2,0.0763345,0.004430123
32100.3,0.0760752,0.004430123
32150.2,0.0757937,0.004430123
32200.1,0.0755489,0.004430123
32250.2,0.0752882,0.004430123
32300.1,0.0750681,0.004430123
32350.2,0.0747955,0.004430123
32400.2,0.0745419,0.004430123
32450.3,0.0743034,0.004430123
32500.2,0.0740604,0.004430123
32550.1,0.073814,0.004430123
32600.2,0.0735365,0.004430123
32700.2,0.0730895,0.004430123
32750.1,0.0728317,0.004430123
32800.3,0.0726236,0.004430123
32850.2,0.0723598,0.004430123
32900.3,0.0721134,0.004430123
32950.2,0.0718718,0.004430123
33000.1,0.0716617,0.004430123
33050.2,0.0714245,0.004430123
33100.1,0.0711787,0.004430123
33150.2,0.0709458,0.004430123
33200.2,0.0707344,0.004430123
33250.3,0.0704608,0.004430123
33300.2,0.07026,0.004430123
33400.2,0.069806,0.004430123
33450.1,0.0695841,0.004430123
33500.2,0.0693675,0.004430123
33550.2,0.0691178,0.004430123
33600.3,0.0689035,0.004430123
33650.2,0.0687214,0.004430123
