Frequency - Fgen,Phase - R,
99.9415,-2.30453,0.963343
149.945,-0.943282,0.963343
200.044,0.495134,0.963343
249.97,1.55504,0.963343
300.083,3.01929,0.963343
349.989,5.03903,0.963343
399.916,6.06686,0.963343
450.015,7.60372,0.963343
499.939,9.01416,0.963343
550.04,10.1082,0.963343
650.066,13.6091,0.963343
699.986,14.5619,0.963343
750.09,15.632,0.963343
800.012,16.4972,0.963343
849.928,18.0727,0.963343
900.034,19.3264,0.963343
949.959,20.4922,0.963343
1049.98,22.5269,0.963343
1100.08,23.6002,0.963343
1150.01,24.3616,0.963343
1199.92,25.8287,0.963343
1250.03,27.023,0.963343
1350.06,29.2752,0.963343
1399.97,29.7055,0.963343
1450.08,30.8509,0.963343
1499.99,31.0688,0.963343
1549.92,32.3324,0.963343
1600.01,33.3191,0.963343
1649.94,34.2444,0.963343
1700.04,35.1022,0.963343
1749.96,35.9012,0.963343
1800.07,36.267,0.963343
1849.98,37.0479,0.963343
1900.09,37.7414,0.963343
1950.01,39.1733,0.963343
1999.93,39.1572,0.963343
2050.04,39.9229,0.963343
2099.95,40.6183,0.963343
2150.06,41.3949,0.963343
2250.09,42.5521,0.963343
2300.01,43.3121,0.963343
2349.93,43.7058,0.963343
2400.03,43.994,0.963343
2449.95,44.9371,0.963343
2549.98,45.7474,0.963343
2600.08,46.6642,0.963343
2650.01,46.8867,0.963343
2700.11,47.2999,0.963343
2750.03,47.8901,0.963343
2799.95,48.3328,0.963343
2850.05,48.7196,0.963343
2950.07,49.7308,0.963343
2999.99,50.0668,0.963343
3050.1,50.5092,0.963343
3100.02,51.2709,0.963343
3149.94,51.1469,0.963343
3249.96,52.2972,0.963343
3300.07,52.1903,0.963343
3349.98,52.4905,0.963343
3400.09,52.8398,0.963343
3450.01,53.0124,0.963343
3550.04,54.1667,0.963343
3599.96,54.4845,0.963343
3650.06,54.336,0.963343
3699.98,54.5931,0.963343
3750.08,55.1608,0.963343
3850.11,55.8192,0.963343
3900.03,56.1305,0.963343
3949.94,56.0579,0.963343
4000.06,56.2764,0.963343
4049.98,56.6068,0.963343
4100.08,56.6504,0.963343
4149.99,57.204,0.963343
4200.1,57.4969,0.963343
4250.02,57.5714,0.963343
4299.94,57.911,0.963343
4350.05,58.4591,0.963343
4399.96,57.9601,0.963343
4450.07,58.8032,0.963343
4499.99,58.8871,0.963343
4550.09,58.868,0.963343
4600.01,58.8237,0.963343
4649.93,59.3198,0.963343
4749.96,59.7306,0.963343
4800.06,59.9036,0.963343
4849.98,59.7293,0.963343
4900.09,60.0972,0.963343
4950.01,60.0312,0.963343
5050.04,60.4378,0.963343
5099.95,60.7473,0.963343
5150.05,60.6351,0.963343
5199.97,61.0363,0.963343
5250.07,60.9901,0.963343
5350.11,61.0805,0.963343
5400.02,61.5162,0.963343
5449.94,61.7689,0.963343
5500.05,61.7598,0.963343
5549.97,61.8016,0.963343
5600.07,62.1932,0.963343
5649.99,62.2207,0.963343
5700.1,62.2561,0.963343
5750.02,62.2976,0.963343
5800.12,62.3674,0.963343
5850.04,62.5714,0.963343
5899.97,62.8021,0.963343
5999.99,62.9258,0.963343
6050.09,62.7724,0.963343
6100.02,63.1007,0.963343
6150.11,63.3827,0.963343
6200.03,63.0936,0.963343
6300.06,63.4289,0.963343
6349.98,63.3591,0.963343
6400.08,63.8465,0.963343
6450.01,64.046,0.963343
6500.11,63.7916,0.963343
6550.03,63.5142,0.963343
6599.94,63.8516,0.963343
6650.05,63.9854,0.963343
6699.97,64.0623,0.963343
6750.08,64.0517,0.963343
6800,64.2675,0.963343
6850.1,64.1354,0.963343
6950.12,64.6319,0.963343
7000.05,64.4118,0.963343
7049.97,64.4268,0.963343
7100.08,64.519,0.963343
7149.99,64.8663,0.963343
7200.1,64.7041,0.963343
7250.01,64.888,0.963343
7300.12,64.6307,0.963343
7350.04,64.8916,0.963343
7399.96,64.9297,0.963343
7450.06,64.9253,0.963343
7499.98,64.8209,0.963343
7550.08,65.2289,0.963343
7600.01,65.0987,0.963343
7650.11,65.2004,0.963343
7700.03,64.7984,0.963343
7749.95,65.217,0.963343
7849.97,65.1234,0.963343
7900.07,64.7986,0.963343
7950,65.042,0.963343
8000.11,65.4132,0.963343
8050.03,65.4657,0.963343
8150.05,64.7152,0.963343
8199.97,65.2942,0.963343
8250.07,65.1318,0.963343
8299.99,65.4862,0.963343
8350.1,65.356,0.963343
8400.02,65.3274,0.963343
8450.12,65.2383,0.963343
8500.04,65.5865,0.963343
8549.96,65.373,0.963343
8600.07,65.6056,0.963343
8649.99,65.3867,0.963343
8700.09,65.5762,0.963343
8750.01,65.4569,0.963343
8800.12,65.5969,0.963343
8850.04,65.6524,0.963343
8900.14,65.9491,0.963343
8950.06,65.5502,0.963343
9050.08,65.519,0.963343
9100,65.4345,0.963343
9150.11,65.487,0.963343
9200.02,65.5873,0.963343
9250.13,65.8948,0.963343
9349.97,65.3555,0.963343
9400.08,65.5468,0.963343
9450,65.318,0.963343
9500.1,65.2508,0.963343
9550.02,65.6112,0.963343
9600.13,65.5267,0.963343
9650.04,65.1077,0.963343
9750.07,65.1901,0.963343
9799.99,65.3585,0.963343
9850.09,65.2356,0.963343
9900.02,65.4043,0.963343
9950.12,65.3203,0.963343
10000,64.9974,0.963343
10050.1,65.0394,0.963343
10150,64.8774,0.963343
10200.1,65.0072,0.963343
10250,65.0321,0.963343
10300.1,65.3247,0.963343
10350,64.9132,0.963343
10400.1,64.5352,0.963343
10450.1,64.7924,0.963343
10500,64.8283,0.963343
10550.1,65.0136,0.963343
10600,64.8788,0.963343
10650.1,64.5593,0.963343
10700,64.5139,0.963343
10800,64.194,0.963343
10850,64.2417,0.963343
10900.1,64.1208,0.963343
10950,64.0644,0.963343
11000.1,64.3958,0.963343
11050,64.2913,0.963343
11100.1,64.3483,0.963343
11150,63.8226,0.963343
11200.1,64.3546,0.963343
11250.1,63.5688,0.963343
11300,63.728,0.963343
11350.1,63.5416,0.963343
11450.1,63.1596,0.963343
11500,63.4498,0.963343
11550.1,63.2712,0.963343
11600.1,63.2365,0.963343
11650,63.2748,0.963343
11700.1,62.9442,0.963343
11750,62.8842,0.963343
11800.1,63.124,0.963343
11850,62.4567,0.963343
11900.1,62.6312,0.963343
11950.1,62.5874,0.963343
12000.2,62.1212,0.963343
12100,62.367,0.963343
12150.1,62.0784,0.963343
12200,62.1458,0.963343
12250.1,61.8244,0.963343
12300,61.8495,0.963343
12350.2,61.6348,0.963343
12400.1,61.5158,0.963343
12500.1,61.6312,0.963343
12550,61.2547,0.963343
12600.1,61.1926,0.963343
12650,61.2797,0.963343
12700.1,60.8754,0.963343
12800,60.5929,0.963343
12850.1,60.4235,0.963343
12900,60.3424,0.963343
12950.1,59.9897,0.963343
13000,60.0277,0.963343
13050.1,59.3927,0.963343
13100.1,59.6685,0.963343
13200.1,59.0791,0.963343
13250,59.2888,0.963343
13300.1,59.343,0.963343
13350,58.7531,0.963343
13400.1,58.8819,0.963343
13450,58.4396,0.963343
13500.2,58.531,0.963343
13600,58.376,0.963343
13650.1,58.0961,0.963343
13700,57.8059,0.963343
13750.1,57.2739,0.963343
13800,57.5101,0.963343
13900.1,56.4746,0.963343
13950,56.9007,0.963343
14000.1,56.4714,0.963343
14050,55.9453,0.963343
14100.1,56.0369,0.963343
14150,55.7267,0.963343
14200.1,55.5502,0.963343
14300.2,54.9512,0.963343
14350.1,54.7948,0.963343
14400,54.7372,0.963343
14450.1,54.6701,0.963343
14500,54.2201,0.963343
14600.1,53.7717,0.963343
14650.2,53.4782,0.963343
14700.1,53.1103,0.963343
14750,52.9624,0.963343
14800.1,53.0802,0.963343
14850,51.944,0.963343
14900.1,52.291,0.963343
14950,51.6802,0.963343
15000.1,51.7814,0.963343
15050.1,50.6829,0.963343
15100.2,50.9111,0.963343
15150.1,50.4737,0.963343
15250.1,50.1757,0.963343
15300,49.5526,0.963343
15350.1,49.5596,0.963343
15400.1,48.6307,0.963343
15450.2,48.6849,0.963343
15500.1,48.3917,0.963343
15550,47.8322,0.963343
15600.1,47.6439,0.963343
15650,47.3506,0.963343
15700.1,46.9864,0.963343
15750.1,46.6276,0.963343
15800.2,46.0564,0.963343
15900,45.8182,0.963343
15950.1,45.3153,0.963343
16000,44.5001,0.963343
16050.1,44.2545,0.963343
16100.1,44.168,0.963343
16150.2,43.3842,0.963343
16200.1,43.0045,0.963343
16300.1,42.2931,0.963343
16350,41.6351,0.963343
16400.1,41.4536,0.963343
16450,41.0555,0.963343
16500.1,40.5959,0.963343
16600.2,39.23,0.963343
16650.1,39.2146,0.963343
16700,38.3875,0.963343
16750.1,38.3145,0.963343
16800,37.6212,0.963343
16850.1,37.2573,0.963343
16900.1,36.6279,0.963343
17000.1,35.5674,0.963343
17050,34.6519,0.963343
17100.1,34.476,0.963343
17150,33.9091,0.963343
17200.1,33.2848,0.963343
17300.2,32.5248,0.963343
17350.1,31.6805,0.963343
17400.2,31.1017,0.963343
17450.1,30.5035,0.963343
17500,29.9419,0.963343
17550.1,28.943,0.963343
17600,29.2314,0.963343
17700.1,27.6439,0.963343
17750.2,26.8762,0.963343
17800.1,26.5556,0.963343
17850,25.538,0.963343
17900.1,24.8315,0.963343
17950,24.5789,0.963343
18000.1,23.9608,0.963343
18100.2,22.1538,0.963343
18150.1,21.663,0.963343
18200.2,21.2992,0.963343
18250.1,20.4604,0.963343
18300,19.4487,0.963343
18350.1,18.6748,0.963343
18400.1,18.329,0.963343
18500.1,17.0756,0.963343
18550.2,16.7158,0.963343
18600.1,15.5707,0.963343
18650,14.7699,0.963343
18700.1,14.2341,0.963343
18750,13.459,0.963343
18800.2,12.5066,0.963343
18850.1,11.6313,0.963343
18900.2,11.0793,0.963343
18950.1,10.4995,0.963343
19000,9.78741,0.963343
