Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C,,,,
99.9415,-5.16314,-2.30453,353.429,-5.192,0.963342836,0.963342836,0.963342836,0.963342836
149.945,-5.59862,-0.943282,354.714,-5.577,0.963342836,0.963342836,0.963342836,0.963342836
200.044,-5.26079,0.495134,354.911,-5.231,0.963342836,0.963342836,0.963342836,0.963342836
249.97,-5.4665,1.55504,355.241,-5.429,0.963342836,0.963342836,0.963342836,0.963342836
300.083,-5.45807,3.01929,355.417,-5.383,0.963342836,0.963342836,0.963342836,0.963342836
349.989,-5.31539,5.03903,356.05,-5.248,0.963342836,0.963342836,0.963342836,0.963342836
399.916,-5.37873,6.06686,355.729,-5.292,0.963342836,0.963342836,0.963342836,0.963342836
450.015,-5.35147,7.60372,356.671,-5.26,0.963342836,0.963342836,0.963342836,0.963342836
499.939,-5.37185,9.01416,357.078,-5.264,0.963342836,0.963342836,0.963342836,0.963342836
550.04,-5.28229,10.1082,356.48,-5.168,0.963342836,0.963342836,0.963342836,0.963342836
650.066,-5.26582,13.6091,356.923,-5.139,0.963342836,0.963342836,0.963342836,0.963342836
699.986,-5.02561,14.5619,357.686,-4.897,0.963342836,0.963342836,0.963342836,0.963342836
750.09,-5.24727,15.632,357.571,-5.09,0.963342836,0.963342836,0.963342836,0.963342836
800.012,-5.23594,16.4972,357.675,-5.074,0.963342836,0.963342836,0.963342836,0.963342836
849.928,-5.36357,18.0727,357.883,-5.193,0.963342836,0.963342836,0.963342836,0.963342836
900.034,-5.22468,19.3264,359.138,-5.041,0.963342836,0.963342836,0.963342836,0.963342836
949.959,-5.21161,20.4922,358.563,-5.011,0.963342836,0.963342836,0.963342836,0.963342836
1049.98,-5.22969,22.5269,359.493,-5.023,0.963342836,0.963342836,0.963342836,0.963342836
1100.08,-5.18755,23.6002,0.242829,-4.97,0.963342836,0.963342836,0.963342836,0.963342836
1150.01,-5.65751,24.3616,0.00730898,-5.405,0.963342836,0.963342836,0.963342836,0.963342836
1199.92,-5.00821,25.8287,0.457114,-4.77,0.963342836,0.963342836,0.963342836,0.963342836
